beian_hao,fof99_fund_name,fof99_short_name,fof99_advisor,fof99_price_date,fof99_price_nav,fof99_strategy_one,fof99_strategy_two,is_share_class,src_missing_reason,in_private_fund_info,in_amac,amac_fund_name,amac_working_state,amac_manager,has_db_nav,nav_rows,nav_min_date,nav_max_date,info_latest_nav_date,info_latest_nav,in_fof99_universe,fof99_policy,fof99_reason,universe_listed_at,last_fetch_date,last_fetch_status,last_ok_date,empty_date_probe
SBSW95,明汯宏观招享3号12期私募证券投资基金,明汯宏观招享3号12期,上海明汯投资,2026-08-10,0.9397,多资产策略,宏观策略,no,in_table_null_latest_nav_date,yes,yes,明汯宏观招享3号12期私募证券投资基金,正在运作,上海明汯投资管理有限公司,no,0,,,,,no,,,,,,,
SBSW96,明汯宏观招享3号13期私募证券投资基金,明汯宏观招享3号13期,上海明汯投资,2026-08-10,0.9398,多资产策略,宏观策略,no,in_table_null_latest_nav_date,yes,yes,明汯宏观招享3号13期私募证券投资基金,正在运作,上海明汯投资管理有限公司,no,0,,,,,no,,,,,,,
SVC616,庄贤亨贞期权二号对冲私募证券投资基金,庄贤亨贞期权二号对冲,杭州庄贤投资,2026-08-10,1.1934,套利策略,期权套利,no,in_table_null_latest_nav_date,yes,yes,庄贤亨贞期权二号对冲私募证券投资基金,正在运作,杭州庄贤投资管理合伙企业（有限合伙）,no,0,,,,,no,,,,,,,
SZT156,中科汇富稳健配置1号私募证券投资基金,中科汇富稳健配置1号,广东中科汇富,2026-08-10,0.9911,组合策略,FOF,no,in_table_null_latest_nav_date,yes,yes,中科汇富稳健配置1号私募证券投资基金,正在运作,广东中科汇富私募基金管理合伙企业（有限合伙）,no,0,,,,,no,,,,,,,
AHR90A,锐耐黎曼三号私募证券投资基金A类份额,锐耐黎曼三号A类,上海锐耐,2026-08-14,7.7563,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
ANJ38A,启辰之星鲲鹏之势私募证券投资基金A类份额,启辰之星鲲鹏之势A类,武汉启辰之星,2026-08-14,1.2661,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BFD16A,祐益峰大路私募证券投资基金A类份额,祐益峰大路A类,厦门祐益峰资管,2026-08-14,0.9413,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BNN67A,泽源泰6号私募证券投资基金A类份额,泽源泰6号A类,深圳泽源泰森,2026-08-14,0.9708,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BNX82A,香农招享一号私募证券投资基金A类份额,香农招享一号A类,海南三亚香农,2026-08-14,0.9331,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BNX82B,香农招享一号私募证券投资基金B类份额,香农招享一号B类,海南三亚香农,2026-08-14,0.9347,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
