beian_hao,fof99_fund_name,fof99_short_name,fof99_advisor,fof99_price_date,fof99_price_nav,fof99_strategy_one,fof99_strategy_two,is_share_class,src_missing_reason,in_private_fund_info,in_amac,amac_fund_name,amac_working_state,amac_manager,has_db_nav,nav_rows,nav_min_date,nav_max_date,info_latest_nav_date,info_latest_nav,in_fof99_universe,fof99_policy,fof99_reason,universe_listed_at,last_fetch_date,last_fetch_status,last_ok_date,empty_date_probe
BGZ95B,东源中证1000指数策略2号私募证券投资基金B类份额,东源中证1000指数策略2号B类,天津东源投资,2026-08-28,1.1461,股票多头,1000指增,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BHL42A,持赢一路同行私募证券投资基金A类份额,持赢一路同行A类,南京持赢,2026-08-28,0.993,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BHN21D,智信融科多策略十二号私募证券投资基金D类份额,智信融科多策略十二号D类,上海智信融科,2026-08-28,0.9595,多资产策略,复合策略,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BHP28B,博芮东方稳行一号私募证券投资基金B类份额,博芮东方稳行一号B类,厦门博芮东方投资,2026-08-28,1.1116,期权策略,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BJB52C,京盈智投博益11号私募证券投资基金C类份额,京盈智投博益11号C类,珠海京盈智投,2026-08-28,1.2833,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BJD39B,良源1号私募证券投资基金B类份额,良源1号B类,南京良源,2026-08-28,1.0796,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BJD87A,千象卓越26号中证500指数增强私募证券投资基金A类份额,千象卓越26号中证500指数增强A类,上海千象资产,2026-08-28,1.0978,股票多头,500指增,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BJF07B,星汇天玑3号私募证券投资基金B类份额,星汇天玑3号B类,上海思达星汇,2026-08-28,1.0691,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BJG67B,守正用奇指数增强7号私募证券投资基金B类份额,守正用奇指数增强7号B类,广州守正用奇,2026-08-28,1.0697,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BJR08B,明上进取22号私募证券投资基金B类份额,明上进取22号B类,海南明上,2026-08-28,1.0192,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BJW02A,巨量均衡科技精选一号私募证券投资基金A类份额,巨量均衡科技精选一号A类,珠海巨量均衡,2026-08-28,1.2575,期货策略,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BJW49A,天泉证道泉金1号私募证券投资基金A类份额,天泉证道泉金1号A类,杭州天泉证道,2026-08-28,1.2212,其他,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BJY92A,金翼环球均衡私募证券投资基金A类份额,金翼环球均衡A类,珠海横琴金翼,2026-08-28,1.0327,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BKG64B,汇融林健CTA进取12号私募证券投资基金B类份额,汇融林健CTA进取12号B类,湖南汇智融达,2026-08-28,1.0846,期货策略,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BKJ44A,因诺天问58号私募证券投资基金A类份额,因诺天问58号A类,上海因诺资管,2026-08-28,1.0056,期货策略,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BKJ44B,因诺天问58号私募证券投资基金B类份额,因诺天问58号B类,上海因诺资管,2026-08-28,1.0135,期货策略,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BKJ97C,衍合量化选股进取2号私募证券投资基金C类份额,衍合量化选股进取2号C类,上海衍合,2026-08-28,0.9693,股票多头,量化选股,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BKL67A,资瑞兴富丽私募证券投资基金A类份额,资瑞兴富丽A类,深圳资瑞兴投资,2026-08-28,1.0848,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BKL73A,千衍六和56号1000指增私募证券投资基金A类份额,千衍六和56号1000指增A类,上海千衍,2026-08-28,1.0183,股票多头,1000指增,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BKN89A,文睿元宝私募证券投资基金A类份额,文睿元宝A类,北京文睿,2026-08-28,1.0893,套利策略,基金套利,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BKP62C,翰荣狮子量化精选11号私募证券投资基金C类份额,翰荣狮子量化精选11号C类,深圳翰荣,2026-08-28,1.0383,股票对冲,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BKR00C,伯兄颐德私募证券投资基金C类份额,伯兄颐德C类,上海伯兄投资,2026-08-28,0.871,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BKT67B,天辉萨尔1号私募证券投资基金B类份额,天辉萨尔1号B类,上海天辉,2026-08-28,1.5602,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BKU57A,久期云霄量化5号私募证券投资基金A类份额,久期云霄量化5号A类,上海久期投资,2026-08-28,1.01,多资产策略,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BKU65B,秋水高通图南1号私募证券投资基金B类份额,秋水高通图南1号B类,上海秋水高通,2026-08-28,1.077,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BKW91A,量盈日升专享18号私募证券投资基金A类份额,量盈日升专享18号A类,浙江量盈投资,2026-08-28,1.033,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BKY87A,纯达多策略一号私募证券投资基金A类份额,纯达多策略一号A类,上海纯达资管,2026-08-28,0.9886,多资产策略,复合策略,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BLK71C,龙旗红利科技轮动平衡1号私募证券投资基金C类份额,龙旗红利科技轮动平衡1号C类,杭州龙旗科技,2026-08-28,1.0981,股票多头,另类多头,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BLM15B,天鹭中证1000指数增强私募证券投资基金B类份额,天鹭中证1000指数增强B类,上海天鹭,2026-08-28,0.999,股票多头,1000指增,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BLM15C,天鹭中证1000指数增强私募证券投资基金C类份额,天鹭中证1000指数增强C类,上海天鹭,2026-08-28,0.9986,股票多头,1000指增,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BLP12A,中南璞阳二号私募证券投资基金A类份额,中南璞阳二号A类,深圳中南资管,2026-08-28,1.065,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BLV97C,复利成长1号私募证券投资基金C类份额,复利成长1号C类,海南复利,2026-08-28,0.9353,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BMM50B,环恒启明星1号私募证券投资基金B类份额,环恒启明星1号B类,浙江环恒资管,2026-08-28,1.0047,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BMN29B,森恩临界三号私募证券投资基金B类份额,森恩临界三号B类,上海森恩资管,2026-08-28,0.8915,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BMQ98A,今通赤兔红利进取1号私募证券投资基金A类份额,今通赤兔红利进取1号A类,上海今通投资,2026-08-28,1.0051,股票多头,红利指增,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BMU35A,天添淳量私募证券投资基金A类份额,天添淳量A类,平潭天添资管,2026-08-28,0.9388,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BMV02B,信义利CTA一号私募证券投资基金B类份额,信义利CTA一号B类,深圳信义利资管,2026-08-28,1.2954,期货策略,量化期货,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BMX07A,中颖济钧私募证券投资基金A类份额,中颖济钧A类,深圳中颖投资,2026-08-28,0.8027,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BNA95A,博衍九溪CTA5号私募证券投资基金A类份额,博衍九溪CTA5号A类,杭州博衍,2026-08-28,1.0202,期货策略,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BNB64B,汇融CTA增强13号私募证券投资基金B类份额,汇融CTA增强13号B类,湖南汇智融达,2026-08-28,1.0744,期货策略,主观期货,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BNE11A,进化论三维启航6号私募证券投资基金A类份额,进化论三维启航6号A类,海南进化论,2026-08-28,0.9914,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BNQ24B,浙富资本价值精选2号私募证券投资基金B类份额,浙富资本价值精选2号B类,浙江浙富,2026-08-28,1.1387,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BNS17A,纯达红利增强一号私募证券投资基金A类份额,纯达红利增强一号A类,上海纯达资管,2026-08-28,0.9622,股票多头,红利指增,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BNS69B,棱镜乾量中证1000指数增强2号私募证券投资基金B类份额,棱镜乾量中证1000指数增强2号B类,北京棱镜,2026-08-28,1.0092,股票多头,1000指增,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BPB02A,金睿和稳益私募证券投资基金A类份额,金睿和稳益A类,广东金睿和投资,2026-08-28,0.9984,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BPF23A,系综期货策略1号私募证券投资基金A类份额,系综期货策略1号A类,上海系综,2026-08-28,0.9945,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BPP91A,持赢一马当先私募证券投资基金A类份额,持赢一马当先A类,南京持赢,2026-08-28,0.877,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BPR82A,正仁多资产二号私募证券投资基金A类份额,正仁多资产二号A类,海南正仁,2026-08-28,1.0139,多资产策略,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BPY84A,澜胜稳赋套利1号私募证券投资基金A类份额,澜胜稳赋套利1号A类,上海澜胜,2026-08-28,1.0782,套利策略,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BQA49A,衍舟踏浪5号中证1000指增私募证券投资基金A类份额,衍舟踏浪5号中证1000指增A类,海南衍舟,2026-08-28,0.967,股票多头,1000指增,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BQC47C,伯兄太安私募证券投资基金C类份额,伯兄太安C类,上海伯兄投资,2026-08-28,1.319,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BQR35A,巨量均衡量选一号私募证券投资基金A类份额,巨量均衡量选一号A类,珠海巨量均衡,2026-08-28,1.1469,股票多头,量化选股,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BQT54B,盛世融邦15号私募证券投资基金B类份额,盛世融邦15号B类,广州盛世融邦,2026-08-28,0.9828,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BQX41A,正瀛广胜智选中证1000指数增强2号私募证券投资基金A类份额,正瀛广胜智选中证1000指数增强2号A类,上海正瀛资管,2026-08-28,1.0576,股票多头,1000指增,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BQY60A,锐耐1000指数增强保护合瑞1号私募证券投资基金A类份额,锐耐1000指数增强保护合瑞1号A类,上海锐耐,2026-08-28,1.0078,股票多头,1000指增,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BQY92B,高易衡山私募证券投资基金B类份额,高易衡山B类,成都高易,2026-08-28,0.8612,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BRE76A,贝塔瓯越先锋1号私募证券投资基金A类份额,贝塔瓯越先锋1号A类,杭州贝塔投资,2026-08-28,1.0939,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BRL79A,纯达沪深300指数增强1号私募证券投资基金A类份额,纯达沪深300指数增强1号A类,上海纯达资管,2026-08-28,0.8291,股票多头,300指增,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BRN03C,远和可骥多头进取1号私募证券投资基金C类份额,远和可骥多头进取1号C类,杭州远和,2026-08-28,1.0261,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BUA04B,弈泰瑞丰量策FOF1号私募证券投资基金B类份额,弈泰瑞丰量策FOF1号B类,上海弈泰,2026-08-28,0.982,组合策略,FOF,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
CS573B,百奕趋势力量化CTA私募证券投资基金B类份额,百奕趋势力量化CTAB类,上海百奕投资,2026-08-28,2.6408,期货策略,量化期货,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
GL274B,一村逍遥游私募证券投资基金B类份额,一村逍遥游B类,上海承壹,2026-08-28,1.2098,多资产策略,复合策略,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
GN800B,玉数双创一号私募证券投资基金B类份额,玉数双创一号B类,上海玉数投资,2026-08-28,1.6188,股票对冲,股票T0,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
JK250B,山信专享一号FOF私募证券投资基金B类份额,山信专享一号FOFB类,杭州萧山山信,2026-08-28,0.9714,组合策略,FOF,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
JQ508A,致同道合证券投资私募基金一期A类份额,致同道合一期A类,上海致同投资,2026-08-28,1.7405,多资产策略,宏观策略,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
JR113B,远赢2号价值稳健私募证券投资基金B类份额,远赢2号价值稳健B类,烟台远赢,2026-08-28,1.7892,股票多头,主观多头,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
JV993B,昶元5号私募证券投资基金B类份额,昶元5号B类,上海昶元投资,2026-08-28,2.659,股票多头,主观多头,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
L3681A,远惟风雪2号私募证券投资基金A类份额,远惟风雪2号A类,北京远惟投资,2026-08-28,10.2088,股票多头,主观多头,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
LB400B,钧富资产配置2号私募证券投资基金B类份额,钧富资产配置2号B类,杭州钧富投资,2026-08-28,4.7737,多资产策略,复合策略,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
LJ983A,东方港湾万年青一号私募证券投资基金A类份额,东方港湾万年青一号A类,深圳东方港湾投资,2026-08-28,1.9534,股票多头,主观多头,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
LK411A,利位复兴一号私募证券投资基金A类份额,利位复兴一号A类,上海利位,2026-08-28,1.5838,债券策略,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
LN074A,知盈甬潮成长私募证券投资基金A类份额,知盈甬潮成长A类,北京知盈投资,2026-08-28,2.152,股票多头,主观多头,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
LR065B,弈泰瑞衍八号私募证券投资基金B类份额,弈泰瑞衍八号B类,上海弈泰,2026-08-28,0.9065,期货策略,量化期货,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
N4556A,睿信烛照1号私募证券投资基金A类份额,睿信烛照1号A类,上海睿信投资,2026-08-28,2.287,股票多头,主观多头,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
ND170A,量派对冲9号私募证券投资基金A类份额,量派对冲9号A类,上海量派投资,2026-08-28,1.5145,股票对冲,股票市场中性,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
NF712A,锐联多元化旗舰二号私募证券投资基金A类份额,锐联多元化旗舰二号A类,上海锐联景淳投资,2026-08-28,1.706,多资产策略,复合策略,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
NL200A,迎水方远多策略1号私募证券投资基金A类份额,迎水方远多策略1号A类,上海迎水投资,2026-08-28,1.5991,多资产策略,复合策略,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
NP957A,皓邦尊享CTA1号私募证券投资基金A类份额,皓邦尊享CTA1号A类,上海德贝,2026-08-28,1.3324,期货策略,量化期货,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
NP957B,皓邦尊享CTA1号私募证券投资基金B类份额,皓邦尊享CTA1号B类,上海德贝,2026-08-28,1.3301,期货策略,量化期货,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
NW523B,望正共赢17号私募证券投资基金B类份额,望正共赢17号B类,深圳望正资管,2026-08-28,3.354,股票多头,主观多头,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
NY231A,玉数涵瑞中证500指数增强一号私募证券投资基金A类份额,玉数涵瑞中证500指数增强一号A类,上海玉数投资,2026-08-28,1.1487,股票多头,500指增,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
NZ321A,泓鼎量化1号私募证券投资基金A类份额,泓鼎量化1号A类,海南泓鼎,2026-08-28,2.6519,股票多头,量化选股,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
QB407A,探普宏观量化资产配置1号私募证券投资基金A类份额,探普宏观量化资产配置1号A类,上海探普久盈,2026-08-28,1.0372,组合策略,FOF,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
QH476A,铂悦荣曜3号私募证券投资基金A类份额,铂悦荣曜3号A类,深圳前海铂悦投资,2026-08-28,1.176,股票多头,主观多头,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
QH626A,金和晟龙渊宏观对冲2号私募证券投资基金A类份额,金和晟龙渊宏观对冲2号A类,上海金和晟,2026-08-28,1.437,多资产策略,宏观策略,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
QL607A,智领善进1号私募证券投资基金A类份额,智领善进1号A类,福州智领三联,2026-08-28,1.452,多资产策略,宏观策略,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
QQ039A,澄明平凡3号私募证券投资基金A类份额,澄明平凡3号A类,北京澄明,2026-08-28,1.9109,股票多头,主观多头,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
QW557B,秋水高通长天8号私募证券投资基金B类份额,秋水高通长天8号B类,上海秋水高通,2026-08-28,1.0792,组合策略,FOF,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
QZ691B,汇天利核心优选私募证券投资基金B类份额,汇天利核心优选B类,广东汇天利,2026-08-28,1.212,其他,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
S22123,凤翔长盈私募证券投资基金,凤翔长盈,深圳凤翔,2026-08-28,2.7799,股票多头,量化选股,no,in_table_null_latest_nav_date,yes,yes,凤翔长盈私募证券投资基金,正在运作,深圳凤翔私募证券基金管理有限公司,no,0,,,,,no,,,,,,,
S22131,万泰华瑞一号私募证券投资基金,万泰华瑞一号,湖南万泰华瑞投资,2026-08-28,2.009,股票多头,主观多头,no,in_table_null_latest_nav_date,yes,yes,万泰华瑞一号私募证券投资基金,正在运作,湖南万泰华瑞投资管理有限责任公司,no,0,,,,,no,,,,,,,
S22282,红五星私募证券投资基金,红五星,上海炳富投资,2026-08-28,1.005,股票多头,另类多头,no,in_table_null_latest_nav_date,yes,yes,红五星私募证券投资基金,正在运作,上海炳富投资管理有限公司,no,0,,,,,no,,,,,,,
S22528,和聚平台证券投资基金,和聚平台基金,北京和聚,2026-08-28,1.9329,股票多头,主观多头,no,in_table_null_latest_nav_date,yes,yes,和聚平台证券投资基金,正在运作,北京和聚私募基金管理有限公司,no,0,,,,,no,,,,,,,
S28097,和聚鼎宝对冲母基金,和聚鼎宝对冲母基金,北京和聚,2026-08-28,1.1964,组合策略,FOF,no,in_table_null_latest_nav_date,yes,yes,和聚鼎宝对冲母基金,正在运作,北京和聚私募基金管理有限公司,no,0,,,,,no,,,,,,,
S29962,兆元多策略1期基金,兆元多策略1期基金,北京兆元投资咨询,2026-08-28,1.6372,股票多头,主观多头,no,in_table_null_latest_nav_date,yes,yes,兆元多策略1期基金,正在运作,北京兆元投资咨询有限公司,no,0,,,,,no,,,,,,,
S34503,道合新质成长1号私募证券投资基金,道合新质成长1号,深圳道合,2026-08-28,3.5506,股票对冲,股票多空,no,in_table_null_latest_nav_date,yes,yes,道合新质成长1号私募证券投资基金,正在运作,深圳市道合私募证券基金管理有限公司,no,0,,,,,no,,,,,,,
S82480,鑫安泽雨1期-2号,鑫安泽雨1期-2号,天津易鑫安资管,2026-08-28,2.0365,股票多头,主观多头,no,in_table_null_latest_nav_date,yes,yes,鑫安泽雨1期-2号,正在运作,天津易鑫安资产管理有限公司,no,0,,,,,no,,,,,,,
SAAA36,若谷米参1号私募证券投资基金,若谷米参1号,海南若谷,2026-08-28,0.9327,股票对冲,股票市场中性,no,in_table_null_latest_nav_date,yes,yes,若谷米参1号私募证券投资基金,正在运作,海南若谷私募基金管理有限公司,no,0,,,,,no,,,,,,,
SAAK10,道衍中性私募证券投资基金,道衍中性,上海道衍,2026-08-28,1.374,股票对冲,股票市场中性,no,in_table_null_latest_nav_date,yes,yes,道衍中性私募证券投资基金,正在运作,上海道衍私募基金管理有限公司,no,0,,,,,no,,,,,,,
SAAS55,杉树凌云1号私募证券投资基金,杉树凌云1号,上海杉树资管,2026-08-28,0.9335,股票多头,量化选股,no,in_table_null_latest_nav_date,yes,yes,杉树凌云1号私募证券投资基金,正在运作,上海杉树资产管理有限公司,no,0,,,,,no,,,,,,,
SABU92,顺时代一号私募证券投资基金,顺时代一号,深圳顺时代,2026-08-28,1.3028,股票多头,,no,in_table_null_latest_nav_date,yes,yes,顺时代一号私募证券投资基金,正在运作,深圳市顺时代私募证券基金管理有限公司,no,0,,,,,no,,,,,,,
SACA32,亮马大有私募证券投资基金,亮马大有,北京亮马河投资,2026-08-28,1.9552,股票多头,主观多头,no,in_table_null_latest_nav_date,yes,yes,亮马大有私募证券投资基金,正在运作,北京亮马河投资管理有限公司,no,0,,,,,no,,,,,,,
SACN13,钜融守静观复1号私募证券投资基金,钜融守静观复1号,中海外钜融资管,2026-08-28,1.0254,股票多头,主观多头,no,in_table_null_latest_nav_date,yes,yes,钜融守静观复1号私募证券投资基金,正在运作,中海外钜融资产管理集团有限公司,no,0,,,,,no,,,,,,,
SACV31,杉树瑞进3号量化私募证券投资基金,杉树瑞进3号量化,上海杉树资管,2026-08-28,1.0642,股票多头,300指增,no,in_table_null_latest_nav_date,yes,yes,杉树瑞进3号量化私募证券投资基金,正在运作,上海杉树资产管理有限公司,no,0,,,,,no,,,,,,,
SADE39,中豁汇泽3号私募证券投资基金,中豁汇泽3号,北京中豁投资,2026-08-28,1.4465,股票多头,,no,in_table_null_latest_nav_date,yes,yes,中豁汇泽3号私募证券投资基金,正在运作,北京中豁投资管理有限公司,no,0,,,,,no,,,,,,,
SADJ45,日斗中农创价值一号私募证券投资基金,日斗中农创价值一号,深圳日斗投资,2026-08-28,1.1313,股票多头,主观多头,no,in_table_null_latest_nav_date,yes,yes,日斗中农创价值一号私募证券投资基金,正在运作,深圳市日斗投资管理有限公司,no,0,,,,,no,,,,,,,
SADL95,红孩尔道禾2号私募证券投资基金,红孩尔道禾2号,广州红孩尔,2026-08-28,2.3721,股票多头,主观多头,no,in_table_null_latest_nav_date,yes,yes,红孩尔道禾2号私募证券投资基金,正在运作,广州红孩尔私募证券投资基金管理有限公司,no,0,,,,,no,,,,,,,
SAEA78,量宇进取1号私募证券投资基金,量宇进取1号,上海量宇,2026-08-28,1.0105,套利策略,期货套利,no,in_table_null_latest_nav_date,yes,yes,量宇进取1号私募证券投资基金,正在运作,上海量宇私募基金管理有限公司,no,0,,,,,no,,,,,,,
SAEJ38,臻远二号私募证券投资基金,臻远二号,广东臻远,2026-08-28,0.9422,股票多头,,no,in_table_null_latest_nav_date,yes,yes,臻远二号私募证券投资基金,正在运作,广东臻远私募基金管理有限公司,no,0,,,,,no,,,,,,,
SAEL68,宝荟华悦1号私募证券投资基金,宝荟华悦1号,上海宝荟投资,2026-08-28,2.5225,股票多头,主观多头,no,in_table_null_latest_nav_date,yes,yes,宝荟华悦1号私募证券投资基金,正在运作,上海宝荟投资管理中心（有限合伙）,no,0,,,,,no,,,,,,,
SAEL84,宽辅A500指数增强1号私募证券投资基金,宽辅A500指数增强1号,海南宽辅,2026-08-28,1.4843,股票多头,A500指增,no,in_table_null_latest_nav_date,yes,yes,宽辅A500指数增强1号私募证券投资基金,正在运作,海南宽辅私募基金管理合伙企业（有限合伙）,no,0,,,,,no,,,,,,,
SAEQ99,致睿稳利2号私募证券投资基金,致睿稳利2号,深圳前海致睿基金,2026-08-28,0.934,股票多头,主观多头,no,in_table_null_latest_nav_date,yes,yes,致睿稳利2号私募证券投资基金,正在运作,深圳前海致睿基金管理有限公司,no,0,,,,,no,,,,,,,
SAES99,杉树省心享稳泰凯旋瑞享1号私募证券投资基金,杉树省心享稳泰凯旋瑞享1号,上海杉树资管,2026-08-28,0.9574,股票对冲,股票多空,no,in_table_null_latest_nav_date,yes,yes,杉树省心享稳泰凯旋瑞享1号私募证券投资基金,正在运作,上海杉树资产管理有限公司,no,0,,,,,no,,,,,,,
SAFV71,杉树他山私募证券投资基金,杉树他山,上海杉树资管,2026-08-28,1.3579,股票多头,量化选股,no,in_table_null_latest_nav_date,yes,yes,杉树他山私募证券投资基金,正在运作,上海杉树资产管理有限公司,no,0,,,,,no,,,,,,,
SAGE04,扶摇鲲鹏一号私募证券投资基金,扶摇鲲鹏一号,山西扶摇,2026-08-28,0.8516,股票多头,,no,in_table_null_latest_nav_date,yes,yes,扶摇鲲鹏一号私募证券投资基金,正在运作,湖南扶摇私募基金管理有限公司,no,0,,,,,no,,,,,,,
SAGK97,天鹭添福股票量化优选二号私募证券投资基金,天鹭添福股票量化优选二号,上海天鹭,2026-08-28,0.8435,股票多头,2000指增,no,in_table_null_latest_nav_date,yes,yes,天鹭添福股票量化优选二号私募证券投资基金,正在运作,上海天鹭私募基金管理有限公司,no,0,,,,,no,,,,,,,
SAHD70,万泰华瑞健康一号私募证券投资基金,万泰华瑞健康一号,湖南万泰华瑞投资,2026-08-28,1.15,股票多头,主观多头,no,in_table_null_latest_nav_date,yes,yes,万泰华瑞健康一号私募证券投资基金,正在运作,湖南万泰华瑞投资管理有限责任公司,no,0,,,,,no,,,,,,,
SAHM61,盈怀问荆2号私募证券投资基金,盈怀问荆2号,上海盈怀,2026-08-28,0.9858,股票多头,,no,in_table_null_latest_nav_date,yes,yes,盈怀问荆2号私募证券投资基金,正在运作,上海盈怀私募基金管理有限公司,no,0,,,,,no,,,,,,,
SAHN91,聚力财富平衡1号私募证券投资基金,聚力财富平衡1号,湖南聚力财富,2026-08-28,2.01,股票多头,主观多头,no,in_table_null_latest_nav_date,yes,yes,聚力财富平衡1号私募证券投资基金,正在运作,湖南聚力财富私募基金管理有限公司,no,0,,,,,no,,,,,,,
