date,code,value
2026/05/01,EMM00191807,8.382835
2026/04/01,EMM00191807,8.494324
2026/03/01,EMM00191807,8.650076
2026/02/01,EMM00191807,8.944453
2026/01/01,EMM00191807,8.956758
2025/12/01,EMM00191807,9.076052
2025/11/01,EMM00191807,9.308499
2025/10/01,EMM00191807,9.322185
2025/09/01,EMM00191807,9.510378
2025/08/01,EMM00191807,9.66526
2025/07/01,EMM00191807,9.865683
2025/06/01,EMM00191807,9.790583
2025/05/01,EMM00191807,9.62953
2025/04/01,EMM00191807,9.62172
2025/03/01,EMM00191807,9.291259
2025/02/01,EMM00191807,9.12454
2025/01/01,EMM00191807,8.960633
2024/12/01,EMM00191807,8.960315
2024/11/01,EMM00191807,8.751446
2024/10/01,EMM00191807,8.847467
2024/09/01,EMM00191807,9.01572
2024/08/01,EMM00191807,9.22784
2024/07/01,EMM00191807,9.338723
2024/06/01,EMM00191807,9.285545
2024/05/01,EMM00191807,9.67191
2024/04/01,EMM00191807,9.567326
2024/03/01,EMM00191807,9.982654
2024/02/01,EMM00191807,10.309678
2024/01/01,EMM00191807,10.912215
2023/12/01,EMM00191807,10.966602
2023/11/01,EMM00191807,10.817115
2023/10/01,EMM00191807,10.737052
2023/09/01,EMM00191807,10.477047
2023/08/01,EMM00191807,10.407422
2023/07/01,EMM00191807,10.280279
2023/06/01,EMM00191807,10.382987
2023/05/01,EMM00191807,10.871304
2023/04/01,EMM00191807,11.393359
2023/03/01,EMM00191807,11.332292
2023/02/01,EMM00191807,11.264748
2023/01/01,EMM00191807,10.65963
2022/12/01,EMM00191807,10.94641
2022/11/01,EMM00191807,11.397962
2022/10/01,EMM00191807,11.714776
2022/09/01,EMM00191807,12.027418
2022/08/01,EMM00191807,11.925141
2022/07/01,EMM00191807,12.237533
2022/06/01,EMM00191807,12.391099
2022/05/01,EMM00191807,12.016
2022/04/01,EMM00191807,11.776379
2022/03/01,EMM00191807,12.197561
2022/02/01,EMM00191807,11.873499
2022/01/01,EMM00191807,12.140904
2021/12/01,EMM00191807,12.003946
2021/11/01,EMM00191807,11.806358
2021/10/01,EMM00191807,11.72448
2021/09/01,EMM00191807,11.700491
2021/08/01,EMM00191807,12.085777
2021/07/01,EMM00191807,12.499393
2021/06/01,EMM00191807,12.834875
2021/05/01,EMM00191807,12.921674
2021/04/01,EMM00191807,13.606122
2021/03/01,EMM00191807,14.308654
2021/02/01,EMM00191807,15.406449
2021/01/01,EMM00191807,15.096963
2020/12/01,EMM00191807,15.374487
2020/11/01,EMM00191807,15.77258
2020/10/01,EMM00191807,15.850314
2020/09/01,EMM00191807,15.675241
2020/08/01,EMM00191807,15.418762
2020/07/01,EMM00191807,14.933274
2020/06/01,EMM00191807,14.834142
2020/05/01,EMM00191807,14.620385
2020/04/01,EMM00191807,14.040073
2020/03/01,EMM00191807,13.467901
2020/02/01,EMM00191807,12.583185
2020/01/01,EMM00191807,12.687632
2019/12/01,EMM00191807,12.796933
2019/11/01,EMM00191807,12.785343
2019/10/01,EMM00191807,12.696655
2019/09/01,EMM00191807,12.802138
2019/08/01,EMM00191807,12.847097
2019/07/01,EMM00191807,13.119591
2019/06/01,EMM00191807,13.537451
2019/05/01,EMM00191807,13.37149
2019/04/01,EMM00191807,13.136097
2019/03/01,EMM00191807,13.595154
2019/02/01,EMM00191807,13.036882
2019/01/01,EMM00191807,13.256005
2018/12/01,EMM00191807,12.626732
2018/11/01,EMM00191807,12.687843
2018/10/01,EMM00191807,13.247618
2018/09/01,EMM00191807,13.736174
2018/08/01,EMM00191807,14.08178
2018/07/01,EMM00191807,14.039597
2018/06/01,EMM00191807,14.388417
2018/05/01,EMM00191807,14.954656
2018/04/01,EMM00191807,15.527409
2018/03/01,EMM00191807,15.549553
2018/02/01,EMM00191807,16.336328
2018/01/01,EMM00191807,16.387498
2017/12/01,EMM00191807,17.208956
2017/11/01,EMM00191807,17.283194
2017/10/01,EMM00191807,17.184866
2017/09/01,EMM00191807,16.814101
2017/08/01,EMM00191807,16.440885
2017/07/01,EMM00191807,16.199975
2017/06/01,EMM00191807,15.114945
2017/05/01,EMM00191807,14.629006
2017/04/01,EMM00191807,13.919337
2017/03/01,EMM00191807,13.162382
2017/02/01,EMM00191807,13.278561
2017/01/01,EMM00191807,13.159443
2016/12/01,EMM00191807,13.279565
2016/11/01,EMM00191807,13.591073
2016/10/01,EMM00191807,13.082472
2016/09/01,EMM00191807,12.888278
2016/08/01,EMM00191807,12.749565
2016/07/01,EMM00191807,12.586493
2016/06/01,EMM00191807,12.873819
2016/05/01,EMM00191807,13.213567
2016/04/01,EMM00191807,13.797284
2016/03/01,EMM00191807,14.140263
2016/02/01,EMM00191807,13.343004
2016/01/01,EMM00191807,13.931824
2015/12/01,EMM00191807,12.973291
2015/11/01,EMM00191807,13.061185
2015/10/01,EMM00191807,13.29416
2015/09/01,EMM00191807,13.478
