date,shibor_3m_close
2000/1/28,
2000/2/29,
2000/3/31,
2000/4/28,
2000/5/31,
2000/6/30,
2000/7/31,
2000/8/31,
2000/9/29,
2000/10/31,
2000/11/30,
2000/12/29,
2001/1/19,
2001/2/28,
2001/3/30,
2001/4/30,
2001/5/31,
2001/6/29,
2001/7/31,
2001/8/31,
2001/9/28,
2001/10/31,
2001/11/30,
2001/12/31,
2002/1/31,
2002/2/28,
2002/3/29,
2002/4/30,
2002/5/31,
2002/6/28,
2002/7/31,
2002/8/30,
2002/9/27,
2002/10/31,
2002/11/29,
2002/12/31,
2003/1/29,
2003/2/28,
2003/3/31,
2003/4/30,
2003/5/30,
2003/6/30,
2003/7/31,
2003/8/29,
2003/9/30,
2003/10/31,
2003/11/28,
2003/12/31,
2004/1/30,
2004/2/27,
2004/3/31,
2004/4/30,
2004/5/31,
2004/6/30,
2004/7/30,
2004/8/31,
2004/9/30,
2004/10/29,
2004/11/30,
2004/12/31,
2005/1/31,
2005/2/28,
2005/3/31,
2005/4/29,
2005/5/31,
2005/6/30,
2005/7/29,
2005/8/31,
2005/9/30,
2005/10/31,
2005/11/30,
2005/12/30,
2006/1/25,
2006/2/28,
2006/3/31,
2006/4/28,
2006/5/31,
2006/6/30,
2006/7/31,
2006/8/31,
2006/9/29,
2006/10/31,2.6479
2006/11/30,2.8054
2006/12/29,
2007/1/31,2.8083
2007/2/28,2.8539
2007/3/30,2.861
2007/4/30,2.9574
2007/5/31,3.0472
2007/6/29,3.0868
2007/7/31,3.1924
2007/8/31,3.2793
2007/9/28,
2007/10/31,4.0516
2007/11/30,4.3535
2007/12/28,
2008/1/31,4.5052
2008/2/29,4.5018
2008/3/31,4.4982
2008/4/30,4.4904
2008/5/30,4.4804
2008/6/30,4.4833
2008/7/31,4.3473
2008/8/29,4.3246
2008/9/26,
2008/10/31,4.0655
2008/11/28,2.7534
2008/12/31,1.7782
2009/1/23,
2009/2/27,1.2748
2009/3/31,1.2241
2009/4/30,1.2144
2009/5/27,
2009/6/30,1.3179
2009/7/31,1.6713
2009/8/31,1.7334
2009/9/30,1.7687
2009/10/30,1.7894
2009/11/30,1.8064
2009/12/31,1.8319
2010/1/29,1.9048
2010/2/26,1.9443
2010/3/31,1.9419
2010/4/30,1.9398
2010/5/31,2.1201
2010/6/30,2.6308
2010/7/30,2.4475
