date,shibor_3m_close
2010/8/31,2.512
2010/9/30,2.6113
2010/10/29,2.8302
2010/11/30,3.2498
2010/12/31,4.6234
2011/1/31,5.7464
2011/2/28,4.9107
2011/3/31,4.169
2011/4/29,4.5387
2011/5/31,4.6059
2011/6/30,6.3917
2011/7/29,5.9993
2011/8/31,5.5444
2011/9/30,5.6466
2011/10/31,5.7048
2011/11/30,5.6654
2011/12/30,
2012/1/31,5.4668
2012/2/29,5.2775
2012/3/30,
2012/4/27,
2012/5/31,4.2068
2012/6/29,4.0778
2012/7/31,3.7371
2012/8/31,3.6325
2012/9/28,
2012/10/31,3.7185
2012/11/30,3.8256
2012/12/31,3.8996
2013/1/31,3.8878
2013/2/28,3.8946
2013/3/29,3.8805
2013/4/26,
2013/5/31,3.8821
2013/6/28,5.439
2013/7/31,4.6645
2013/8/30,4.6572
2013/9/30,4.6704
2013/10/31,4.6948
2013/11/29,4.7229
2013/12/31,5.5565
2014/1/30,5.6
2014/2/28,5.529
2014/3/31,5.5
2014/4/30,5.495
2014/5/30,4.925
2014/6/30,4.7499
2014/7/31,4.7215
2014/8/29,4.6659
2014/9/30,4.5445
2014/10/31,4.4472
2014/11/28,4.1695
2014/12/31,5.1351
2015/1/30,4.914
2015/2/27,
2015/3/31,4.8975
2015/4/30,3.97
2015/5/29,2.864
2015/6/30,3.233
2015/7/31,3.1575
2015/8/31,3.1
2015/9/30,3.153
2015/10/30,3.036
2015/11/30,3.05
2015/12/31,3.0852
2016/1/29,3.103
2016/2/29,2.899
2016/3/31,2.8248
2016/4/29,2.908
2016/5/31,2.946
2016/6/30,2.9659
2016/7/29,2.846
2016/8/31,2.794
2016/9/30,2.8015
2016/10/31,2.8233
2016/11/30,3.0358
2016/12/30,3.2726
2017/1/26,3.8706
2017/2/28,4.2841
2017/3/31,4.393
2017/4/28,4.2974
2017/5/31,4.5641
2017/6/30,4.5009
2017/7/31,4.2561
2017/8/31,4.3728
2017/9/29,
2017/10/31,4.3954
2017/11/30,4.7594
2017/12/29,4.9133
2018/1/31,4.7257
2018/2/28,4.7131
2018/3/30,4.4615
2018/4/27,
2018/5/31,4.329
2018/6/29,4.155
2018/7/31,3.174
2018/8/31,2.894
2018/9/28,
2018/10/31,2.963
2018/11/30,3.113
2018/12/28,
2019/1/31,2.9
2019/2/28,2.751
2019/3/29,2.801
2019/4/30,2.93
2019/5/31,2.912
2019/6/28,2.708
2019/7/31,2.644
2019/8/30,2.701
2019/9/30,2.728
2019/10/31,2.887
2019/11/29,3.017
2019/12/31,3.02
2020/1/23,2.858
2020/2/28,2.429
2020/3/31,1.933
2020/4/30,1.4
2020/5/29,1.453
2020/6/30,2.126
2020/7/31,2.593
2020/8/31,2.636
2020/9/30,2.691
2020/10/30,2.972
2020/11/30,3.123
2020/12/31,2.756
2021/1/29,2.765
2021/2/26,2.833
2021/3/31,2.635
2021/4/30,2.58
2021/5/31,2.479
2021/6/30,2.458
2021/7/30,2.401
2021/8/31,2.357
2021/9/30,2.431
2021/10/29,2.449
2021/11/30,2.492
2021/12/31,2.5
2022/1/28,
2022/2/28,2.37
2022/3/31,2.373
2022/4/29,2.217
2022/5/31,1.998
2022/6/30,2.0
2022/7/29,1.846
2022/8/31,1.6
2022/9/30,1.673
2022/10/31,1.745
2022/11/30,2.193
2022/12/30,2.422
2023/1/31,2.364
2023/2/28,2.437
2023/3/31,2.448
2023/4/28,2.428
2023/5/31,2.219
2023/6/30,2.168
2023/7/31,2.097
2023/8/31,2.043
2023/9/28,2.302
2023/10/31,2.415
2023/11/30,2.493
2023/12/29,2.53
2024/1/31,2.388
2024/2/29,2.193
2024/3/29,2.156
2024/4/30,2.002
2024/5/31,1.955
2024/6/28,1.918
2024/7/31,1.86
2024/8/30,1.85
2024/9/30,1.84
2024/10/31,1.884
2024/11/29,1.852
2024/12/31,1.6855
2025/1/27,1.702
2025/2/28,1.922
2025/3/31,1.912
2025/4/30,1.75
2025/5/30,1.652
2025/6/30,1.63
2025/7/31,1.566
2025/8/29,1.55
2025/9/30,1.58
2025/10/31,1.596
2025/11/28,1.58
2025/12/31,1.6
2026/1/30,1.589
2026/2/27,
2026/3/13,1.542
