beian_hao,product_name,strategy_l1,strategy_l2,manager,inception_date,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,sharpe_1y,calmar_1y,perf_filled_count,source_files,in_database,in_private_fund_info,in_private_fund_info_bfl,has_nav,db_product_name,db_latest_nav,db_latest_nav_date,vendor_nav_points,vendor_latest_nav_date,email_type6_nav_points,email_group_nav_points,email_hy_nav_points,in_fof99_universe,fof99_tracking_status,fof99_policy,fof99_reason,fof99_last_ok_date,fof99_last_log_status,in_team_track
SAWR59,玮博稳健1号一期,多资产策略,宏观策略,杭州玮博,2025-04-09,-0.59%,+2.12%,+0.19%,+0.30%,+8.18%,0.8943,1.7422,7,私募基金 (3).xlsx,Y,Y,N,Y,玮博稳健1号一期,1.087500,2026-09-04,75,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAWT03,雸昇启明星六号,期货策略,,杭州雸昇资管,2025-04-16,+0.59%,-2.11%,+3.13%,-0.77%,+1.03%,-0.0812,0.1592,7,私募基金.xlsx,Y,Y,N,Y,雸昇启明星六号,1.041400,2026-09-04,75,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAWX18,国源拾金11号,多资产策略,复合策略,深圳国源信达资管,2025-06-19,-1.22%,+7.23%,+3.57%,-1.39%,+25.88%,1.4598,2.0880,7,私募基金 (3).xlsx,Y,Y,N,Y,国源拾金11号,1.379100,2026-09-04,65,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAWX37,盛冠达泽众9号,套利策略,期货套利,海南盛冠达,2025-04-11,-0.55%,+0.62%,+0.28%,-0.63%,+6.58%,1.4691,3.7324,7,私募基金 (1).xlsx,Y,Y,N,Y,盛冠达泽众9号,1.105600,2026-09-04,74,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAWX71,宝荟爆米花JG28号,期权策略,场内期权,上海宝荟投资,2025-05-14,-2.99%,+5.93%,-9.22%,-7.87%,+12.97%,0.3910,0.6336,7,私募基金 (2).xlsx,Y,Y,N,Y,宝荟爆米花JG28号,0.876000,2026-09-04,71,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAWZ97,弈祖青圭礼东2号,期货策略,主观期货,上海弈祖投资,2025-04-28,-5.26%,+35.81%,+4.37%,-16.03%,+61.74%,0.8749,1.0760,7,私募基金.xlsx,Y,Y,N,Y,弈祖青圭礼东2号,2.043000,2026-09-04,73,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAXA75,御剑乘风丰惠德多策略精选1号,多资产策略,复合策略,青岛御剑乘风,2025-04-14,-0.22%,+4.48%,-1.65%,-1.96%,+7.92%,0.6297,1.0022,7,私募基金 (3).xlsx,Y,Y,N,N,御剑乘风丰惠德多策略精选1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,,N
SAXA96,星瀚量化择时2号,多资产策略,复合策略,杭州星瀚投资,2025-04-17,-0.62%,+2.35%,-2.29%,+12.76%,+15.74%,1.1443,2.0172,7,私募基金 (3).xlsx,Y,Y,N,Y,星瀚量化择时2号,1.319800,2026-09-04,74,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAXE64,泓湖均衡配置八号2期,多资产策略,,上海泓湖,2025-05-27,+0.83%,+3.71%,+0.20%,+4.28%,+23.61%,1.9694,4.9559,7,私募基金 (3).xlsx,Y,Y,N,Y,泓湖均衡配置八号2期,1.250900,2026-09-04,66,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAXE84,汇智晨星-启晨1号,期货策略,量化期货,北京汇智晨星,2025-04-29,-0.30%,+0.12%,+3.63%,+9.22%,+17.63%,3.7258,30.0231,7,私募基金.xlsx,Y,Y,N,Y,汇智晨星-启晨1号私募证券投资基金,1.123400,2026-09-11,1,2026-09-04,0,0,0,Y,weekly_plus,weekly_plus,1m blank-policy: email usually has the week; weekly_plus Friday FundMultiPrice only if list_nav_date is behind,2026-09-04,ok,Y
SAXE88,会世宏观量化1号,多资产策略,宏观策略,上海会世,2025-05-12,+1.45%,+3.47%,-1.52%,-2.38%,+16.16%,1.2834,1.7064,7,私募基金 (3).xlsx,Y,Y,Y,Y,会世宏观量化1号,1.228400,2026-09-04,70,2026-09-04,0,54,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,Y
SAXE97,上海宽德飞虹50号1期,期货策略,,上海宽德,2025-06-24,-1.88%,+8.49%,-6.03%,-9.66%,+3.00%,0.0463,0.1613,7,私募基金.xlsx,Y,Y,N,Y,上海宽德飞虹50号1期,1.075100,2026-09-04,73,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAXH50,九木CTA1号,期货策略,量化期货,深圳九木,2025-04-22,+3.66%,+3.42%,+5.12%,+1.11%,+20.79%,1.6699,4.1110,7,私募基金.xlsx,Y,Y,N,Y,九木CTA1号,1.315000,2026-09-10,74,2026-09-10,1,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-03 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok,N
SAXL22,卓里奇领航成长1号,多资产策略,复合策略,卓里奇（武汉）私募基金合伙企业（有限合伙）,2025-04-17,-2.36%,+7.17%,+0.04%,-8.16%,+8.67%,0.3292,0.5169,7,私募基金 (3).xlsx,Y,Y,N,Y,卓里奇领航成长1号,1.119200,2026-09-04,71,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAXN04,稻达金霖1号,期货策略,主观期货,杭州稻达,2025-04-21,-0.31%,+5.75%,-5.06%,-1.46%,+9.67%,0.6863,0.9302,7,私募基金.xlsx,Y,Y,N,Y,稻达金霖1号,0.957000,2026-09-04,73,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAXN63,凯丰御风3号量化CTA,期货策略,,深圳凯丰投资,2025-04-29,+1.29%,+0.69%,+1.35%,+7.67%,+22.18%,2.0700,3.8633,7,私募基金.xlsx,Y,Y,N,Y,凯丰御风3号量化CTA,1.220100,2026-09-04,72,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAXN78,九木套利1号,套利策略,期货套利,深圳九木,2025-04-22,+0.07%,+0.31%,-2.92%,-0.41%,+0.40%,-0.3670,0.1099,7,私募基金 (1).xlsx,Y,Y,Y,Y,九木套利1号,1.038000,2026-09-10,74,2026-09-10,0,186,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-03 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok,Y
SAXP21,智领源舟一号,期货策略,,福州智领三联,2025-04-23,+1.67%,+13.11%,+1.59%,-17.26%,-2.42%,-0.1825,-0.0737,7,私募基金.xlsx,Y,Y,N,Y,智领源舟一号,1.092100,2026-09-04,73,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAXQ16,熙盛容成5号商品趋势,期货策略,,上海熙盛明诚,2025-04-23,+1.42%,+4.73%,+3.68%,+18.17%,+31.94%,2.7268,5.8909,7,私募基金.xlsx,Y,Y,N,Y,熙盛容成5号商品趋势,1.039700,2026-09-04,73,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAXR31,米答维斯塔潘1号,多资产策略,宏观策略,上海米答资管,2025-05-13,+0.39%,-3.33%,+6.20%,+23.54%,+31.81%,0.6396,0.9120,7,私募基金 (3).xlsx,Y,Y,N,Y,米答维斯塔潘1号,0.956800,2026-09-04,71,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAXS45,笃熙禀泰对冲套利征途1号,套利策略,期货套利,上海笃熙禀泰,2025-05-07,-0.51%,+7.03%,+2.64%,,,,,3,私募基金 (1).xlsx,Y,Y,N,Y,笃熙禀泰文艺复兴20号私募证券投资基金,1.050500,2026-09-10,19,2026-09-10,193,0,0,Y,weekly,weekly,1-3m job now within 1 month; weekly Friday FundMultiPrice,2026-09-10,ok,N
SAXT05,聚商环宇2号,组合策略,FOF,江苏聚商,2025-05-23,-1.41%,+5.15%,-5.88%,-8.40%,-4.81%,-0.4904,-0.3566,7,私募基金 (4).xlsx,Y,Y,N,Y,聚商环宇2号,0.977600,2026-09-04,68,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAXV38,量量资产聚沙进取1号,多资产策略,宏观策略,广州量量资管,2025-05-06,-5.98%,+0.02%,-1.98%,-4.05%,+21.49%,0.6557,1.1665,7,私募基金 (3).xlsx,Y,Y,N,Y,量量资产聚沙进取1号,1.112500,2026-09-04,71,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAXX90,千源进取1期,期货策略,量化期货,广东千源,2025-06-16,-1.19%,+11.87%,+4.37%,+5.42%,+48.02%,1.4924,2.7630,7,私募基金.xlsx,Y,Y,N,Y,千源进取1期,1.250400,2026-09-04,66,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAXX91,千源全天候1期,多资产策略,复合策略,广东千源,2025-06-30,-0.96%,+10.15%,+1.89%,+1.48%,+21.75%,0.9564,1.5847,7,私募基金 (3).xlsx,Y,Y,N,Y,千源全天候1期,1.087000,2026-09-04,63,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAXZ95,浅行量化全天候1号,多资产策略,宏观策略,海南浅行,2025-05-09,+0.19%,+0.86%,+0.91%,+1.40%,+9.01%,1.5599,3.7670,7,私募基金 (3).xlsx,Y,Y,N,Y,浅行量化全天候1号,1.083300,2026-09-04,70,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAYB14,蜂起期权对冲2号,期权策略,场内期权,珠海蜂起资本,2025-05-12,-0.46%,+1.85%,+0.34%,-0.30%,+1.93%,-0.0177,0.4382,7,私募基金 (2).xlsx,Y,Y,N,N,蜂起期权对冲2号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,,N
SAYB79,吉余美提斯2号,期货策略,量化期货,上海吉余,2025-06-26,-1.22%,+4.79%,-0.43%,-7.69%,+32.49%,1.2345,2.2047,7,私募基金.xlsx,Y,Y,N,Y,吉余美提斯2号,1.220900,2026-09-10,237,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-03 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok,N
SAYC12,钇远寻闲1号,多资产策略,宏观策略,上海钇远,2025-05-19,+0.40%,+0.88%,+0.27%,+2.12%,+7.68%,1.3267,4.2793,7,私募基金 (3).xlsx,Y,Y,N,Y,钇远寻闲1号,1.124600,2026-09-04,71,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAYC24,观理摘金成长2号,期货策略,主观期货,广东观理,2025-05-16,+0.77%,+7.84%,+30.30%,+48.90%,+67.61%,2.9185,4.2693,7,私募基金.xlsx,Y,Y,N,Y,观理摘金成长2号,1.468400,2026-09-08,72,2026-09-08,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-08,ok,N
SAYD15,抱朴石晟鸣一号,组合策略,FOF,厦门抱朴石,2025-06-05,+0.30%,+2.01%,+0.10%,-1.10%,+5.08%,0.5202,1.2385,7,私募基金 (4).xlsx,Y,Y,N,Y,抱朴石晟鸣一号,0.983800,2026-09-04,64,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAYD55,乾铭颂瑞FOF2号,组合策略,FOF,浙江乾铭,2025-06-04,-0.05%,+2.87%,-5.67%,-6.66%,-0.59%,-0.2677,-0.0593,7,私募基金 (4).xlsx,Y,Y,N,N,乾铭颂瑞FOF2号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,,N
SAYD69,宣夜投资天泽一号,多资产策略,复合策略,上海宣夜投资,2025-05-21,+0.03%,+1.65%,-0.62%,+0.09%,+5.82%,0.6486,1.6499,7,私募基金 (3).xlsx,Y,Y,N,Y,宣夜投资天泽一号,1.118000,2026-09-04,69,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAYD95,中益仁冬封千尘,期权策略,,日照中益仁,2025-05-07,-0.30%,+0.76%,+1.85%,+4.80%,+4.93%,0.5006,0.8429,7,私募基金 (2).xlsx,Y,Y,N,N,中益仁冬封千尘私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,,N
SAYJ98,上海宽德飞虹53号臻享一期,期货策略,,上海宽德,2025-06-23,-1.88%,+8.57%,-6.09%,-9.62%,+2.94%,0.0433,0.1594,7,私募基金.xlsx,Y,Y,N,Y,上海宽德飞虹53号臻享一期,1.076300,2026-09-04,79,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-02 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAYJ99,上海宽德飞虹53号臻享二期,期货策略,,上海宽德,2025-07-07,-1.87%,+8.58%,-6.09%,-9.61%,+2.94%,0.0435,0.1597,7,私募基金.xlsx,Y,Y,N,Y,上海宽德飞虹53号臻享二期,1.078100,2026-09-04,79,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-02 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAYL31,融亨源理1号,期货策略,量化期货,北京融亨基金,2025-05-30,+5.67%,+8.71%,+9.95%,+10.69%,-0.26%,-0.2125,-0.0196,7,私募基金.xlsx,Y,Y,N,Y,融亨源理1号,0.995200,2026-09-04,251,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAYM75,龙智铿锵CTA恒泰1号,期货策略,,广州龙智投资,2025-05-21,-0.29%,-2.37%,-4.55%,-2.57%,-1.83%,-0.5541,-0.3277,7,私募基金.xlsx,Y,Y,N,Y,龙智铿锵CTA恒泰1号,0.990100,2026-09-04,99,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAYN04,博润芝麻宏观1号,多资产策略,宏观策略,北京博润银泰投资,2025-06-11,+0.41%,+7.64%,+4.39%,-5.93%,+8.21%,0.4113,0.5235,7,私募基金 (3).xlsx,Y,Y,N,Y,博润芝麻宏观1号,1.119700,2026-09-04,66,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAYN63,邦阁赤水1号,套利策略,可转债套利,上海邦阁,2025-05-29,-0.48%,-3.49%,-2.01%,-7.29%,-9.31%,-1.2345,-0.6447,7,私募基金 (1).xlsx,Y,Y,N,Y,邦阁赤水1号,0.948700,2026-09-04,63,2026-09-04,41,0,0,Y,weekly,weekly,1-3m job now within 1 month; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAYP44,新宇永丰CTA二号,期货策略,,绍兴市新宇资管,2025-05-30,-0.87%,-1.36%,-3.77%,-3.14%,+8.94%,0.6778,1.3493,7,私募基金.xlsx,Y,Y,N,Y,新宇永丰CTA二号,0.960600,2026-09-04,67,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAYQ84,恒昇CTA量化6号,期货策略,量化期货,深圳恒昇,2025-06-12,+0.98%,+3.13%,-5.77%,-4.98%,-2.92%,-0.4237,-0.1798,7,私募基金.xlsx,Y,Y,N,Y,恒昇CTA量化6号,0.975800,2026-09-04,66,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAYR81,宇嬴鲲鹏多策略,多资产策略,复合策略,共青城宇嬴,2025-05-16,-5.89%,+11.97%,-6.86%,-26.04%,-11.06%,-0.3487,-0.2472,7,私募基金 (3).xlsx,Y,Y,N,Y,宇嬴鲲鹏多策略,0.830300,2026-09-08,70,2026-09-08,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-24 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-08,ok,N
SAYS94,亿库承泓1号,多资产策略,复合策略,深圳亿库资管,2025-05-29,-2.82%,+9.26%,-4.36%,-5.58%,+28.79%,0.8314,1.5178,7,私募基金 (3).xlsx,Y,Y,N,Y,亿库承泓1号,1.071800,2026-09-04,69,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAYU23,智领泽临套利六号,套利策略,,福州智领三联,2025-05-23,+0.20%,+0.38%,+2.35%,+4.77%,+11.93%,4.1783,21.0627,7,私募基金 (1).xlsx,Y,Y,N,Y,智领泽临套利六号,1.023100,2026-09-04,68,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAYU58,智信融科多策略十一号,期货策略,量化期货,上海智信融科,2025-06-13,-4.55%,-0.17%,-5.42%,-8.73%,+0.70%,-0.0756,0.0559,7,私募基金.xlsx,Y,Y,N,Y,智信融科多策略十一号,1.053400,2026-09-04,65,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAZA22,鸣瑜多策略均衡1号,多资产策略,复合策略,广州鸣瑜,2025-05-26,-0.15%,+3.42%,-0.79%,-4.05%,-1.77%,-0.5724,-0.2358,7,私募基金 (3).xlsx,Y,Y,N,Y,鸣瑜多策略均衡1号,1.015600,2026-09-04,63,2026-09-04,108,0,0,Y,weekly,weekly,1-3m job now within 1 month; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAZC08,鑫泰禾安赢3号,套利策略,基金套利,深圳鑫泰禾,2025-06-24,+0.12%,-0.49%,+2.04%,+2.00%,+3.78%,1.0906,6.1707,7,私募基金 (1).xlsx,Y,Y,N,N,鑫泰禾安赢3号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,,N
SAZH26,嘉发期权巅峰三期,期权策略,场内期权,深圳嘉发资管,2025-06-23,-0.16%,+1.79%,+1.16%,-2.30%,+1.90%,-0.0346,0.4649,7,私募基金 (2).xlsx,Y,Y,N,Y,嘉发期权巅峰三期,0.991900,2026-09-04,66,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAZH92,智领宏观多策略,多资产策略,宏观策略,福州智领三联,2025-06-11,+0.40%,+1.48%,-0.97%,-0.44%,+6.72%,0.8354,1.9312,7,私募基金 (3).xlsx,Y,Y,N,N,智领宏观多策略私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,,N
SAZK73,恒德远见宏观1号,多资产策略,宏观策略,北京恒德时代,2025-07-15,-5.50%,+5.02%,-19.47%,-21.81%,+46.13%,0.9204,1.3123,7,私募基金 (3).xlsx,Y,Y,N,Y,恒德远见宏观1号,1.717000,2026-09-04,61,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAZL07,云锋七星壹号私募FOF,组合策略,FOF,龙泉云锋,2025-07-16,-1.05%,+1.15%,-15.55%,-16.10%,-10.62%,-0.7862,-0.4896,7,私募基金 (4).xlsx,Y,Y,N,Y,云锋七星壹号私募FOF,0.923400,2026-09-04,60,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAZL50,昭融基业长青2号,多资产策略,复合策略,武汉昭融汇利,2025-07-03,+2.06%,+10.68%,+4.76%,-6.51%,+10.41%,0.4960,0.4618,7,私募基金 (3).xlsx,Y,Y,N,Y,昭融基业长青2号,1.108200,2026-09-04,62,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAZP19,杨湜多策略稳健2号,多资产策略,复合策略,上海杨湜投资,2025-06-09,+0.44%,+3.33%,+3.11%,+6.03%,+12.12%,1.8877,4.4431,7,私募基金 (3).xlsx,Y,Y,N,Y,杨湜多策略稳健2号,1.054400,2026-09-04,64,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAZQ38,元涞传承精选1号,组合策略,,上海元涞,2025-06-30,-0.72%,+2.17%,-1.93%,-5.99%,+1.83%,-0.0217,0.2049,7,私募基金 (4).xlsx,Y,Y,N,Y,元涞传承精选1号,1.087300,2026-09-10,227,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-02 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok,N
SAZQ73,禅龙全天候复合策略中波1号,多资产策略,复合策略,上海禅龙资管,2025-07-21,+0.41%,+2.11%,-0.20%,-0.10%,+18.51%,1.5244,3.1239,7,私募基金 (3).xlsx,Y,Y,N,Y,禅龙全天候复合策略中波1号,1.067500,2026-09-04,161,2026-09-04,44,0,0,Y,weekly,weekly,1-3m job now within 1 month; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAZR53,禅龙全天候复合策略高波1号,多资产策略,复合策略,上海禅龙资管,2025-06-11,+0.77%,+3.85%,-0.36%,-1.81%,+35.03%,1.5087,2.6806,7,私募基金 (3).xlsx,Y,Y,N,Y,禅龙全天候复合策略高波1号,1.100100,2026-09-04,190,2026-09-04,50,0,0,Y,weekly,weekly,1-3m job now within 1 month; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAZS32,上海牛伞财合CTA1号,期货策略,,上海牛伞,2025-07-04,+0.36%,-3.17%,-5.73%,-12.02%,-1.11%,-0.2559,-0.0741,7,私募基金.xlsx,Y,Y,N,Y,上海牛伞财合CTA1号,0.960700,2026-09-10,221,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-03 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok,N
SAZT92,嘉发期权巅峰五期,期权策略,场内期权,深圳嘉发资管,2025-08-28,-0.05%,+1.56%,+3.59%,-0.61%,+3.98%,0.4668,0.9636,7,私募基金 (2).xlsx,Y,Y,N,Y,嘉发期权巅峰五期,1.041500,2026-09-10,54,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-03 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok,N
SAZU19,博衍九溪CTA6号,期货策略,量化期货,杭州博衍,2025-06-13,+1.43%,-0.11%,+5.80%,+2.83%,+26.36%,1.4424,3.6722,7,私募基金.xlsx,Y,Y,N,Y,博衍九溪CTA6号,1.201300,2026-09-10,52,2026-09-04,0,0,0,Y,weekly_plus,weekly_plus,1m blank-policy: email usually has the week; weekly_plus Friday FundMultiPrice only if list_nav_date is behind,2026-09-04,ok,N
SAZX46,龙智五福,套利策略,,广州龙智投资,2025-06-19,0.00%,+1.91%,+0.60%,-0.18%,+0.37%,-0.5191,0.1128,7,私募基金 (1).xlsx,Y,Y,N,Y,龙智五福,1.033200,2026-09-04,62,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAZY12,稻达全天候高波增强1号,多资产策略,宏观策略,杭州稻达,2025-07-22,-0.97%,+7.54%,-2.43%,+1.53%,+50.30%,1.9853,4.5404,7,私募基金 (3).xlsx,Y,Y,N,Y,稻达全天候高波增强1号,1.527000,2026-09-04,59,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SAZZ28,笃诚量化CTA一号,期货策略,,上海笃诚,2025-06-25,-1.26%,+3.42%,-1.34%,-4.45%,+40.00%,1.5506,2.4701,7,私募基金.xlsx,Y,Y,N,Y,笃诚量化CTA一号,1.180000,2026-09-04,64,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SB0107,荣熙共好,期货策略,量化期货,上海荣熙,2023-06-05,+0.02%,+1.26%,+0.03%,+1.91%,+11.16%,2.1499,6.0370,7,私募基金.xlsx,Y,Y,N,Y,荣熙共好,1.385500,2026-09-04,166,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SB0129,东睿星海汇羲然2号,期货策略,主观期货,北京东睿,2023-07-25,-0.99%,-3.22%,-5.51%,+5.19%,+11.60%,0.9246,1.9564,7,私募基金.xlsx,Y,Y,Y,Y,东睿星海汇羲然2号,1.521400,2026-09-07,622,2026-09-07,0,688,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-07,ok,Y
SB0418,中邮永安尊享七号,组合策略,FOF,上海中邮永安,2023-05-24,-0.29%,+2.41%,+1.11%,+2.26%,+8.21%,0.9427,2.2018,7,私募基金 (4).xlsx,Y,Y,N,Y,中邮永安尊享七号,1.022600,2026-09-04,182,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
