beian_hao,product_name,strategy_l1,strategy_l2,manager,inception_date,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,sharpe_1y,calmar_1y,perf_filled_count,source_files,in_database,in_private_fund_info,in_private_fund_info_bfl,has_nav,db_product_name,db_latest_nav,db_latest_nav_date,vendor_nav_points,vendor_latest_nav_date,email_type6_nav_points,email_group_nav_points,email_hy_nav_points,in_fof99_universe,fof99_tracking_status,fof99_policy,fof99_reason,fof99_last_ok_date,fof99_last_log_status,in_team_track
AAC81A,银创歌者全天候1号A类,多资产策略,宏观策略,江苏银创资本,2023-09-05,+1.74%,+2.15%,-6.50%,-12.33%,-1.99%,-0.1537,-0.0991,7,私募基金 (3).xlsx,Y,Y,N,Y,银创歌者全天候1号A类,1.326900,2026-09-10,671,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-03 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok,N
AAD85B,本地资本珞珈黄埔8号B类,组合策略,FOF,深圳本地资管,2023-11-24,+1.18%,-0.27%,+0.86%,-9.27%,-1.10%,-0.1635,-0.0663,7,私募基金 (4).xlsx,Y,Y,N,Y,本地资本珞珈黄埔8号B类,0.936100,2026-09-04,153,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
AAK02A,吉余李字壹号A类,期货策略,主观期货,上海吉余,2023-08-29,-1.56%,,,,,,,1,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,,N
AAL90A,嘉合杉升量化CTA进取一号A类,期货策略,量化期货,杭州嘉合杉升,2023-09-07,+1.68%,-0.04%,+9.55%,+5.56%,+22.84%,1.6448,3.8418,7,私募基金.xlsx,Y,Y,N,Y,嘉合杉升量化CTA进取一号A类,1.370300,2026-09-04,85,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-26 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
AAM64A,泱泱中国宏观维洛1号A类,多资产策略,宏观策略,南京泱泱,2023-08-28,-0.90%,+3.81%,-7.86%,-17.66%,-2.07%,-0.1984,-0.0889,7,私募基金 (3).xlsx,Y,Y,N,Y,泱泱中国宏观维洛1号A类,1.270500,2026-09-04,185,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
AAQ29C,嘉合杉升多策略太和二号C类,多资产策略,复合策略,杭州嘉合杉升,2023-09-28,-2.25%,-4.44%,+0.69%,-1.75%,+14.91%,1.0067,2.2510,7,私募基金 (3).xlsx,Y,Y,N,Y,嘉合杉升多策略太和二号C类,1.342800,2026-09-04,118,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
AAY83B,思瑞乾元宏观B类,多资产策略,宏观策略,海南思瑞,2023-09-18,-1.92%,-1.82%,-12.16%,-23.94%,-4.10%,-0.2764,-0.1545,7,私募基金 (3).xlsx,Y,Y,N,Y,思瑞乾元宏观B类,1.544000,2026-09-04,125,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
ABB21A,宣夜投资晨曦一号A类,多资产策略,复合策略,上海宣夜投资,2023-09-20,-2.23%,+3.65%,-6.52%,-14.60%,,,,4,私募基金 (3).xlsx,Y,Y,N,Y,宣夜投资晨曦一号A类,1.359500,2026-09-04,50,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
ABG50B,金麦穗金秋稳健一号B类,期货策略,主观期货,山东金麦穗,2023-10-23,-0.40%,+0.39%,+1.37%,+13.07%,+10.72%,1.1435,1.5129,7,私募基金.xlsx,Y,Y,N,Y,金麦穗金秋稳健一号B类,1.058900,2026-09-04,82,2026-09-04,357,0,0,Y,weekly_plus,weekly_plus,1m blank-policy: email usually has the week; weekly_plus Friday FundMultiPrice only if list_nav_date is behind,2026-09-04,ok,N
ABP22A,兰盈阿尔法俱乐部1号A类,期权策略,场内期权,上海兰盈量投,2023-10-18,+1.04%,+3.09%,+3.65%,+3.58%,+9.78%,1.3279,3.3738,7,私募基金 (2).xlsx,N,N,N,Y,,,,0,,73,0,0,N,not_in_universe,,,,,N
