备案号,产品名称,一级策略,二级策略,管理人,成立日期,来源文件,是否在数据库,是否在产品主表,是否在BFL表,是否有净值,数据库产品名称,数据库最新净值,数据库最新净值日期,火富牛净值点数,火富牛最新净值日期,邮箱type6净值点数,邮箱group净值点数,邮箱hy净值点数,是否在火富牛宇宙,火富牛跟踪状态,火富牛策略,火富牛策略原因,火富牛最近成功抓取日,火富牛最近日志状态
SEF058,悟源点精九号,期货策略,量化期货,北京悟源资管,2018-08-22,私募基金.xlsx,Y,Y,N,N,悟源点精九号私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF062,悟源点精六号,期货策略,量化期货,北京悟源资管,2018-09-13,私募基金.xlsx,Y,Y,N,N,悟源点精六号私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF075,悟源点精三号,期货策略,量化期货,北京悟源资管,2018-08-22,私募基金.xlsx,Y,Y,N,N,悟源点精三号私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF111,冰峰1号,多资产策略,复合策略,河南术本资管,2018-07-18,私募基金 (3).xlsx,Y,Y,N,N,冰峰1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF120,众泰进取,多资产策略,复合策略,大连中联华创投资,2018-08-03,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SEF138,木愚3期,多资产策略,复合策略,北京木愚投资,2018-08-31,私募基金 (3).xlsx,Y,Y,N,N,木愚3期私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF156,雷根招金全天候1号,多资产策略,复合策略,上海雷根资管,2018-07-16,私募基金 (3).xlsx,Y,Y,N,N,雷根招金全天候1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF175,宇纳复兴1号,多资产策略,复合策略,深圳宇纳,2018-07-19,私募基金 (3).xlsx,Y,Y,N,N,宇纳复兴1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF203,元盛中国多元化一号,期货策略,量化期货,上海元胜投资,2018-07-31,私募基金.xlsx,Y,Y,Y,Y,元盛中国多元化一号私募基金,1.868100,2026-05-29,0,,0,468,0,N,not_in_universe,,,,
SEF208,融悟一号,期货策略,主观期货,上海融葵投资,2018-08-14,私募基金.xlsx,Y,Y,N,N,融悟一号私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF234,秋实瑞盈1号,期货策略,量化期货,珠海横琴锐实,2018-10-11,私募基金.xlsx,Y,Y,N,N,秋实瑞盈1号私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF237,诺溪周期3号,期货策略,主观期货,北京诺溪,2018-08-16,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SEF238,平安阖鼎*高毅FOF优选7号,组合策略,FOF,海南平安,2018-08-31,私募基金 (4).xlsx,Y,Y,N,N,平安阖鼎*高毅FOF优选7号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF243,平安阖鼎*高毅FOF优选8号,组合策略,FOF,海南平安,2018-08-31,私募基金 (4).xlsx,Y,Y,N,N,平安阖鼎*高毅FOF优选8号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF308,臣易综合策略1号,套利策略,-,深圳道赢,2018-09-13,私募基金 (1).xlsx,Y,Y,N,N,臣易综合策略1号私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF329,爱晖泰然7号,期货策略,量化期货,上海爱晖资管,2018-07-18,私募基金.xlsx,Y,Y,N,N,爱晖泰然7号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF379,进化论达尔文FOF一号,组合策略,FOF,海南进化论,2018-08-01,私募基金 (4).xlsx,Y,Y,N,N,达尔文FOF一号私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF383,同增FOF1期,组合策略,FOF,深圳前海同增,2018-07-20,私募基金 (4).xlsx,Y,Y,N,N,同增FOF1期私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF417,盈迈一号混合型,多资产策略,复合策略,浙江盈迈资管,2018-07-25,私募基金 (3).xlsx,Y,Y,N,N,盈迈一号混合型私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF430,天源汇智11号,多资产策略,复合策略,新疆天源汇智资管,2019-05-09,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SEF459,峰云汇哥伦布,套利策略,基金套利,深圳峰云汇,2018-08-10,私募基金 (1).xlsx,Y,Y,N,Y,峰云汇哥伦布私募投资基金,1.832100,2023-01-13,0,,223,0,0,N,not_in_universe,,,,
SEF515,牧圜资产复合配置1号,多资产策略,-,上海牧圜,2018-07-23,私募基金 (3).xlsx,Y,Y,N,N,牧圜资产复合配置1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF543,逸品健行3号,多资产策略,复合策略,上海翼品资管,2018-11-29,私募基金 (3).xlsx,Y,Y,N,N,逸品健行3号私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF546,牟合资产方田28号,期货策略,量化期货,北京牟合资管,2018-07-26,私募基金.xlsx,Y,Y,N,N,牟合资产方田28号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF600,中泓汇富混合一号,多资产策略,复合策略,深圳中泓汇富资管,2018-09-20,私募基金 (3).xlsx,Y,Y,N,N,中泓汇富混合一号,,,0,,0,0,0,N,not_in_universe,,,,
SEF601,蜂鸟银象1号,套利策略,-,武汉蜂鸟,2018-08-08,私募基金 (1).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SEF640,良帮资产配置1号,组合策略,FOF,上海良帮投资,2018-08-23,私募基金 (4).xlsx,Y,Y,N,N,良帮资产配置1号私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF650,云扬2号,期货策略,量化期货,厦门汉云投资,2018-08-06,私募基金.xlsx,Y,Y,N,N,云扬2号私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF659,一三一对冲1号,期货策略,量化期货,南京一三一,2019-01-07,私募基金.xlsx,Y,Y,N,N,一三一对冲1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF668,国富瑞弘2号,套利策略,-,上海国富投资,2019-04-18,私募基金 (1).xlsx,Y,Y,N,N,国富瑞弘2号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF792,正帆启航1号,期货策略,量化期货,深圳前海正帆投资,2019-03-12,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SEF887,申毅中华精选2号,套利策略,-,上海申毅投资,2018-07-19,私募基金 (1).xlsx,Y,Y,N,N,申毅中华精选2号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF893,耀康必升1号,多资产策略,复合策略,杭州耀康,2018-08-23,私募基金 (3).xlsx,Y,Y,N,N,耀康必升1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF914,融昊十六号,期货策略,量化期货,广东融昊资管,2021-01-25,私募基金.xlsx,Y,Y,N,N,融昊十六号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF920,厦门言起-华实FOF1号,组合策略,FOF,厦门言起投资,2019-03-29,私募基金 (4).xlsx,Y,Y,N,N,厦门言起-华实FOF1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF921,厦门言起-芒果2号证券,多资产策略,复合策略,厦门言起投资,2018-11-01,私募基金 (3).xlsx,Y,Y,N,N,厦门言起-芒果2号证券私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEF925,量盈量化CTA一号,期货策略,量化期货,浙江量盈投资,2018-08-09,私募基金.xlsx,Y,Y,Y,Y,量盈量化CTA一号,1.080400,2026-09-04,423,2026-09-04,0,299,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SEF944,弗睿得哥伦布昂立FOF,组合策略,FOF,广州弗睿得,2018-08-21,私募基金 (4).xlsx,Y,Y,N,Y,哥伦布昂立私募FOF基金,1.018500,2026-09-04,445,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SEF989,中京信颐睿1号结构化,期货策略,主观期货,北京中京信资管,2018-07-30,私募基金.xlsx,Y,Y,N,N,中京信颐睿1号结构化私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG009,富犇-得宝4号,多资产策略,复合策略,上海富犇投资,2018-08-08,私募基金 (3).xlsx,Y,Y,N,N,富犇-得宝4号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG011,富犇全盈五号,多资产策略,复合策略,上海富犇投资,2018-08-08,私募基金 (3).xlsx,Y,Y,N,N,富犇全盈五号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG017,南象2号,期货策略,量化期货,杭州南象资管,2018-08-14,私募基金.xlsx,Y,Y,N,N,南象2号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG079,陆享-尊享CTA1期,期货策略,量化期货,杭州陆享投资,2018-08-30,私募基金.xlsx,Y,Y,N,N,陆享-尊享CTA1期私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG091,圭源坤煦量化9号,多资产策略,复合策略,上海坤煦资管,2018-08-28,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SEG096,天鹭26号,期货策略,主观期货,北京旭阳基金,2018-08-14,私募基金.xlsx,Y,Y,N,N,天鹭26号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG099,鸿凯激进15号,期货策略,主观期货,上海鸿凯投资,2018-08-22,私募基金.xlsx,Y,Y,N,N,鸿凯激进15号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG133,上善御富量化多策略,多资产策略,复合策略,深圳上善御富资管,2018-07-30,私募基金 (3).xlsx,Y,Y,N,Y,上善御富量化多策略,1.306500,2026-09-10,1899,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok
SEG152,宽投景阳,多资产策略,复合策略,上海宽投资管,2019-04-22,私募基金 (3).xlsx,Y,Y,N,N,宽投景阳私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG193,栗创乾元大通1号,多资产策略,复合策略,上海栗创,2018-08-02,私募基金 (3).xlsx,Y,Y,N,N,栗创乾元大通1号私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG244,东方富银命运1号,套利策略,可转债套利,深圳东方富银投资,2018-08-22,私募基金 (1).xlsx,Y,Y,N,N,东方富银命运1号可转债混合型私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG257,悟源龙源二号,期货策略,量化期货,北京悟源资管,2018-08-09,私募基金.xlsx,Y,Y,N,N,悟源龙源二号私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG280,临风一号量化期权,期权策略,场内期权,上海玉数投资,2018-08-02,私募基金 (2).xlsx,Y,Y,N,N,临风一号量化期权私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG299,悟源持赢五号,期货策略,量化期货,北京悟源资管,2018-08-09,私募基金.xlsx,Y,Y,N,N,悟源持赢五号私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG301,塞帕思玄策智能一号,多资产策略,复合策略,杭州塞帕思投资,2018-08-07,私募基金 (3).xlsx,Y,Y,N,N,塞帕思玄策智能一号私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG310,红蓝牧-多策略1号,多资产策略,复合策略,浙江红蓝牧投资,2018-09-07,私募基金 (3).xlsx,Y,Y,N,N,红蓝牧-多策略1号私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG319,墨雪稳健一号,期货策略,量化期货,上海墨雪,2018-08-28,私募基金.xlsx,Y,Y,N,N,墨雪稳健一号私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG341,蜂雀量化多策略稳健2号,多资产策略,复合策略,北京蜂雀投资,2018-08-24,私募基金 (3).xlsx,Y,Y,N,N,蜂雀量化多策略稳健2号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG394,安泰金麦穗秋实1号,期货策略,主观期货,日照市安泰,2018-10-24,私募基金.xlsx,Y,Y,N,N,安泰金麦穗秋实1号私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG400,栗创元鼎金升1号,期货策略,主观期货,上海栗创,2018-08-13,私募基金.xlsx,Y,Y,N,N,栗创元鼎金升1号私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG417,安享4号,期货策略,主观期货,北京日盛联合资管,2018-08-03,私募基金.xlsx,Y,Y,N,N,安享4号私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG436,创弘价值精选FOF,组合策略,FOF,深圳恒泰融安投资,2018-11-06,私募基金 (4).xlsx,Y,Y,N,N,创弘价值精选FOF私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG494,国新一号,多资产策略,复合策略,上海泽鸣资管,2018-08-10,私募基金 (3).xlsx,Y,Y,N,N,国新一号私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG502,恒昌正心一号,期货策略,量化期货,福建恒昌资管,2019-03-14,私募基金.xlsx,Y,Y,N,N,恒昌正心一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG533,桥睿331,多资产策略,复合策略,浙江桥睿资管,2018-08-10,私募基金 (3).xlsx,Y,Y,N,N,桥睿331私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG549,弘君资本红动一号,多资产策略,复合策略,北京弘君,2018-09-17,私募基金 (3).xlsx,Y,Y,N,N,弘君资本红动一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG566,君通优选综合策略,多资产策略,复合策略,深圳前海君通天下资管,2018-08-02,私募基金 (3).xlsx,Y,Y,N,N,君通优选综合策略私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG572,乾倍量化高效7号,套利策略,-,上海乾瀛投资,2018-08-21,私募基金 (1).xlsx,Y,Y,N,N,乾倍量化高效7号私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG625,金豆稳健1号,多资产策略,复合策略,广州金豆,2018-09-19,私募基金 (3).xlsx,Y,Y,N,N,金豆稳健1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG636,知方石CTA八号,期货策略,主观期货,深圳知方石投资,2018-08-06,私募基金.xlsx,Y,Y,N,N,知方石CTA八号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG643,和棋CTA12号,期货策略,量化期货,江苏和棋投资,2018-08-21,私募基金.xlsx,Y,Y,N,N,和棋CTA12号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG683,鸿凯激进20号,期货策略,主观期货,上海鸿凯投资,2018-08-30,私募基金.xlsx,Y,Y,N,N,鸿凯激进20号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG697,和棋CTA3号,期货策略,量化期货,江苏和棋投资,2018-08-31,私募基金.xlsx,Y,Y,N,N,和棋CTA3号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG796,中略FOF价值一期,组合策略,FOF,厦门中略投资,2018-09-05,私募基金 (4).xlsx,Y,Y,N,N,中略FOF价值一期私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG857,知方石CTA七号,期货策略,量化期货,深圳知方石投资,2018-09-21,私募基金.xlsx,Y,Y,N,N,知方石CTA七号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG887,全天候宏观量化对冲王者2号,多资产策略,宏观策略,杭州王者对冲投资,2018-08-01,私募基金 (3).xlsx,Y,Y,N,N,全天候宏观量化对冲王者2号私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG903,中战龙鳞对冲1号,多资产策略,宏观策略,深圳龙鳞,2019-02-27,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SEG922,瑞凯量化1号,期货策略,量化期货,上海瑞锐投资,2018-12-25,私募基金.xlsx,Y,Y,N,Y,瑞凯量化1号,1.259000,2026-09-04,1515,2026-09-04,255,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SEG954,相变裂变6号,多资产策略,宏观策略,上海相变投资,2018-09-26,私募基金 (3).xlsx,Y,Y,N,N,相变裂变6号私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG971,晨乐安盈2号,多资产策略,复合策略,北京晨乐资管,2018-08-01,私募基金 (3).xlsx,Y,Y,N,N,晨乐安盈2号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEG990,庆元豊同心价值成长,多资产策略,复合策略,上海庆元豊投资,2018-12-03,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SEH004,大凡启航一号,期货策略,量化期货,重庆大凡,2018-08-10,私募基金.xlsx,Y,Y,N,N,大凡光大青岛启航1号私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH010,鼎睿宏丰一期,多资产策略,复合策略,鼎睿资本投资,2018-10-25,私募基金 (3).xlsx,Y,Y,N,N,鼎睿宏丰一期私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH044,璞理全天候多策略对冲2号,组合策略,FOF,上海璞理投资,2018-08-10,私募基金 (4).xlsx,Y,Y,N,N,璞理全天候多策略对冲2号私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH053,金算盘华侨城高尔夫1号,多资产策略,复合策略,成都柏然,2019-02-27,私募基金 (3).xlsx,Y,Y,N,N,金算盘华侨城高尔夫1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH067,济远进取三号,多资产策略,复合策略,大连济远,2018-08-30,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SEH104,昊泽全景致胜2号,多资产策略,宏观策略,北京昊泽致远,2018-08-29,私募基金 (3).xlsx,Y,Y,N,N,昊泽全景致胜2号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH115,新宇美匡,期货策略,主观期货,绍兴市新宇资管,2018-08-02,私募基金.xlsx,Y,Y,N,N,新宇美匡私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH134,智觉永隽对冲三号,多资产策略,复合策略,江苏智觉投资,2018-08-14,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SEH136,彦峘FOF,组合策略,FOF,杭州彦峘投资,2018-11-02,私募基金 (4).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SEH149,华鑫凯纳量子1号,多资产策略,复合策略,上海凯纳璞淳资管,2018-10-17,私募基金 (3).xlsx,Y,Y,N,N,华鑫凯纳量子1号私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH155,玄同量化稳进六号,套利策略,-,广州玄同,2018-07-30,私募基金 (1).xlsx,Y,Y,N,N,玄同量化稳进六号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH177,赢华崇宏成长1号,多资产策略,复合策略,福州赢华投资,2018-08-31,私募基金 (3).xlsx,Y,Y,N,N,赢华崇宏成长1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH218,中量投CTA一号,期货策略,量化期货,中量投资管,2018-08-15,私募基金.xlsx,Y,Y,Y,Y,中量投CTA一号私募基金,1.484849,2025-08-08,0,,0,718,0,N,not_in_universe,,,,
SEH244,彦峘三号,期货策略,量化期货,杭州彦峘投资,2018-08-14,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SEH249,云扬3号,期货策略,量化期货,厦门汉云投资,2018-08-10,私募基金.xlsx,Y,Y,N,N,云扬3号私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH250,金科添丰1号,期货策略,量化期货,深圳红岸,2018-08-06,私募基金.xlsx,Y,Y,N,N,金科添丰1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH275,德萌太和城逸,期货策略,主观期货,大连富利投资,2018-08-30,私募基金.xlsx,Y,Y,N,N,德萌太和城逸私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH295,灰金量投金柝1号,期货策略,量化期货,北京灰金量投资管,2018-10-30,私募基金.xlsx,Y,Y,N,N,灰金量投金柝1号私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH313,固利资产趋势为王,期货策略,量化期货,上海固利资管,2018-08-20,私募基金.xlsx,Y,Y,N,N,固利资产趋势为王私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH320,兆信飞翔1号,多资产策略,宏观策略,江苏兆信,2018-08-10,私募基金 (3).xlsx,Y,Y,N,N,兆信飞翔1号私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH326,华澄3期,期货策略,量化期货,北京华澄,2018-12-19,私募基金.xlsx,Y,Y,N,N,华澄3期私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH344,舜正CTA二号,期货策略,量化期货,浙江舜正,2018-08-28,私募基金.xlsx,Y,Y,N,N,舜正CTA二号私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH378,非马杰出价值一号,多资产策略,复合策略,上海非马投资,2018-08-02,私募基金 (3).xlsx,Y,Y,N,N,非马杰出价值一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH429,华软新动力衍生品FOF1号,组合策略,FOF,北京华软新动力,2018-12-06,私募基金 (4).xlsx,Y,Y,N,N,华软新动力衍生品FOF1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH445,秉昊鋆晟量化2号,期货策略,量化期货,上海秉昊,2018-08-23,私募基金.xlsx,Y,Y,N,N,秉昊鋆晟量化2号私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH477,新方程中国多元化一号,期货策略,量化期货,上海新方程,2018-08-29,私募基金.xlsx,Y,Y,N,Y,新方程中国多元化一号,1.527000,2026-09-04,534,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SEH613,高毅精选FOF第12期,组合策略,FOF,上海高毅资管,2018-11-05,私募基金 (4).xlsx,Y,Y,N,N,高毅精选FOF第12期私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH639,融升内部2018,多资产策略,复合策略,山东融升,2018-08-08,私募基金 (3).xlsx,Y,Y,N,N,融升内部2018私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH725,卓进洛伽成长,多资产策略,复合策略,福州卓进基金,2018-08-02,私募基金 (3).xlsx,Y,Y,N,N,卓进洛伽成长私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH732,沃霖玄武3号,多资产策略,复合策略,上海沃霖资管,2018-09-06,私募基金 (3).xlsx,Y,Y,N,N,沃霖玄武3号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH735,沃霖玄武4号,多资产策略,复合策略,上海沃霖资管,2018-08-30,私募基金 (3).xlsx,Y,Y,N,N,沃霖玄武4号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH745,沃霖玄武1号,期货策略,主观期货,上海沃霖资管,2018-08-28,私募基金.xlsx,Y,Y,N,N,沃霖玄武1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH747,沃霖玄武2号,多资产策略,复合策略,上海沃霖资管,2018-08-28,私募基金 (3).xlsx,Y,Y,N,N,沃霖玄武2号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH767,沣谊沣萃二号,组合策略,FOF,上海沣谊投资,2018-08-08,私募基金 (4).xlsx,Y,Y,N,N,沣谊沣萃二号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH838,棱镜一号,多资产策略,复合策略,宁波棱镜资管,2018-08-20,私募基金 (3).xlsx,Y,Y,N,N,棱镜一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH960,路远睿泽2号,多资产策略,宏观策略,海南路远,2019-10-25,私募基金 (3).xlsx,Y,Y,N,Y,路远睿泽2号,10.428400,2026-09-10,1601,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-03 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok
SEH964,路远睿泽稳增,多资产策略,宏观策略,海南路远,2018-09-11,私募基金 (3).xlsx,Y,Y,N,Y,路远睿泽稳增,9.972600,2026-09-09,1880,2026-09-09,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-02 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-09,ok
SEH984,知方石CTA九号,期货策略,主观期货,深圳知方石投资,2018-08-15,私募基金.xlsx,Y,Y,N,N,知方石CTA九号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEH988,双隆-隆富11号,期货策略,量化期货,上海双隆投资,2018-08-31,私募基金.xlsx,Y,Y,N,Y,双隆-隆富11号私募基金,1.464900,2021-10-22,0,,164,0,0,N,not_in_universe,,,,
SEJ130,金枫银帆宏观对冲1号,多资产策略,复合策略,成都金枫银帆投资,2018-08-30,私募基金 (3).xlsx,Y,Y,N,N,金枫银帆宏观对冲1号私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEJ136,极至纯钧2号,期货策略,主观期货,北京极至投资,2018-09-19,私募基金.xlsx,Y,Y,N,N,极至纯钧2号私募投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEJ140,翔云300量化二号,套利策略,-,广州翔云,2018-09-05,私募基金 (1).xlsx,Y,Y,N,N,翔云300量化二号私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEJ166,泰润健发1号,期货策略,量化期货,深圳泰润海吉资管,2018-08-17,私募基金.xlsx,Y,Y,N,N,泰润健发1号证券投资私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEJ198,银河系量化,期货策略,量化期货,广西奇点聚合资管,2018-08-13,私募基金.xlsx,Y,Y,N,N,银河系量化私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SEJ295,排排精选庞加莱一号,组合策略,FOF,深圳融智,2018-08-31,私募基金 (4).xlsx,Y,Y,N,N,排排精选庞加莱一号私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEJ394,泰诚资本五行系列辰星7号,多资产策略,复合策略,泰诚资管,2019-04-25,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SEJ451,冲和稳健1号,套利策略,期权套利,杭州冲和投资,2018-09-07,私募基金 (1).xlsx,Y,Y,N,N,冲和私募投资基金稳健1号,,,0,,0,0,0,N,not_in_universe,,,,
SEJ454,金吾双动力8号,多资产策略,复合策略,上海金吾资管,2018-09-06,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SEJ456,德丰-量搏阿尔法2号,期货策略,主观期货,深圳德丰投资,2018-08-28,私募基金.xlsx,Y,Y,N,N,德丰-量搏阿尔法2号私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SEJ462,金吾双动力6号,多资产策略,复合策略,上海金吾资管,2018-09-06,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SEJ463,明钺安心回报2号,组合策略,FOF,珠海明钺,2018-09-07,私募基金 (4).xlsx,Y,Y,N,Y,明钺安心回报2号私募证券投资基金,1.614600,2026-06-05,1,2024-07-19,434,0,0,Y,update_slow,update_slow,火富牛 latest older than list; do not pay unless policy changed,2024-07-19,ok
