备案号,产品名称,一级策略,二级策略,管理人,成立日期,来源文件,是否在数据库,是否在产品主表,是否在BFL表,是否有净值,数据库产品名称,数据库最新净值,数据库最新净值日期,火富牛净值点数,火富牛最新净值日期,邮箱type6净值点数,邮箱group净值点数,邮箱hy净值点数,是否在火富牛宇宙,火富牛跟踪状态,火富牛策略,火富牛策略原因,火富牛最近成功抓取日,火富牛最近日志状态
22188A,申万智易东方玄同二号A,组合策略,FOF,深圳华银精治资管,2014-11-26,私募基金 (4).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
22188B,申万智易东方玄同二号B,组合策略,FOF,深圳华银精治资管,2014-11-26,私募基金 (4).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
22767A,鑫钰1号A类,多资产策略,复合策略,厦门青蚨投资,2014-12-03,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
22788A,凤翔多利A类,多资产策略,复合策略,深圳凤翔,2018-04-03,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
22788B,凤翔多利B类,多资产策略,复合策略,深圳凤翔,2018-04-03,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
22788C,凤翔多利C类,多资产策略,复合策略,深圳凤翔,2018-04-03,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
22826A,天之成一期A类,期货策略,量化期货,厦门青蚨投资,2014-12-11,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
22826B,天之成一期B类,期货策略,量化期货,厦门青蚨投资,2014-12-11,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
22866A,天成一期A,期货策略,量化期货,厦门青蚨投资,2014-12-16,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
22866B,天成一期B,期货策略,量化期货,厦门青蚨投资,2014-12-16,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
23036A,源律一号A,期货策略,-,厦门青蚨投资,2015-01-19,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
23036B,源律一号B,期货策略,-,厦门青蚨投资,2015-01-19,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
23284A,大舟一号A,期货策略,量化期货,厦门青蚨投资,2014-12-26,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
23284B,大舟一号B,期货策略,量化期货,厦门青蚨投资,2014-12-26,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
23904A,璞理全天候多策略对冲基金1号A,组合策略,FOF,上海璞理投资,2015-01-29,私募基金 (4).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
23904B,璞理全天候多策略对冲基金1号B,组合策略,FOF,上海璞理投资,2015-01-29,私募基金 (4).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
23977B,美好投资-美好华腾B类,多资产策略,复合策略,海南演绎美好,2015-01-21,私募基金 (3).xlsx,Y,Y,N,Y,美好投资-美好华腾B类,3.298000,2026-09-04,87,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
25295A,鸿瑞源一号A,期货策略,量化期货,厦门青蚨投资,2015-01-19,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
25295B,鸿瑞源一号B,期货策略,量化期货,厦门青蚨投资,2015-01-19,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
25581A,振龙一号A类,期货策略,量化期货,厦门青蚨投资,2015-03-04,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
25581B,振龙一号B类,期货策略,量化期货,厦门青蚨投资,2015-03-04,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
26266A,黑斑马6号A,期货策略,量化期货,厦门青蚨投资,2015-02-04,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
26266B,黑斑马6号B,期货策略,量化期货,厦门青蚨投资,2015-02-04,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
26268A,福耀百祥一号A,期货策略,量化期货,厦门青蚨投资,2015-03-09,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
26268B,福耀百祥一号B,期货策略,量化期货,厦门青蚨投资,2015-03-09,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
27124A,益理投资一期A,多资产策略,复合策略,上海益理资管,2015-03-19,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
27550A,淘利量化对冲15号A类,期权策略,场内期权,上海淘利资管,2015-04-03,私募基金 (2).xlsx,Y,Y,N,Y,淘利量化对冲15号A类,1.990600,2026-09-04,620,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
27802A,锦邦一号A,期货策略,量化期货,厦门青蚨投资,2015-03-13,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
27802B,锦邦一号B,期货策略,量化期货,厦门青蚨投资,2015-03-13,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
28048A,泓湖稳健宏观对冲A类,多资产策略,宏观策略,上海泓湖,2015-04-16,私募基金 (3).xlsx,Y,Y,N,Y,泓湖稳健宏观对冲A类,9.250600,2026-05-22,626,2026-05-22,2,0,0,Y,update_slow,update_slow,3-6m: 火富牛 latest 2026-07-31 before 2026-08; do not pay weekly unless policy changed,,
28048B,泓湖稳健宏观对冲B类,多资产策略,宏观策略,上海泓湖,2015-04-16,私募基金 (3).xlsx,Y,Y,N,Y,泓湖稳健宏观对冲B类,9.037600,2026-05-22,134,2026-05-22,849,0,0,Y,update_slow,update_slow,3-6m: 火富牛 latest 2026-07-31 before 2026-08; do not pay weekly unless policy changed,,
28134A,华富一号A,期货策略,量化期货,厦门青蚨投资,2015-03-19,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
28134B,华富一号B,期货策略,量化期货,厦门青蚨投资,2015-03-19,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
29156A,数博合鑫A,多资产策略,复合策略,上海数博投资咨询,2015-04-10,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
29894A,济桓稳健成长A类,多资产策略,复合策略,上海济桓投资,2015-04-24,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
29952A,融通5号A类,组合策略,FOF,宁波宁聚投资,2015-04-13,私募基金 (4).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
36526A,湖南思考思考20号A5-1A类,套利策略,-,台州思考投资,2015-05-14,私募基金 (1).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
65362A,凯丰宏观策略9号A类,多资产策略,宏观策略,深圳凯丰投资,2015-07-29,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
68650A,天猊1号A,多资产策略,复合策略,上海天猊投资,2015-08-27,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
