action,from_policy,to_policy,beian_hao,product_name,manager,inception_date,info_latest_nav_date,fof99_list_nav_date,empty_2026-08-28,empty_2026-08-21,empty_2026-08-14,reason
move_out,weekly,update_slow,SS8204,景林优选基金专享私募子基金B期,上海景林资管,2017-09-22,2026-08-31,,no_data,no_data,no_data,"3 consecutive weekly Fridays empty (2026-08-28, 2026-08-21, 2026-08-14)"
move_out,weekly,update_slow,SSD580,利位稳进5号,上海利位,2021-07-26,2026-09-02,,no_data,no_data,no_data,"3 consecutive weekly Fridays empty (2026-08-28, 2026-08-21, 2026-08-14)"
move_out,weekly,update_slow,STG393,保泰高喜1号,广州保泰盈盛私募证券投资管理有限公司,2021-12-03,2026-08-31,,no_data,no_data,no_data,"3 consecutive weekly Fridays empty (2026-08-28, 2026-08-21, 2026-08-14)"
move_out,weekly,update_slow,STM692,璞远丰盛多策略8号,上海璞远资管,2021-12-14,2026-08-31,,no_data,no_data,no_data,"3 consecutive weekly Fridays empty (2026-08-28, 2026-08-21, 2026-08-14)"
move_out,weekly,update_slow,STS653,合丰稳健二号,广东合丰,2022-01-17,2026-08-31,,no_data,no_data,no_data,"3 consecutive weekly Fridays empty (2026-08-28, 2026-08-21, 2026-08-14)"
move_out,weekly,update_slow,SVN911,保泰高喜润丰,广州保泰盈盛私募证券投资管理有限公司,2022-04-28,2026-08-31,,no_data,no_data,no_data,"3 consecutive weekly Fridays empty (2026-08-28, 2026-08-21, 2026-08-14)"
move_out,weekly,update_slow,SVP773,牛扬大国复兴1号,厦门牛扬投资管理有限公司,2022-06-01,2026-08-31,,no_data,no_data,no_data,"3 consecutive weekly Fridays empty (2026-08-28, 2026-08-21, 2026-08-14)"
move_out,weekly,update_slow,SVV415,璞远日积月盈现金管理1号,上海璞远资管,2022-07-14,2026-08-31,,no_data,no_data,no_data,"3 consecutive weekly Fridays empty (2026-08-28, 2026-08-21, 2026-08-14)"
move_out,weekly,update_slow,SXB832,泓湖高腾博喻宏观策略私募证券投资基金,上海泓湖私募基金管理有限公司,2022-08-11,2026-08-31,,no_data,no_data,no_data,"3 consecutive weekly Fridays empty (2026-08-28, 2026-08-21, 2026-08-14)"
move_out,weekly,update_slow,SXP010,保泰高喜远路1号,广州保泰盈盛私募证券投资管理有限公司,2022-10-25,2026-08-31,,no_data,no_data,no_data,"3 consecutive weekly Fridays empty (2026-08-28, 2026-08-21, 2026-08-14)"
move_out,weekly,update_slow,SZH566,璞远丰利纯债聚配专享2号,上海璞远资管,2023-02-17,2026-08-31,,no_data,no_data,no_data,"3 consecutive weekly Fridays empty (2026-08-28, 2026-08-21, 2026-08-14)"
move_out,weekly,update_slow,SZJ009,合晟景运3号,上海合晟资管,2023-03-21,2026-09-01,,no_data,no_data,no_data,"3 consecutive weekly Fridays empty (2026-08-28, 2026-08-21, 2026-08-14)"
move_out,weekly,update_slow,SZW379,正方致远二号,杭州正方投资,2023-04-20,2026-09-02,,no_data,no_data,no_data,"3 consecutive weekly Fridays empty (2026-08-28, 2026-08-21, 2026-08-14)"
move_out,weekly,update_slow,SZY083,华富衍生品2号,广东华富,2023-04-21,2026-08-07,,no_data,no_data,no_data,"3 consecutive weekly Fridays empty (2026-08-28, 2026-08-21, 2026-08-14)"
move_out,weekly,update_slow,SZY356,益和源和顺度1号,上海益和源资管,2023-05-24,2026-08-31,,no_data,no_data,no_data,"3 consecutive weekly Fridays empty (2026-08-28, 2026-08-21, 2026-08-14)"
move_in,,weekly,SB0386,禧悦稳健三石3号私募证券投资基金,北京禧悦私募基金管理有限公司,2026-07-09,,2026-09-03,,,,inception within 2 months; 火富牛 advancedlist has NAV; not in universe
move_in,,weekly,SB8145,衍复优优中证A500指数增强2号私募证券投资基金,上海衍复投资管理有限公司,2026-08-04,,2026-08-28,,,,inception within 2 months; 火富牛 advancedlist has NAV; not in universe
move_in,,weekly,SB8164,衍复优优中证全指指数增强2号私募证券投资基金,上海衍复投资管理有限公司,2026-07-28,,2026-08-28,,,,inception within 2 months; 火富牛 advancedlist has NAV; not in universe
move_in,,weekly,SBKB21,富腾万里成长型私募证券投资基金,深圳市富腾私募证券基金管理有限公司,2026-07-13,,2026-09-02,,,,inception within 2 months; 火富牛 advancedlist has NAV; not in universe
move_in,,weekly,SBPR25,世纪前沿中证A500指数增强7号臻享二期私募证券投资基金,海南世纪前沿私募基金管理有限公司,2026-07-22,,2026-08-31,,,,inception within 2 months; 火富牛 advancedlist has NAV; not in universe
move_in,,weekly,SCA345,佳期智选海湾10号私募证券投资基金,上海佳期私募基金管理有限公司,2026-07-21,,2026-08-14,,,,inception within 2 months; 火富牛 advancedlist has NAV; not in universe
move_in,,weekly,SCE083,磐泽扬帆臻享5号私募证券投资基金,北京磐泽资产管理有限公司,2026-07-22,,2026-08-31,,,,inception within 2 months; 火富牛 advancedlist has NAV; not in universe
move_in,,weekly,SCF808,卓银西子1号私募证券投资基金,上海卓银私募基金管理合伙企业（有限合伙）,2026-07-16,,2026-08-28,,,,inception within 2 months; 火富牛 advancedlist has NAV; not in universe
