register_number,fund_name,fund_short_name,advisor,price_date,price_nav,price_cnw,price_cw_nav,price_change,inception_date,fund_state,fund_type,cycle_type,strategy_one,strategy_two,strategy_three,platform_strategy_one,platform_strategy_two,platform_strategy_three
TA891A,瀛岳核心私募证券投资基金A类份额,瀛岳核心A类,共青城瀛岳,2026-08-31,2.2103,2.2103,2.2103,0.0004979178,2021-11-08,1,2,2,股票对冲,择时对冲,['打板'],股票多头,另类多头,
SQX078,特夫郁金香全量化私募证券投资基金,特夫郁金香全量化,上海特夫,2026-01-16,1.0041,2.1678,2.57955933,-0.0251456311,2021-06-28,1,2,2,股票对冲,择时对冲,['打板'],股票对冲,择时对冲,['打板']
SNF018,钜融添宝20号私募证券投资基金,钜融添宝20号,中海外钜融资管,2020-12-23,1,1,1,0,2020-12-23,1,2,0,股票对冲,择时对冲,['打板'],股票对冲,择时对冲,"['打板', '量化']"
AVF39A,棕榈滩泰来私募证券投资基金A类份额,棕榈滩泰来A类,泉州棕榈滩,,,,,,2025-05-30,1,2,0,股票对冲,择时对冲,['打板'],股票多头,,
BDU00C,桫罗稳鸿私募证券投资基金C类份额,桫罗稳鸿C类,成都桫罗投资,,,,,,2025-10-13,1,2,0,股票对冲,择时对冲,['打板'],股票对冲,择时对冲,['打板']
SBPC20,六妙星九紫一号私募证券投资基金,六妙星九紫一号,北京六妙星,,,,,,2026-01-15,1,2,0,股票对冲,择时对冲,['打板'],股票对冲,择时对冲,['打板']
SBPV73,赢仕木盛1号私募证券投资基金,赢仕木盛1号,上海赢仕投资,,,,,,2026-01-27,1,2,0,股票对冲,择时对冲,['打板'],股票对冲,择时对冲,['打板']
SBLP24,衡颐嘉选2号私募证券投资基金,衡颐嘉选2号,上海衡颐资管,,,,,,2025-12-10,1,2,0,股票对冲,择时对冲,['打板'],股票对冲,择时对冲,['打板']
SBCE40,衡颐嘉选1号私募证券投资基金,衡颐嘉选1号,上海衡颐资管,,,,,,2025-07-25,1,2,0,股票对冲,择时对冲,['打板'],股票对冲,择时对冲,"['打板', '强势股']"
SAVF39,棕榈滩泰来私募证券投资基金,棕榈滩泰来,泉州棕榈滩,,,,,,2025-05-30,1,2,0,股票对冲,择时对冲,,股票多头,,
