beian_hao,product_name,list_nav_date,list_nav,nav_table_max_date,nav_table_nav_at_max,have_latest_date,date_bucket,empty_date_probe,fof99_policy
BBX45A,钇远致臻1号A类,2026-08-28,1.473100,2026-08-28,1.473100,2026-08-28,1个月内,,weekly
BFZ61A,弈祖青圭礼东3号A类,2026-08-28,1.125800,2026-08-28,1.125800,2026-08-28,1个月内,,weekly
GM266C,尚艺阳光1号C类,2026-08-28,1.339900,2026-08-28,1.339900,2026-08-28,1个月内,,weekly
GN354A,博普安泰2号A类,2026-08-28,11.652000,2026-08-28,11.652000,2026-08-28,1个月内,,weekly
GS011A,毕盛狮远A类,2026-08-28,2.357600,2026-08-28,2.357600,2026-08-28,1个月内,,weekly
JG948A,谦信新视野A类,2026-08-28,1.195000,2026-08-28,1.195000,2026-08-28,1个月内,,weekly
JK771B,垒昂金鹿量化对冲3号B类,2026-08-28,1.819900,2026-08-28,1.819900,2026-08-28,1个月内,,weekly
JW903A,博普日添月益A类,2026-08-28,1.434300,2026-08-28,1.434300,2026-08-28,1个月内,,weekly
L9566A,博益安盈精英1号A类,2026-08-28,2.029000,2026-08-28,2.029000,2026-08-28,1个月内,,weekly
LS211A,稳博500指数增强多策略1号A类,2026-08-28,1.219100,2026-08-28,1.219100,2026-08-28,1个月内,,weekly
N8515B,沣盈金砖三期B类,2026-08-28,0.909100,2026-08-28,0.909100,2026-08-28,1个月内,,weekly
QM058A,忤合福牛A类,2026-08-28,1.652000,2026-08-28,1.652000,2026-08-28,1个月内,,weekly
QV204A,福克斯-准星宙斯盾壹号A类,2026-08-28,2.435300,2026-08-28,2.435300,2026-08-28,1个月内,,weekly
S09980,托特春晓A500指数增强3号,2026-08-28,1.631300,2026-08-28,1.631300,2026-08-28,1个月内,,weekly
SAAG38,五矿期货千里马一号CTA集合资产管理计划,2026-08-28,0.940100,2026-08-28,0.940100,2026-08-28,1个月内,,weekly
SAAV96,鲁民投中证500指数增强二号,2026-08-28,1.834900,2026-08-28,1.834900,2026-08-28,1个月内,,weekly
SAAX16,富犇尊享稳进6号私募证券投资基金,2026-08-28,1.249000,2026-08-28,1.249000,2026-08-28,1个月内,,weekly
SABF02,千衍六和36号2000增强,2026-08-28,1.934400,2026-08-28,1.934400,2026-08-28,1个月内,,weekly
SABF94,涵德明德中证2000指数增强1号,2026-08-28,1.776200,2026-08-28,1.776200,2026-08-28,1个月内,,weekly
SABN49,久期云锦量化1号,2026-08-28,1.172400,2026-08-28,1.172400,2026-08-28,1个月内,,weekly
SACM99,进化论多棱镜中证1000指数增强,2026-08-28,1.937600,2026-08-28,1.937600,2026-08-28,1个月内,,weekly
SACS58,微观博易-宝途二号,2026-08-28,1.073700,2026-08-28,1.073700,2026-08-28,1个月内,,weekly
SACW48,无隅磐石五号,2026-08-28,1.111900,2026-08-28,1.111900,2026-08-28,1个月内,,weekly
SADF37,托特沪深300指数增强2号,2026-08-28,1.944400,2026-08-28,1.944400,2026-08-28,1个月内,,weekly
SADH56,无涯中证1000指数增强1号,2026-08-28,1.685100,2026-08-28,1.685100,2026-08-28,1个月内,,weekly
SADJ44,凯丰凌风1号基本面量化CTA,2026-08-28,1.360200,2026-08-28,1.360200,2026-08-28,1个月内,,weekly
SADU30,千衍六贞15号,2026-08-28,1.193500,2026-08-28,1.193500,2026-08-28,1个月内,,weekly
SAEH44,五矿期货宏观量化股指转债一号集合资产管理计划,2026-08-28,1.057800,2026-08-28,1.057800,2026-08-28,1个月内,,weekly
SAEQ13,正定量化对冲1号私募证券投资基金,2026-08-28,1.447600,2026-08-28,1.447600,2026-08-28,1个月内,,weekly
SAEQ57,衍盛中证1000指数增强建享2号,2026-08-28,1.586700,2026-08-28,1.586700,2026-08-28,1个月内,,weekly
SAEQ89,星旭北证量化选股1号,2026-08-28,0.945600,2026-08-28,0.945600,2026-08-28,1个月内,,weekly
SAET17,鲁民投沪深300指数增强一号,2026-08-28,1.425400,2026-08-28,1.425400,2026-08-28,1个月内,,weekly
SAET88,巨量均衡中证1000进取型指数增强一号,2026-08-28,1.783500,2026-08-28,1.783500,2026-08-28,1个月内,,weekly
SAEW53,骐邦新程多策略稳健,2026-08-28,1.383100,2026-08-28,1.383100,2026-08-28,1个月内,,weekly
SAFP38,明睿盈途稳健,2026-08-28,1.093100,2026-08-28,1.093100,2026-08-28,1个月内,,weekly
SAFW30,野牛稳进2号,2026-08-28,1.048200,2026-08-28,1.048200,2026-08-28,1个月内,,weekly
