beian_hao,fof99_fund_name,fof99_short_name,fof99_advisor,fof99_price_date,fof99_price_nav,fof99_inception_date,fof99_fund_state,fof99_fund_type,fof99_strategy_one,fof99_strategy_two,in_private_fund_info,list_product_name,list_nav_date,list_nav,table_bucket,in_amac,amac_fund_name,amac_working_state,amac_fund_type,amac_manager,missing_reason
SJA141,格林施通-大鹏湾财富十三期私募证券投资基金,格林施通-大鹏湾财富十三期,深圳格林施通,2026-09-03,1.909,2019-09-23,1,2,股票多头,主观多头,yes,格林施通-大鹏湾财富十三期私募证券投资基金,,,null_nav_date,yes,格林施通-大鹏湾财富十三期私募证券投资基金,正在运作,,深圳市格林施通资产管理有限公司,in_table_null_latest_nav_date
SBWD42,兰盈量曜市场中性1号私募证券投资基金,兰盈量曜市场中性1号,上海兰盈量投,2026-09-03,1.0242,2026-06-30,1,2,股票对冲,,yes,兰盈量曜市场中性1号私募证券投资基金,,,null_nav_date,yes,兰盈量曜市场中性1号私募证券投资基金,正在运作,,兰盈量投私募基金管理（上海）有限公司,in_table_null_latest_nav_date
SBVS79,赢仕创鑫9号私募证券投资基金,赢仕创鑫9号,上海赢仕投资,2026-09-03,1.046,2026-04-13,1,2,股票多头,,yes,赢仕创鑫9号私募证券投资基金,,,null_nav_date,yes,赢仕创鑫9号私募证券投资基金,正在运作,私募证券投资基金,上海赢仕投资管理有限公司,in_table_null_latest_nav_date
SBPT04,星旭趋势先锋1号私募证券投资基金,星旭趋势先锋1号,上海星旭佳诚,2026-09-03,1.0939,2026-03-16,1,2,股票多头,,yes,星旭趋势先锋1号私募证券投资基金,,,null_nav_date,yes,星旭趋势先锋1号私募证券投资基金,正在运作,私募证券投资基金,上海星旭佳诚私募基金管理有限公司,in_table_null_latest_nav_date
SBPK11,乾铭满晟1号私募证券投资基金,乾铭满晟1号,浙江乾铭,2026-09-03,0.6484,2026-01-20,1,2,股票多头,,yes,乾铭满晟1号私募证券投资基金,,,null_nav_date,yes,乾铭满晟1号私募证券投资基金,正在运作,私募证券投资基金,浙江乾铭私募基金管理有限公司,in_table_null_latest_nav_date
SBPA37,抱朴石笃行1号私募证券投资基金,抱朴石笃行1号,厦门抱朴石,2026-09-03,0.755,2026-01-19,1,2,股票多头,,yes,抱朴石笃行1号私募证券投资基金,,,null_nav_date,yes,抱朴石笃行1号私募证券投资基金,正在运作,,厦门抱朴石私募基金管理有限公司,in_table_null_latest_nav_date
SBLN23,尚信配置系列多元资产A001私募证券投资基金,尚信配置系列多元资产A001,上海尚信健投资管,2026-09-03,1.0233,2025-12-01,1,2,股票多头,,yes,尚信配置系列多元资产A001私募证券投资基金,,,null_nav_date,yes,尚信配置系列多元资产A001私募证券投资基金,正在运作,私募证券投资基金,尚信健投资产管理（上海）有限责任公司,in_table_null_latest_nav_date
SBKZ80,星旭微盘股1号私募证券投资基金,星旭微盘股1号,上海星旭佳诚,2026-09-03,0.9594,2026-01-16,1,2,股票多头,,yes,星旭微盘股1号私募证券投资基金,,,null_nav_date,yes,星旭微盘股1号私募证券投资基金,正在运作,私募证券投资基金,上海星旭佳诚私募基金管理有限公司,in_table_null_latest_nav_date
SBKV71,东源A500指数策略2号私募证券投资基金,东源A500指数策略2号,天津东源投资,2026-09-03,1.0268,2025-12-03,1,2,股票多头,A500指增,yes,东源A500指数策略2号私募证券投资基金,,,null_nav_date,yes,东源A500指数策略2号私募证券投资基金,正在运作,私募证券投资基金,东源（天津）股权投资基金管理股份有限公司,in_table_null_latest_nav_date
SBKJ28,恒如全天候守心3号私募证券投资基金,恒如全天候守心3号,上海恒如投资,2026-09-03,0.9863,2025-12-05,1,2,多资产策略,复合策略,yes,恒如全天候守心3号私募证券投资基金,,,null_nav_date,yes,恒如全天候守心3号私募证券投资基金,正在运作,私募证券投资基金,上海恒如投资管理有限公司,in_table_null_latest_nav_date
SBJR76,兰盈量曜中证2000增强1号私募证券投资基金,兰盈量曜中证2000增强1号,上海兰盈量投,2026-09-03,1.0351,2026-01-19,1,2,股票多头,2000指增,yes,兰盈量曜中证2000增强1号私募证券投资基金,,,null_nav_date,yes,兰盈量曜中证2000增强1号私募证券投资基金,正在运作,私募证券投资基金,兰盈量投私募基金管理（上海）有限公司,in_table_null_latest_nav_date
SBJL75,东源中证1000指数策略3号私募证券投资基金,东源中证1000指数策略3号,天津东源投资,2026-09-03,1.178,2025-11-13,1,2,股票多头,1000指增,yes,东源中证1000指数策略3号私募证券投资基金,,,null_nav_date,yes,东源中证1000指数策略3号私募证券投资基金,正在运作,私募证券投资基金,东源（天津）股权投资基金管理股份有限公司,in_table_null_latest_nav_date
SBGZ95,东源中证1000指数策略2号私募证券投资基金,东源中证1000指数策略2号,天津东源投资,2026-09-03,1.1445,2025-10-13,1,2,股票多头,1000指增,yes,东源中证1000指数策略2号私募证券投资基金,,,null_nav_date,yes,东源中证1000指数策略2号私募证券投资基金,正在运作,私募证券投资基金,东源（天津）股权投资基金管理股份有限公司,in_table_null_latest_nav_date
SBFS71,迦亿和光1号私募证券投资基金,迦亿和光1号,上海迦亿,2026-09-03,1.1896,2025-09-15,1,2,多资产策略,宏观策略,yes,迦亿和光1号私募证券投资基金,,,null_nav_date,yes,迦亿和光1号私募证券投资基金,正在运作,私募证券投资基金,上海迦亿私募基金管理有限公司,in_table_null_latest_nav_date
SBFR58,东源投资汇安中性1号私募证券投资基金,东源投资汇安中性1号,天津东源投资,2026-09-03,1.0204,2025-10-31,1,2,股票对冲,,yes,东源投资汇安中性1号私募证券投资基金,,,null_nav_date,yes,东源投资汇安中性1号私募证券投资基金,正在运作,私募证券投资基金,东源（天津）股权投资基金管理股份有限公司,in_table_null_latest_nav_date
SB0386,禧悦稳健三石3号私募证券投资基金,禧悦稳健三石3号,北京禧悦,2026-09-03,1.0339,2026-07-09,1,2,股票多头,,yes,禧悦稳健三石3号私募证券投资基金,,,null_nav_date,yes,禧悦稳健三石3号私募证券投资基金,正在运作,,北京禧悦私募基金管理有限公司,in_table_null_latest_nav_date
SAWT56,金岭中诚信防御型100股票指数增强1号私募证券投资基金,金岭中诚信防御型100股票指数增强1号,青岛金岭,2026-09-03,1.0256,2025-04-15,1,2,股票多头,,yes,金岭中诚信防御型100股票指数增强1号私募证券投资基金,,,null_nav_date,yes,金岭中诚信防御型100股票指数增强1号私募证券投资基金,正在运作,私募证券投资基金,青岛金岭私募基金管理有限公司,in_table_null_latest_nav_date
SAVN04,捷荆天策启航5号私募证券投资基金,捷荆天策启航5号,浙江捷荆,2026-09-03,1.0107,2025-03-14,1,2,期权策略,,yes,捷荆天策启航5号私募证券投资基金,,,null_nav_date,yes,捷荆天策启航5号私募证券投资基金,正在运作,私募证券投资基金,浙江捷荆私募基金管理有限公司,in_table_null_latest_nav_date
