beian_hao,product_name,list_nav_date,list_nav,nav_table_max_date,nav_table_nav_at_max,have_latest_date,date_bucket,empty_date_probe,fof99_policy,fof99_source,fof99_latest_date,fof99_latest_nav
SR0423,荣熙优选10号,2026-09-04,1.807700,2026-05-27,1.785200,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-31,1.8463
SQX646,凡二量化中证500增强4号1期私募证券投资基金,2026-09-04,1.798000,,,2026-09-04,1个月以内,no_data,skip,,,
SQX078,特夫郁金香全量化私募证券投资基金,2026-09-04,1.087800,,,2026-09-04,1个月以内,,update_slow,advancedlist,2026-01-16,1.0041
SQS892,茂源量化中证红利指数增强1号私募证券投资基金,2026-09-04,1.076500,,,2026-09-04,1个月以内,no_data,skip,,,
SQR797,量锐金选中证1000指数增强1号私募证券投资基金,2026-09-04,2.205500,,,2026-09-04,1个月以内,no_data,skip,,,
SQQ300,笃熙禀泰多资产轮动策略3号私募证券投资基金,2026-09-04,1.044000,,,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.051
SQM008,七禾科技传奇智丽81号,2026-09-04,1.232000,2026-05-22,1.208000,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-09-02,1.237
SQG812,量锐金选中证500指数增强3号私募证券投资基金,2026-09-04,2.485600,,,2026-09-04,1个月以内,no_data,skip,,,
SQD463,笃熙禀泰多资产轮动策略1号私募证券投资基金,2026-09-04,0.647580,,,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.2038
SQA597,宝沣投资量化1号私募证券投资基金,2026-09-04,1.501600,,,2026-09-04,1个月以内,,update_slow,advancedlist,2024-07-19,1.1661
SNX530,毓颜商品指数增强1号,2026-09-04,2.398000,2026-05-22,2.344000,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-31,2.368
SNW169,星阔江月2号私募证券投资基金,2026-09-04,1.070000,,,2026-09-04,1个月以内,no_data,skip,,,
SNK642,鸣石广鸣中证1000指数增强1号私募证券投资基金,2026-09-04,2.482400,,,2026-09-04,1个月以内,no_data,skip,,,
SNG210,笃熙禀泰多资产轮动策略2号私募证券投资基金,2026-09-04,1.152000,,,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.157
SNF018,钜融添宝20号私募证券投资基金,2026-09-04,1.315100,,,2026-09-04,1个月以内,,update_slow,advancedlist,2020-12-23,1
SND951,草本致远1号,2026-09-04,0.630048,2026-05-22,1.072000,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-31,1.123
SLV071,金舆长风价值优选私募证券投资基金,2026-09-04,0.847000,,,2026-09-04,1个月以内,,update_slow,advancedlist,2020-09-14,1
SLP301,众量资产万里阳光1号私募证券投资基金,2026-09-04,0.334400,,,2026-09-04,1个月以内,no_data,skip,,,
