beian_hao,product_name,list_nav_date,list_nav,nav_table_max_date,nav_table_nav_at_max,have_latest_date,date_bucket,empty_date_probe,fof99_policy,fof99_source,fof99_latest_date,fof99_latest_nav
ZY674B,和谐汇一TMT创新精选B类,2026-08-28,2.404800,2026-08-28,2.404800,2026-08-28,1个月内,,weekly,advancedlist,2026-08-28,2.4048
ZQ158A,德贝日选中证500指数增强1号A类,2026-08-28,1.416500,2026-08-28,1.416500,2026-08-28,1个月内,,weekly,advancedlist,2026-08-28,1.4165
ZM607B,善择先锋一号B类,2026-08-28,0.982100,2026-08-28,0.982100,2026-08-28,1个月内,,weekly,advancedlist,2026-08-28,0.9821
ZD293A,谦信潮汐六号A类,2026-08-28,1.148000,2026-08-28,1.148000,2026-08-28,1个月内,,weekly,advancedlist,2026-08-28,1.148
ZC435A,量道明察1号A类,2026-08-28,1.112300,2026-08-28,1.112300,2026-08-28,1个月内,,weekly,advancedlist,2026-08-31,1.122
XY896B,鲁民投量化对冲二号B类,2026-08-28,1.256400,2026-08-28,1.256400,2026-08-28,1个月内,,weekly,advancedlist,2026-08-28,1.2564
XY896A,鲁民投量化对冲二号A类,2026-08-28,1.264600,2026-08-28,1.264600,2026-08-28,1个月内,,weekly,advancedlist,2026-08-28,1.2646
XY774A,中邮永安黑猫CTA一号A类,2026-08-28,1.020400,2026-08-28,1.020400,2026-08-28,1个月内,,weekly,advancedlist,2026-08-28,1.0204
XU778A,奕睿CTA二期DA类,2026-08-28,1.228200,2026-08-28,1.228200,2026-08-28,1个月内,,weekly,advancedlist,2026-08-28,1.2282
XT351A,东恺中证1000量化指数增强一号A类,2026-08-28,1.676400,2026-08-28,1.676400,2026-08-28,1个月内,,weekly,advancedlist,2026-08-28,1.6764
XN023A,兆信股指期货期权套利1号A类,2026-08-28,1.310000,2026-08-28,1.310000,2026-08-28,1个月内,,weekly,advancedlist,2026-08-28,1.31
XL543A,因诺天问1号A类,2026-08-28,1.914000,2026-08-28,1.914000,2026-08-28,1个月内,,weekly,advancedlist,2026-08-28,1.914
XE341B,和谐汇一高端制造B类,2026-08-28,1.777700,2026-08-28,1.777700,2026-08-28,1个月内,,weekly,advancedlist,2026-08-28,1.7777
XC626A,善择季季红A类,2026-08-28,1.292800,2026-08-28,1.292800,2026-08-28,1个月内,,weekly,advancedlist,2026-08-28,1.2928
XB786B,和谐汇一医疗创新B类,2026-08-28,2.382100,2026-08-28,2.382100,2026-08-28,1个月内,,weekly,advancedlist,2026-08-28,2.3821
X4087A,珠池可转债量化精选2期A类,2026-08-28,1.621800,2026-08-28,1.621800,2026-08-28,1个月内,,weekly,advancedlist,2026-08-28,1.6218
W1298B,横琴广金美好康德多策略一号B类,2026-08-28,2.204700,2026-08-28,2.204700,2026-08-28,1个月内,,weekly,advancedlist,2026-08-28,2.2047
W1298A,横琴广金美好康德多策略一号A类,2026-08-28,2.107800,2026-08-28,2.107800,2026-08-28,1个月内,,weekly,advancedlist,2026-08-28,2.1078
VZ798A,箐安专享一号A类,2026-08-28,3.561000,2026-08-28,3.561000,2026-08-28,1个月内,,weekly,advancedlist,2026-08-28,3.561
VN330A,易者共赢1号A类,2026-08-28,1.407800,2026-08-28,1.407800,2026-08-28,1个月内,,weekly,advancedlist,2026-08-31,1.4064
VN286B,佳泽金陵1号B类,2026-08-28,2.463100,2026-08-28,2.463100,2026-08-28,1个月内,,weekly,advancedlist,2026-08-31,2.5278
VL369B,德贝中证1000指数增强1号B类,2026-08-28,1.452000,2026-08-28,1.452000,2026-08-28,1个月内,,weekly,advancedlist,2026-08-28,1.452
VC309B,白鹭权优1号B类,2026-08-28,1.232000,2026-08-28,1.232000,2026-08-28,1个月内,,weekly,advancedlist,2026-08-28,1.232
TY963B,鲁民投中证1000指数增强一号B类,2026-08-28,2.080900,2026-08-28,2.080900,2026-08-28,1个月内,,weekly,advancedlist,2026-08-28,2.0809
