beian_hao,product_name,list_nav_date,list_nav,nav_table_max_date,nav_table_nav_at_max,have_latest_date,date_bucket,empty_date_probe,fof99_policy,fof99_source,fof99_latest_date,fof99_latest_nav
AZQ38B,元涞传承精选1号B类,2026-09-02,1.092500,2026-09-02,1.092500,2026-09-02,1个月内,ok,weekly,price_api,2026-09-02,1.092500
AZQ38A,元涞传承精选1号A类,2026-09-02,1.086100,2026-09-02,1.086100,2026-09-02,1个月内,ok,weekly,price_api,2026-09-02,1.086100
SM0852,睿鉝量化精选1期,2026-09-01,2.999700,2026-09-01,2.999700,2026-09-01,1个月内,ok,weekly,price_api,2026-09-01,2.999700
SM5881,中讯成长三号,2026-08-28,1.215200,2026-08-28,1.215200,2026-08-28,1个月内,ok,weekly,price_api,2026-08-28,1.215200
SM5836,东航金融-CTA九桥安诚数盈,2026-08-28,2.622800,2026-08-28,2.622800,2026-08-28,1个月内,ok,weekly,price_api,2026-08-28,2.622800
SM2476,烜鼎智鑫三号,2026-08-28,1.824900,2026-08-28,1.824900,2026-08-28,1个月内,ok,weekly,price_api,2026-08-28,1.824900
SQJ067,守朴进取3号,2026-08-07,1.202700,2026-08-07,1.202700,2026-08-07,1个月内,ok,weekly,price_api,2026-08-07,1.202700
SNW090,陆宝点金价值,2026-08-07,1.021100,2026-08-07,1.021100,2026-08-07,1个月内,ok,weekly,price_api,2026-08-07,1.021100
SALS21,明毅招进一号,2026-08-07,1.048100,2026-08-07,1.048100,2026-08-07,1个月内,ok,weekly,price_api,2026-08-07,1.048100
SZL925,朴石守正2号,2026-08-05,0.945600,2026-08-05,0.945600,2026-08-05,1个月内,ok,weekly,price_api,2026-08-05,0.945600
SZZ058,中阅聚焦13号,2026-07-31,12.699600,2026-07-31,12.699600,2026-07-31,1-3个月,ok,update_slow,price_api,2026-07-31,12.699600
SVJ388,艾方波动率均衡6号B期,2026-07-31,1.211500,2026-07-31,1.211500,2026-07-31,1-3个月,ok,update_slow,price_api,2026-07-31,1.211500
SGT941,洛肯国际安享一期,2026-07-31,1.054000,2026-07-31,1.054000,2026-07-31,1-3个月,ok,update_slow,price_api,2026-07-31,1.054000
SED106,志开成长5期,2026-07-31,0.816000,2026-07-31,0.816000,2026-07-31,1-3个月,ok,update_slow,price_api,2026-07-31,0.816000
SBBU13,阿尔法8号,2026-07-31,0.825900,2026-07-31,0.825900,2026-07-31,1-3个月,ok,update_slow,price_api,2026-07-31,0.825900
SAEK88,杉树瑞升26号量化,2026-07-31,1.222600,2026-07-31,1.222600,2026-07-31,1-3个月,ok,update_slow,price_api,2026-07-31,1.222600
SM7831,衍航11号宏观策略,2026-07-30,1.104200,2026-07-30,1.104200,2026-07-30,1-3个月,ok,update_slow,price_api,2026-07-30,1.104200
SVA584,国承资产-中天农历五号,2026-07-28,1.077900,2026-07-28,1.077900,2026-07-28,1-3个月,ok,update_slow,price_api,2026-07-28,1.077900
SAGA35,奶酪善水四号,2026-07-28,2.278500,2026-07-28,2.278500,2026-07-28,1-3个月,ok,update_slow,price_api,2026-07-28,2.278500
SXL508,展弘金选套利1号,2026-07-24,1.038300,2026-07-24,1.038300,2026-07-24,1-3个月,ok,update_slow,price_api,2026-07-24,1.038300
SVZ698,春雷泽宇1号,2026-07-24,0.715900,2026-07-24,0.715900,2026-07-24,1-3个月,ok,update_slow,price_api,2026-07-24,0.715900
SSM217,星际13号,2026-07-24,1.220000,2026-07-24,1.220000,2026-07-24,1-3个月,ok,update_slow,price_api,2026-07-24,1.220000
SNW091,陆宝点金价值A期,2026-07-24,0.923700,2026-07-24,0.923700,2026-07-24,1-3个月,ok,update_slow,price_api,2026-07-24,0.923700
SJY500,东方睿石志远,2026-07-24,1.940000,2026-07-24,1.940000,2026-07-24,1-3个月,ok,update_slow,price_api,2026-07-24,1.940000
SBCW73,品责量化中性一号,2026-07-24,0.943000,2026-07-24,0.943000,2026-07-24,1-3个月,ok,update_slow,price_api,2026-07-24,0.943000
SAHR53,辉隆中诚主动管理薪增壹到拾,2026-07-24,0.938600,2026-07-24,0.938600,2026-07-24,1-3个月,ok,update_slow,price_api,2026-07-24,0.938600
SGN153,深圳青岸长川二期,2026-07-21,1.925000,2026-07-21,1.925000,2026-07-21,1-3个月,ok,update_slow,price_api,2026-07-21,1.925000
SSZ901,新方程致远丰收十二号,2026-07-20,1.142000,2026-07-20,1.142000,2026-07-20,1-3个月,ok,update_slow,price_api,2026-07-20,1.142000
SZF014,宝通程牛3号,2026-07-17,1.998100,2026-07-17,1.998100,2026-07-17,1-3个月,ok,update_slow,price_api,2026-07-17,1.998100
SVG975,睿郡承非郡享2号,2026-07-17,1.524000,2026-07-17,1.524000,2026-07-17,1-3个月,ok,update_slow,price_api,2026-07-17,1.524000
SL6729,千河资产金鳄专享1号,2026-07-17,0.964000,2026-07-17,0.964000,2026-07-17,1-3个月,ok,update_slow,price_api,2026-07-17,0.964000
SSM080,鼎森丰凯量化3号,2026-07-16,1.312000,2026-07-16,1.312000,2026-07-16,1-3个月,ok,update_slow,price_api,2026-07-16,1.312000
SLM829,瑞达期货-瑞智无忧共赢20号集合资产管理计划,2026-07-16,1.100600,2026-07-16,1.100600,2026-07-16,1-3个月,ok,update_slow,price_api,2026-07-16,1.100600
