beian_hao,product_name,list_nav_date,list_nav,nav_table_max_date,nav_table_nav_at_max,have_latest_date,date_bucket,empty_date_probe,fof99_policy,fof99_source,fof99_latest_date,fof99_latest_nav
SVE102,博孚利财鸿1号私募证券投资基金,2026-03-06,1.242600,2022-03-28,1.000000,2026-03-06,6个月以上,ok,update_slow,price_api,2022-03-28,1.000000
SSR673,凡二量化选股1号私募证券投资基金,2026-03-06,2.614100,,,2026-03-06,6个月以上,no_data,skip,,,
SBPN76,省心享华泰期货锐泰优选家族尊享C9号FOF集合资产管理计划,2026-03-06,1.001300,,,2026-03-06,6个月以上,no_data,skip,,,
SBKU94,禾悦暖阳1000指数增强1号私募证券投资基金,2026-03-06,1.063400,,,2026-03-06,6个月以上,no_data,skip,,,
SBJV10,禾悦茁壮成长5号私募证券投资基金,2026-03-06,1.112700,,,2026-03-06,6个月以上,no_data,skip,,,
SASG57,锐耐日日积一号私募证券投资基金,2026-03-06,1.023700,,,2026-03-06,6个月以上,no_data,skip,,,
SADW09,君得安新利1号私募证券投资基金,2026-03-06,1.378300,,,2026-03-06,6个月以上,,,,,
SXG834,正仁双创择时一号私募证券投资基金,2026-03-05,1.530900,,,2026-03-05,6个月以上,no_data,skip,,,
SN0764,垒盈一号私募投资基金,2026-03-04,1.792000,,,2026-03-04,6个月以上,no_data,skip,,,
SLN886,希格斯机遇3号私募证券投资基金,2026-03-04,1.168000,,,2026-03-04,6个月以上,,update_slow,advancedlist,2021-01-08,1
SZQ800,铭宬鑫科500指增1号私募证券投资基金,2026-03-03,11.934900,,,2026-03-03,6个月以上,,,,,
SND116,科瑞菲亚芒种私募证券投资基金,2026-03-03,1.121000,,,2026-03-03,6个月以上,,,advancedlist,2024-07-19,0.999
SBCQ62,亦赋尤里卡3号多策略私募证券投资基金,2026-03-03,1.191600,,,2026-03-03,6个月以上,,,,,
SSR328,灵涛机构日享2期私募证券投资基金,2026-03-02,1.154200,,,2026-03-02,6个月以上,,,advancedlist,2025-11-07,1.0084
SBKX11,正瀛骐骥豆市街一号私募证券投资基金,2026-03-02,1.030600,,,2026-03-02,6个月以上,,,,,
SXX132,正定进取9号私募证券投资基金,2026-02-27,1.504200,,,2026-02-27,6个月以上,,,,,
SVJ634,博孚利涌金7号私募证券投资基金,2026-02-27,1.176000,,,2026-02-27,6个月以上,,,,,
SVG636,禾晖安德私募证券投资基金,2026-02-27,1.124000,,,2026-02-27,6个月以上,,,advancedlist,2022-08-31,1
SVG113,泽善量化精选1号私募证券投资基金,2026-02-27,1.874300,,,2026-02-27,6个月以上,,,advancedlist,2022-08-26,1.0454
STT749,汇利玖奕3号私募证券投资基金,2026-02-27,1.731000,,,2026-02-27,6个月以上,,,,,
SN0937,新纪元-向日葵多策略1期1号私募基金,2026-02-27,2.324900,,,2026-02-27,6个月以上,,,,,
SJV805,向日葵泽阳家族联合FOF1号私募证券投资基金,2026-02-27,2.510300,,,2026-02-27,6个月以上,,,,,
SBAA94,榕树海鲲鹏5号私募证券投资基金,2026-02-27,1.620900,,,2026-02-27,6个月以上,,,,,
SAXV37,绵烁低波稳健1号私募证券投资基金,2026-02-27,1.117400,,,2026-02-27,6个月以上,,,,,
SAXV36,绵烁低波进取1号私募证券投资基金,2026-02-27,1.143400,,,2026-02-27,6个月以上,,,,,
SATW84,润波洪瑞1号私募证券投资基金,2026-02-27,1.199200,,,2026-02-27,6个月以上,,,,,
SAGU69,睿泉海外远见私募证券投资基金,2026-02-27,1.627000,,,2026-02-27,6个月以上,,,,,
SXN442,博孚利涌金1号私募证券投资基金,2026-02-26,1.536000,,,2026-02-26,6个月以上,,,,,
SAWA51,英仕曼美量2号私募证券投资基金,2026-02-24,1.553200,,,2026-02-24,6个月以上,,,,,
SVZ153,柏石聚配1号私募证券投资基金,2026-02-13,1.107000,,,2026-02-13,6个月以上,,,,,
SGM266,尚艺阳光1号私募证券投资基金,2026-02-13,1.107100,,,2026-02-13,6个月以上,,,advancedlist,2026-02-13,1.1071
SAZF69,安若泰然1号私募证券投资基金,2026-02-13,1.050400,,,2026-02-13,6个月以上,,,,,
SNM005,嘉鸿鲲鹏套利1号私募证券投资基金,2026-02-12,1.199600,,,2026-02-12,6个月以上,,,,,
SAWS68,前海久盈非晚一号私募证券投资基金,2026-02-12,1.041900,,,2026-02-12,6个月以上,,,,,
SSA386,通怡股票低波择时1号私募证券投资基金,2026-02-09,1.055100,,,2026-02-09,6个月以上,,,,,
SXZ606,远澜梧桐中性2号私募证券投资基金,2026-02-06,1.016000,,,2026-02-06,6个月以上,,,,,
SVV550,极量魔方私募证券投资基金,2026-02-06,1.034200,,,2026-02-06,6个月以上,,,advancedlist,2024-09-13,1.4946
STH890,极量龙泉私募证券投资基金,2026-02-06,1.013700,,,2026-02-06,6个月以上,,,advancedlist,2024-07-19,1.4467
SQW391,品责优享八期私募证券投资基金,2026-02-06,1.041800,,,2026-02-06,6个月以上,,,advancedlist,2021-06-18,1
SEJ300,珠海宽德九盈私募投资基金,2026-02-06,1.037000,,,2026-02-06,6个月以上,,,advancedlist,2024-04-12,1.528
SAZH40,深度恒稳1号私募证券投资基金,2026-02-06,1.045500,,,2026-02-06,6个月以上,,,,,
SAPM40,弈倍新质生产力进取一号私募证券投资基金,2026-02-06,1.038700,,,2026-02-06,6个月以上,,,advancedlist,2025-07-18,1.0573
SND542,极量太极1号私募证券投资基金,2026-02-05,2.254200,,,2026-02-05,6个月以上,,,advancedlist,2024-08-23,1.8505
SXW256,蒙森朝海5号私募证券投资基金,2026-02-04,1.235000,,,2026-02-04,6个月以上,,,advancedlist,2024-07-25,1.206
STC445,垒盈八号私募证券投资基金,2026-02-04,1.484800,,,2026-02-04,6个月以上,,,,,
SBLM83,百奕股票增强一号私募证券投资基金,2026-02-04,1.050400,,,2026-02-04,6个月以上,,,,,
SAKK91,恒如守正2号私募证券投资基金,2026-02-04,1.015600,,,2026-02-04,6个月以上,,,advancedlist,2024-08-28,0.9958
SZT086,泰德量化对冲12号私募证券投资基金,2026-02-03,0.921700,,,2026-02-03,6个月以上,,,,,
STA321,览山瑞禾私募证券投资基金,2026-02-02,1.102300,,,2026-02-02,6个月以上,,,advancedlist,2021-10-22,1
SZA952,领容商品珏金私募证券投资基金,2026-01-30,0.825400,,,2026-01-30,6个月以上,,,advancedlist,2024-03-29,1.1457
SER942,浙江白鹭量化CTA一号私募证券投资基金,2026-01-30,1.634000,,,2026-01-30,6个月以上,,,,,
SAWS71,榕树海鲲鹏20号私募证券投资基金,2026-01-30,1.029200,,,2026-01-30,6个月以上,,,,,
SANJ74,富敦聚宝添利私募证券投资基金,2026-01-30,1.021600,,,2026-01-30,6个月以上,,,,,
SAXB71,盛冠达安享套利8号私募证券投资基金,2026-01-28,1.059300,,,2026-01-28,6个月以上,,,,,
SBCY26,太衍光年中证2000指数增强3号私募证券投资基金,2026-01-26,1.178500,,,2026-01-26,6个月以上,,,,,
SNN519,会世元驰3号私募证券投资基金,2026-01-23,1.619800,,,2026-01-23,6个月以上,,,advancedlist,2024-06-07,1.1941
SGE017,格林顿金益私募证券投资基金,2026-01-23,1.389983,,,2026-01-23,6个月以上,,,,,
SB7202,展弘稳泰对冲运作9号私募证券投资基金,2026-01-23,2.347000,,,2026-01-23,6个月以上,,,,,
SADN06,坤望信享1号私募证券投资基金,2026-01-23,1.561100,,,2026-01-23,6个月以上,,,,,
SZC146,博孚利汇富多策略3号私募证券投资基金,2026-01-21,1.199800,,,2026-01-21,6个月以上,,,,,
STD534,友莹格齐云一号私募证券投资基金,2026-01-21,1.006334,,,2026-01-21,6个月以上,,,,,
SACH25,瑞鼎佳盈1号私募证券投资基金,2026-01-21,1.305000,,,2026-01-21,6个月以上,,,,,
SXJ170,璞成大成一号私募证券投资基金,2026-01-20,0.891100,,,2026-01-20,6个月以上,,,advancedlist,2025-11-28,0.8797
SVB701,鸣熙开阳6号私募证券投资基金,2026-01-19,1.055300,,,2026-01-19,6个月以上,,,,,
SQG727,天宝一阳指稳健套利八期B私募证券投资基金,2026-01-19,1.492600,,,2026-01-19,6个月以上,,,,,
SXQ623,博孚利善家慈善组织1号私募证券投资基金,2026-01-16,1.144000,,,2026-01-16,6个月以上,,,,,
SATD72,禄格朱雀二号私募证券投资基金,2026-01-16,1.010900,,,2026-01-16,6个月以上,,,,,
SVH545,四时之言1号私募证券投资基金,2026-01-15,1.018000,,,2026-01-15,6个月以上,,,advancedlist,2022-03-29,1
SAKX56,博弈渭华翔昇三号私募证券投资基金,2026-01-15,1.782800,,,2026-01-15,6个月以上,,,,,
SZR338,众壹资产伊雷远山二号私募证券投资基金,2026-01-14,1.175000,,,2026-01-14,6个月以上,,,,,
SVR482,复兴稳健精选私募证券投资基金,2026-01-12,1.130000,,,2026-01-12,6个月以上,,,,,
STE624,筑金馨睿壹号私募证券投资基金,2026-01-09,2.855000,,,2026-01-09,6个月以上,,,advancedlist,2026-01-05,3.39
SNM240,佑维趋势1号私募证券投资基金,2026-01-09,2.091500,,,2026-01-09,6个月以上,,,advancedlist,2025-02-28,1.944
SAMT60,配邦高道长盛私募证券投资基金,2026-01-09,0.910000,,,2026-01-09,6个月以上,,,advancedlist,2025-08-08,1.172
SLV283,瑞达期货-瑞智无忧共赢27号集合资产管理计划,2026-01-08,1.052400,,,2026-01-08,6个月以上,,,,,
SBCR36,融成水滴石穿进取1号私募证券投资基金,2026-01-08,1.350000,,,2026-01-08,6个月以上,,,,,
SAUX26,熙典基金格兰菲迪3号私募证券投资基金,2026-01-08,1.088800,,,2026-01-08,6个月以上,,,,,
SXV334,天宝星海多空对冲六期私募证券投资基金,2026-01-07,1.032000,,,2026-01-07,6个月以上,,,,,
SVX887,锐天103号私募证券投资基金,2026-01-07,1.182000,,,2026-01-07,6个月以上,,,advancedlist,2022-07-01,1
SAVE23,中邮永安云上FOF2号私募证券投资基金,2026-01-07,1.021300,,,2026-01-07,6个月以上,,,,,
SZT296,佑维专享24号私募证券投资基金,2026-01-06,0.937687,,,2026-01-06,6个月以上,,,,,
SAVH76,量子策云木星一号私募证券投资基金,2026-01-06,1.124000,,,2026-01-06,6个月以上,,,,,
SAJV18,裕丰惠达民寅1号私募证券投资基金,2026-01-05,1.333800,,,2026-01-05,6个月以上,,,,,
SZH119,上海宽德飞凡18号私募证券投资基金,2025-12-31,1.663200,,,2025-12-31,6个月以上,,,advancedlist,2023-03-03,1
SVR097,蓝墨长河2号私募证券投资基金,2025-12-31,1.627500,,,2025-12-31,6个月以上,,,advancedlist,2025-10-17,1.6043
STX963,静实致远增强私募证券投资基金,2025-12-31,1.395200,,,2025-12-31,6个月以上,,,,,
STS362,展旗致远能源5号私募证券投资基金,2025-12-31,0.854500,,,2025-12-31,6个月以上,,,,,
SR7801,厚方三号私募投资基金,2025-12-31,1.546000,,,2025-12-31,6个月以上,,,advancedlist,2023-01-13,1.4
SJP382,瀚骏价值增长1号私募证券投资基金,2025-12-31,1.103400,,,2025-12-31,6个月以上,,,advancedlist,2024-07-19,1.375
SCN872,致远中证A500兴泰2号私募证券投资基金,2025-12-31,2.719600,,,2025-12-31,6个月以上,,,,,
SAPZ55,博弈博涵三号私募证券投资基金,2025-12-31,1.061200,,,2025-12-31,6个月以上,,,,,
SANB00,裕丰惠泽1号私募证券投资基金,2025-12-31,1.534700,,,2025-12-31,6个月以上,,,,,
SAHP67,亦赋山海6号多策略私募证券投资基金,2025-12-31,1.439100,,,2025-12-31,6个月以上,,,,,
SAGQ56,倍致钱江盈丰私募证券投资基金,2025-12-31,1.198500,,,2025-12-31,6个月以上,,,,,
SADV67,和顿凯瑞5号私募证券投资基金,2025-12-31,1.350700,,,2025-12-31,6个月以上,,,,,
SAAV43,宁水国债宝2号一期私募证券投资基金,2025-12-31,1.378300,,,2025-12-31,6个月以上,,,,,
SAAT36,正定中证1000指数增强1号私募证券投资基金,2025-12-31,2.042300,,,2025-12-31,6个月以上,,,,,
SBAZ33,弘尚投资-中国科技创新动力私募证券投资基金,2025-12-30,1.043200,,,2025-12-30,6个月以上,,,,,
SXU525,博孚利涌金5号私募证券投资基金,2025-12-29,1.202500,,,2025-12-29,6个月以上,,,,,
ST8940,思勰投资思源中证1000指数增强7号私募证券投资基金,2025-12-26,1.505300,,,2025-12-26,6个月以上,,,,,
SGM969,明汯量化中小盘增强1号1期私募证券投资基金,2025-12-26,6.657400,,,2025-12-26,6个月以上,,,,,
SBAJ66,金锝闻广2号私募证券投资基金,2025-12-26,1.070400,,,2025-12-26,6个月以上,,,,,
SQJ929,璞远丰利聚配专享私募证券投资基金,2025-12-25,1.215500,,,2025-12-25,6个月以上,,,,,
SVF489,国金证券城泰1号FOF单一资产管理计划,2025-12-19,1.000000,,,2025-12-19,6个月以上,,,,,
SAJM41,星云至恒木星CTA私募证券投资基金,2025-12-19,0.643000,,,2025-12-19,6个月以上,,,,,
SY1915,汇信未来6期私募证券投资基金,2025-12-18,1.027600,,,2025-12-18,6个月以上,,,advancedlist,2024-06-03,1.0034
SQS458,合绎塑造者5号私募证券投资基金,2025-12-16,1.579000,,,2025-12-16,6个月以上,,,advancedlist,2021-05-27,1
SB4394,唯瞻三号私募证券投资基金,2025-12-12,1.031700,,,2025-12-12,6个月以上,,,advancedlist,2023-07-04,1
SARK88,蓝墨长河8号私募证券投资基金,2025-12-12,1.202000,,,2025-12-12,6个月以上,,,,,
SZU037,景上源天医平衡私募证券投资基金,2025-12-11,1.111100,,,2025-12-11,6个月以上,,,,,
SXK132,盛丰量化选股迎春1号私募证券投资基金,2025-12-11,1.342400,,,2025-12-11,6个月以上,,,,,
SSY534,澜熙套利一号私募证券投资基金,2025-12-11,1.034000,,,2025-12-11,6个月以上,,,advancedlist,2022-01-28,1.029
SAKV04,天鸾长虹八号私募证券投资基金,2025-12-10,0.799700,,,2025-12-10,6个月以上,,,advancedlist,2024-07-25,0.9994
SVG926,华钧开曜1期私募证券投资基金,2025-12-09,0.655500,,,2025-12-09,6个月以上,,,advancedlist,2022-03-22,1
SEX673,复熙恒赢23号私募证券投资基金,2025-12-08,2.348900,,,2025-12-08,6个月以上,,,,,
SZM894,卓识信远中证500指数增强十三号私募证券投资基金,2025-12-05,1.075200,,,2025-12-05,6个月以上,,,,,
SXC410,华钧元狩2期私募证券投资基金,2025-12-05,0.806600,,,2025-12-05,6个月以上,,,advancedlist,2022-08-12,1
STN719,无隅鲲鹏科创二号私募证券投资基金,2025-12-05,1.056700,,,2025-12-05,6个月以上,,,advancedlist,2025-12-05,1.0567
SGB979,外贸信托-元康盛景1号证券投资集合资金信托计划,2025-12-05,1.198700,,,2025-12-05,6个月以上,,,,,
SB0373,瑞鼎量化对冲3号私募证券投资基金,2025-12-05,1.468000,,,2025-12-05,6个月以上,,,advancedlist,2023-06-08,1
SALS25,倍致丹桂江锦私募证券投资基金,2025-12-05,1.141400,,,2025-12-05,6个月以上,,,,,
S80173,量锐5号基金,2025-12-05,1.786500,,,2025-12-05,6个月以上,,,,,
SZX857,映翎明和2号私募证券投资基金,2025-12-02,1.406500,,,2025-12-02,6个月以上,,,advancedlist,2023-06-05,1
SBHA71,正仁股票择时五期私募证券投资基金,2025-12-02,1.141100,,,2025-12-02,6个月以上,,,,,
SZP347,弘悦晟泽一号私募证券投资基金,2025-11-28,3.132000,,,2025-11-28,6个月以上,,,advancedlist,2024-07-19,1.027
SZC059,中建投信托·丰泉21号（星云1号-战略新兴量化选基FOF-稳健型）集合资金信托计划,2025-11-28,1.053200,,,2025-11-28,6个月以上,,,,,
STK752,静观悟道帅猫进取私募证券投资基金,2025-11-28,1.343100,,,2025-11-28,6个月以上,,,advancedlist,2024-07-25,1.2086
STB997,时间序列衍生策略1号私募证券投资基金,2025-11-28,1.050700,,,2025-11-28,6个月以上,,,,,
SSD439,弘悦玉树1号私募证券投资基金,2025-11-28,4.018000,,,2025-11-28,6个月以上,,,advancedlist,2021-08-25,1
SQS957,弘量弘盈量化CTA私募证券投资基金,2025-11-28,0.949000,,,2025-11-28,6个月以上,,,,,
SLB927,先石晨曦2号私募证券投资基金,2025-11-28,0.910000,,,2025-11-28,6个月以上,,,advancedlist,2024-07-26,1
SJC704,中邮永安景上源1号私募证券投资基金,2025-11-28,1.026700,,,2025-11-28,6个月以上,,,,,
SAWA94,赫富稳选祥泰二号私募证券投资基金,2025-11-28,1.044600,,,2025-11-28,6个月以上,,,,,
SAMF44,米纳进取中证1000指数增强2号私募证券投资基金,2025-11-28,1.222800,,,2025-11-28,6个月以上,,,advancedlist,2026-03-20,1.1578
SAKP90,谊恒滴海稳泰2号私募证券投资基金,2025-11-28,1.079000,,,2025-11-28,6个月以上,,,,,
SZP941,幂数富饶套利3号私募证券投资基金,2025-11-26,1.106800,,,2025-11-26,6个月以上,,,,,
SAVD86,中谦刚走一步1号私募证券投资基金,2025-11-26,0.964900,,,2025-11-26,6个月以上,,,,,
SAZG87,东源恒睿1号私募证券投资基金,2025-11-25,1.191900,,,2025-11-25,6个月以上,,,,,
SLJ245,泽阳龙珠聚配1号私募证券投资基金,2025-11-21,2.844000,,,2025-11-21,6个月以上,,,advancedlist,2024-01-19,1.365
SAFM47,无隅豆市街1号私募证券投资基金,2025-11-21,0.979900,,,2025-11-21,6个月以上,,,,,
SBGU70,艮岳山南鑫达均衡配置私募证券投资基金,2025-11-18,1.000300,,,2025-11-18,6个月以上,,,,,
SAVD72,华泰期货稳行FOF1号集合资产管理计划,2025-11-18,1.017800,,,2025-11-18,6个月以上,,,,,
SASS36,金锝暄锦2号私募证券投资基金,2025-11-18,1.028900,,,2025-11-18,6个月以上,,,,,
SJR645,因诺聚配沪深300指数增强私募证券投资基金,2025-11-14,2.425000,,,2025-11-14,6个月以上,,,,,
SACQ68,创世纪顾锝新锐1号私募证券投资基金,2025-11-14,1.054300,,,2025-11-14,6个月以上,,,,,
SZW580,简一天行长盈1号私募证券投资基金,2025-11-12,1.383600,,,2025-11-12,6个月以上,,,advancedlist,2025-11-04,1.3904
SZN588,联海宏观量化配置1号私募证券投资基金,2025-11-11,1.160100,,,2025-11-11,6个月以上,,,,,
SQH883,联海宏观增强进取1号私募证券投资基金,2025-11-10,1.266800,,,2025-11-10,6个月以上,,,,,
SARR67,联海宏观增强平衡1号私募证券投资基金,2025-11-10,1.178000,,,2025-11-10,6个月以上,,,,,
SAKP57,信璞投资-价值精英M1私募证券投资基金,2025-11-07,1.517300,,,2025-11-07,6个月以上,,,,,
SAAH76,联海量选天枢1号私募证券投资基金,2025-11-06,1.613100,,,2025-11-06,6个月以上,,,,,
SZR021,量道行远1号私募证券投资基金,2025-10-31,1.272800,,,2025-10-31,6个月以上,,,,,
SZK722,联海天王星臻选17号私募证券投资基金,2025-10-31,1.821600,,,2025-10-31,6个月以上,,,,,
SXH724,联海星岳宏观对冲1号私募证券投资基金,2025-10-31,1.357100,,,2025-10-31,6个月以上,,,,,
SSY375,中邮永安金盾一号私募证券投资基金,2025-10-31,1.093700,,,2025-10-31,6个月以上,,,,,
SLW979,尊和尊益3号私募证券投资基金,2025-10-31,1.242000,,,2025-10-31,6个月以上,,,advancedlist,2024-08-23,0.71
SLQ270,象限2号A期私募证券投资基金,2025-10-31,1.040900,,,2025-10-31,6个月以上,,,,,
SLC597,弈倍龙杉一号私募证券投资基金,2025-10-31,1.099600,,,2025-10-31,6个月以上,,,,,
SCA371,华澄1期私募证券投资基金,2025-10-31,1.898400,,,2025-10-31,6个月以上,,,advancedlist,2024-07-19,1.0482
SAZP85,新时代共赢七号私募证券投资基金,2025-10-31,1.015000,,,2025-10-31,6个月以上,,,,,
SAWZ19,靖奇鹰击一号私募证券投资基金,2025-10-31,1.003000,,,2025-10-31,6个月以上,,,,,
SZS447,山海曦和私募证券投资基金,2025-10-29,1.384300,,,2025-10-29,6个月以上,,,advancedlist,2024-07-25,1.0841
SQZ655,泽善价值成长2号私募证券投资基金,2025-10-29,1.079000,,,2025-10-29,6个月以上,,,advancedlist,2021-07-15,1
SY1074,雷菱2号私募证券投资基金,2025-10-27,1.019300,,,2025-10-27,6个月以上,,,advancedlist,2024-07-19,1.4462
SVU657,卓然盈丰稳健1号私募证券投资基金,2025-10-27,1.373000,,,2025-10-27,6个月以上,,,advancedlist,2024-05-16,1.297
SAHD64,雷菱天玑1号私募证券投资基金,2025-10-27,1.152800,,,2025-10-27,6个月以上,,,,,
SZW555,交睿博雅核心1号私募证券投资基金,2025-10-24,1.946300,,,2025-10-24,6个月以上,,,advancedlist,2023-04-18,1
SXJ286,雷菱7号私募证券投资基金,2025-10-24,1.076100,,,2025-10-24,6个月以上,,,advancedlist,2024-07-19,1.0538
SJH238,雷菱私募证券投资基金,2025-10-24,1.019600,,,2025-10-24,6个月以上,,,advancedlist,2024-07-26,1.0086
SGZ433,千朔量化十五号私募证券投资基金,2025-10-24,1.166000,,,2025-10-24,6个月以上,,,,,
SER593,交睿晓凯主观1号私募证券投资基金,2025-10-24,1.800900,,,2025-10-24,6个月以上,,,advancedlist,2024-04-26,1.0119
SAGC89,省心享睿量兴泰锐进1号私募证券投资基金,2025-10-24,2.058300,,,2025-10-24,6个月以上,,,,,
S83053,瑞倍高森5号私募证券投资基金,2025-10-24,0.962200,,,2025-10-24,6个月以上,,,advancedlist,2016-03-04,0.9756
