date,distance
2023-01,1.337155414759716
2018-03,1.4465363887419593
2022-10,1.510057503280376
2018-02,1.549524060310313
2022-08,1.6032660142703825
2018-04,1.6066684522530796
2018-08,1.6165029565257143
2018-01,1.6492764018460417
2018-07,1.6528837083216539
2022-07,1.656156221167379
2018-06,1.6569866181184836
2018-09,1.7201029803376042
2022-09,1.7684579441346144
2022-11,1.8216288206612195
2022-12,1.8751556690892524
2018-10,1.9188511424306824
2018-05,1.975795074814677
2018-11,1.9918126691143843
2019-04,2.0166543339313474
2017-12,2.018002135292092
2022-06,2.0266413929944704
2019-06,2.0281209967511593
2019-07,2.0308484998353173
2019-05,2.1049599742622145
2018-12,2.144535549119902
2017-11,2.147343272274147
2020-07,2.170242240652899
2017-10,2.1868134003727833
2019-10,2.2218828673693922
2020-08,2.249476550173597
2021-11,2.2587319783199096
2020-09,2.318013985263423
2020-06,2.338603383723685
2019-09,2.3393588913384207
2019-08,2.348423512959625
2019-03,2.350800741830834
2021-12,2.3785974509181784
2022-02,2.3917343235444317
2019-02,2.4614665199081163
2022-05,2.469807892252519
2017-04,2.539791582475807
2019-01,2.5777717786263317
2022-04,2.6175464858417747
2020-05,2.647219980622614
2020-04,2.6506830897348825
2017-06,2.7354252929779066
2017-09,2.7411443609035437
2020-03,2.7457827024867303
2019-11,2.773168217114524
2019-12,2.8025727193555077
2017-05,2.8110032095763375
2022-03,2.8563103606248106
2017-07,2.8713215689985567
2021-08,2.88345884736922
2020-10,2.927399892009477
2020-12,2.9639878018788104
2021-06,3.0212397894706595
2021-07,3.025012762100925
2021-10,3.069519414691533
2017-08,3.0954031188025124
2020-01,3.117884910143192
2022-01,3.1587671970742135
2017-03,3.2170208383984997
2021-01,3.273640300774622
2020-11,3.408419784888002
2021-05,3.439897101714201
2020-02,3.564796971167877
2021-03,3.601483778961012
2017-02,3.798148875470663
2021-09,3.8273401263724516
2021-04,3.99621488453047
2021-02,5.031219078074161
