date,code,value
2026/02/01,EMM00072301,1.3
2026/01/01,EMM00072301,0.2
2025/12/01,EMM00072301,0.8
2025/11/01,EMM00072301,0.7
2025/10/01,EMM00072301,0.2
2025/09/01,EMM00072301,-0.3
2025/08/01,EMM00072301,-0.4
2025/07/01,EMM00072301,0.0
2025/06/01,EMM00072301,0.1
2025/05/01,EMM00072301,-0.1
2025/04/01,EMM00072301,-0.1
2025/03/01,EMM00072301,-0.1
2025/02/01,EMM00072301,-0.7
2025/01/01,EMM00072301,0.5
2024/12/01,EMM00072301,0.1
2024/11/01,EMM00072301,0.2
2024/10/01,EMM00072301,0.3
2024/09/01,EMM00072301,0.4
2024/08/01,EMM00072301,0.6
2024/07/01,EMM00072301,0.5
2024/06/01,EMM00072301,0.2
2024/05/01,EMM00072301,0.3
2024/04/01,EMM00072301,0.3
2024/03/01,EMM00072301,0.1
2024/02/01,EMM00072301,0.7
2024/01/01,EMM00072301,-0.8
2023/12/01,EMM00072301,-0.3
2023/11/01,EMM00072301,-0.5
2023/10/01,EMM00072301,-0.2
2023/09/01,EMM00072301,0.0
2023/08/01,EMM00072301,0.1
2023/07/01,EMM00072301,-0.3
2023/06/01,EMM00072301,0.0
2023/05/01,EMM00072301,0.2
2023/04/01,EMM00072301,0.1
2023/03/01,EMM00072301,0.7
2023/02/01,EMM00072301,1.0
2023/01/01,EMM00072301,2.1
2022/12/01,EMM00072301,1.8
2022/11/01,EMM00072301,1.6
2022/10/01,EMM00072301,2.1
2022/09/01,EMM00072301,2.8
2022/08/01,EMM00072301,2.5
2022/07/01,EMM00072301,2.7
2022/06/01,EMM00072301,2.5
2022/05/01,EMM00072301,2.1
2022/04/01,EMM00072301,2.1
2022/03/01,EMM00072301,1.5
2022/02/01,EMM00072301,0.9
2022/01/01,EMM00072301,0.9
2021/12/01,EMM00072301,1.5
2021/11/01,EMM00072301,2.3
2021/10/01,EMM00072301,1.5
2021/09/01,EMM00072301,0.7
2021/08/01,EMM00072301,0.8
2021/07/01,EMM00072301,1.0
2021/06/01,EMM00072301,1.1
2021/05/01,EMM00072301,1.3
2021/04/01,EMM00072301,0.9
2021/03/01,EMM00072301,0.4
2021/02/01,EMM00072301,-0.2
2021/01/01,EMM00072301,-0.3
2020/12/01,EMM00072301,0.2
2020/11/01,EMM00072301,-0.5
2020/10/01,EMM00072301,0.5
2020/09/01,EMM00072301,1.7
2020/08/01,EMM00072301,2.4
2020/07/01,EMM00072301,2.7
2020/06/01,EMM00072301,2.5
2020/05/01,EMM00072301,2.4
2020/04/01,EMM00072301,3.3
2020/03/01,EMM00072301,4.3
2020/02/01,EMM00072301,5.2
2020/01/01,EMM00072301,5.4
2019/12/01,EMM00072301,4.5
2019/11/01,EMM00072301,4.5
2019/10/01,EMM00072301,3.8
2019/09/01,EMM00072301,3.0
2019/08/01,EMM00072301,2.8
2019/07/01,EMM00072301,2.8
2019/06/01,EMM00072301,2.7
2019/05/01,EMM00072301,2.7
2019/04/01,EMM00072301,2.5
2019/03/01,EMM00072301,2.3
2019/02/01,EMM00072301,1.5
2019/01/01,EMM00072301,1.7
2018/12/01,EMM00072301,1.9
2018/11/01,EMM00072301,2.2
2018/10/01,EMM00072301,2.5
2018/09/01,EMM00072301,2.5
2018/08/01,EMM00072301,2.3
2018/07/01,EMM00072301,2.1
2018/06/01,EMM00072301,1.9
2018/05/01,EMM00072301,1.8
2018/04/01,EMM00072301,1.8
2018/03/01,EMM00072301,2.1
2018/02/01,EMM00072301,2.9
2018/01/01,EMM00072301,1.5
2017/12/01,EMM00072301,1.8
2017/11/01,EMM00072301,1.7
2017/10/01,EMM00072301,1.9
2017/09/01,EMM00072301,1.6
2017/08/01,EMM00072301,1.8
2017/07/01,EMM00072301,1.4
2017/06/01,EMM00072301,1.5
2017/05/01,EMM00072301,1.5
2017/04/01,EMM00072301,1.2
2017/03/01,EMM00072301,0.9
2017/02/01,EMM00072301,0.8
2017/01/01,EMM00072301,2.5
2016/12/01,EMM00072301,2.1
2016/11/01,EMM00072301,2.3
2016/10/01,EMM00072301,2.1
2016/09/01,EMM00072301,1.9
2016/08/01,EMM00072301,1.3
2016/07/01,EMM00072301,1.8
2016/06/01,EMM00072301,1.9
2016/05/01,EMM00072301,2.0
2016/04/01,EMM00072301,2.3
2016/03/01,EMM00072301,2.3
2016/02/01,EMM00072301,2.3
2016/01/01,EMM00072301,1.8
2015/12/01,EMM00072301,1.6
2015/11/01,EMM00072301,1.5
2015/10/01,EMM00072301,1.3
2015/09/01,EMM00072301,1.595605
2015/08/01,EMM00072301,2.0
2015/07/01,EMM00072301,1.6
2015/06/01,EMM00072301,1.4
2015/05/01,EMM00072301,1.2
2015/04/01,EMM00072301,1.5
2015/03/01,EMM00072301,1.4
2015/02/01,EMM00072301,1.4
2015/01/01,EMM00072301,0.8
2014/12/01,EMM00072301,1.5
2014/11/01,EMM00072301,1.4
2014/10/01,EMM00072301,1.601149
2014/09/01,EMM00072301,1.6
2014/08/01,EMM00072301,2.0
2014/07/01,EMM00072301,2.3
2014/06/01,EMM00072301,2.3
2014/05/01,EMM00072301,2.5
2014/04/01,EMM00072301,1.801381
2014/03/01,EMM00072301,2.4
2014/02/01,EMM00072301,2.0
2014/01/01,EMM00072301,2.5
2013/12/01,EMM00072301,2.498717
2013/11/01,EMM00072301,3.0
2013/10/01,EMM00072301,3.2
2013/09/01,EMM00072301,3.1
2013/08/01,EMM00072301,2.6
2013/07/01,EMM00072301,2.7
2013/06/01,EMM00072301,2.7
2013/05/01,EMM00072301,2.0981
2013/04/01,EMM00072301,2.4
2013/03/01,EMM00072301,2.1
2013/02/01,EMM00072301,3.2
2013/01/01,EMM00072301,2.0
2012/12/01,EMM00072301,2.5
2012/11/01,EMM00072301,2.0
2012/10/01,EMM00072301,1.7
2012/09/01,EMM00072301,1.9
2012/08/01,EMM00072301,2.0
2012/07/01,EMM00072301,1.8
2012/06/01,EMM00072301,2.1504
2012/05/01,EMM00072301,3.0008
2012/04/01,EMM00072301,3.3653
2012/03/01,EMM00072301,3.5856
2012/02/01,EMM00072301,3.1613
2012/01/01,EMM00072301,4.5485
2011/12/01,EMM00072301,4.0704
2011/11/01,EMM00072301,4.2246
2011/10/01,EMM00072301,5.4954
2011/09/01,EMM00072301,6.0671
2011/08/01,EMM00072301,6.1514
2011/07/01,EMM00072301,6.4508
2011/06/01,EMM00072301,6.3553
2011/05/01,EMM00072301,5.5146
2011/04/01,EMM00072301,5.3442
2011/03/01,EMM00072301,5.383
2011/02/01,EMM00072301,4.9443
2011/01/01,EMM00072301,4.9121
2010/12/01,EMM00072301,4.5859
2010/11/01,EMM00072301,5.1192
2010/10/01,EMM00072301,4.3655
2010/09/01,EMM00072301,3.6056
2010/08/01,EMM00072301,3.4794
2010/07/01,EMM00072301,3.3042
2010/06/01,EMM00072301,2.9499
2010/05/01,EMM00072301,3.0613
2010/04/01,EMM00072301,2.8136
2010/03/01,EMM00072301,2.3707
2010/02/01,EMM00072301,2.6953
2010/01/01,EMM00072301,1.53
2009/12/01,EMM00072301,1.8559
2009/11/01,EMM00072301,0.56
2009/10/01,EMM00072301,-0.53
2009/09/01,EMM00072301,-0.7883
2009/08/01,EMM00072301,-1.2043
2009/07/01,EMM00072301,-1.8057
2009/06/01,EMM00072301,-1.7
2009/05/01,EMM00072301,-1.3713
2009/04/01,EMM00072301,-1.5
2009/03/01,EMM00072301,-1.1714
2009/02/01,EMM00072301,-1.5582
2009/01/01,EMM00072301,0.95
2008/12/01,EMM00072301,1.1999
2008/11/01,EMM00072301,2.434
2008/10/01,EMM00072301,3.9744
2008/09/01,EMM00072301,4.6425
2008/08/01,EMM00072301,4.9001
2008/07/01,EMM00072301,6.302
2008/06/01,EMM00072301,7.0844
2008/05/01,EMM00072301,7.7163
2008/04/01,EMM00072301,8.4829
