date,china_10y_yield
2006/03/31,2.9105217391304343
2006/04/30,2.9808000000000003
2006/05/31,3.0094444444444446
2006/06/30,3.0938636363636363
2006/07/31,3.2077523809523814
2006/08/31,3.2465608695652177
2006/09/30,3.126909090909091
2006/10/31,2.958083333333333
2006/11/30,2.985295454545455
2006/12/31,3.024126086956522
2007/01/31,3.028835
2007/02/28,3.1093235294117645
2007/03/31,3.3008045454545454
2007/04/30,3.5324347826086955
2007/05/31,3.884616666666667
2007/06/30,4.296371428571429
2007/07/31,4.429177272727273
2007/08/31,4.287591304347826
2007/09/30,4.403340909090908
2007/10/31,4.436788888888889
2007/11/30,4.546936363636363
2007/12/31,4.465452380952381
2008/01/31,4.350395454545454
2008/02/29,4.154
2008/03/31,4.113628571428571
2008/04/30,4.041504761904762
2008/05/31,4.143142857142857
2008/06/30,4.334205
2008/07/31,4.4632130434782615
2008/08/31,4.415395238095238
2008/09/30,3.9196571428571425
2008/10/31,3.1938299999999997
2008/11/30,3.005465
2008/12/31,2.853734782608696
2009/01/31,2.8778941176470587
2009/02/28,3.189419047619048
2009/03/31,3.1515
2009/04/30,3.1695
2009/05/31,3.054642105263158
2009/06/30,3.1695409090909092
2009/07/31,3.38474347826087
2009/08/31,3.5092238095238097
2009/09/30,3.4798478260869565
2009/10/31,3.6627470588235296
2009/11/30,3.6793285714285715
2009/12/31,3.629852173913043
2010/01/31,3.644035
2010/02/28,3.4748529411764704
2010/03/31,3.406186956521739
2010/04/30,3.4520428571428576
2010/05/31,3.26038
2010/06/30,3.318590476190476
2010/07/31,3.2365
2010/08/31,3.2575999999999996
2010/09/30,3.308831818181818
2010/10/31,3.5250823529411766
2010/11/30,3.8917090909090906
2010/12/31,3.851582608695652
2011/01/31,3.9354666666666667
2011/02/28,4.0369625
2011/03/31,3.898165217391304
2011/04/30,3.89105
2011/05/31,3.8396047619047615
2011/06/30,3.902157142857143
2011/07/31,3.9717
2011/08/31,3.9983565217391304
2011/09/30,4.013404761904762
2011/10/31,3.7781777777777776
2011/11/30,3.6481
2011/12/31,3.4708
2012/01/31,3.401964705882353
2012/02/29,3.509733333333333
2012/03/31,3.5391391304347826
2012/04/30,3.533842105263158
2012/05/31,3.4342818181818178
2012/06/30,3.366915
2012/07/31,3.283
2012/08/31,3.3385739130434784
2012/09/30,3.4686666666666666
2012/10/31,3.5247555555555556
2012/11/30,3.5478136363636366
2012/12/31,3.5770190476190478
2013/01/31,3.593490909090909
2013/02/28,3.5874176470588237
2013/03/31,3.5788666666666664
2013/04/30,3.460171428571429
2013/05/31,3.424440909090909
2013/06/30,3.5145526315789475
2013/07/31,3.6344217391304348
2013/08/31,3.913009090909091
2013/09/30,4.0485
2013/10/31,4.1133
2013/11/30,4.463261904761905
2013/12/31,4.5491636363636365
2014/01/31,4.5623772727272724
2014/02/28,4.482264705882352
2014/03/31,4.504776190476191
2014/04/30,4.386228571428571
2014/05/31,4.183028571428571
2014/06/30,4.052384999999999
2014/07/31,4.206982608695652
2014/08/31,4.246552380952381
2014/09/30,4.156068181818181
2014/10/31,3.8413999999999997
2014/11/30,3.58512
2014/12/31,3.682678260869565
2015/01/31,3.536833333333333
2015/02/28,3.39355294117647
2015/03/31,3.498263636363636
2015/04/30,3.526995238095238
2015/05/31,3.43622
2015/06/30,3.6012761904761907
2015/07/31,3.496773913043478
2015/08/31,3.4709619047619045
2015/09/30,3.3149333333333337
2015/10/31,3.0824111111111114
2015/11/30,3.116214285714286
2015/12/31,2.938695652173913
2016/01/31,2.823235
2016/02/29,2.8494555555555556
2016/03/31,2.855473913043478
2016/04/30,2.9063
2016/05/31,2.9276714285714283
2016/06/30,2.9465190476190477
2016/07/31,2.8136619047619047
2016/08/31,2.716926086956522
2016/09/30,2.7501714285714285
2016/10/31,2.6895166666666666
2016/11/30,2.8270999999999997
2016/12/31,3.147821739130435
2017/01/31,3.2315947368421054
2017/02/28,3.371068421052631
2017/03/31,3.3287521739130437
2017/04/30,3.382984210526316
2017/05/31,3.618190476190476
2017/06/30,3.5698818181818184
2017/07/31,3.586933333333333
2017/08/31,3.624291304347826
2017/09/30,3.6215863636363634
2017/10/31,3.738182352941177
2017/11/30,3.9198954545454545
2017/12/31,3.894886956521739
2018/01/31,3.937459090909091
2018/02/28,3.8725823529411763
2018/03/31,3.7932045454545458
2018/04/30,3.64893
2018/05/31,3.6637590909090907
2018/06/30,3.6077
2018/07/31,3.5084590909090907
2018/08/31,3.5676565217391305
2018/09/30,3.640080952380952
2018/10/31,3.566088888888889
2018/11/30,3.4298090909090906
2018/12/31,3.296313043478261
2019/01/31,3.1204772727272725
2019/02/28,3.118235294117647
2019/03/31,3.1348714285714285
2019/04/30,3.337368181818182
2019/05/31,3.306371428571429
2019/06/30,3.2352421052631577
2019/07/31,3.168082608695652
2019/08/31,3.046959090909091
2019/09/30,3.0887095238095235
2019/10/31,3.201063157894737
2019/11/30,3.2192523809523808
2019/12/31,3.1717954545454545
2020/01/31,3.0916
2020/02/29,2.830505
2020/03/31,2.6518363636363635
2020/04/30,2.5422818181818183
2020/05/31,2.680978947368421
2020/06/30,2.826952380952381
2020/07/31,2.949230434782609
2020/08/31,2.9860857142857142
2020/09/30,3.112608695652174
2020/10/31,3.192564705882353
2020/11/30,3.254961904761905
2020/12/31,3.242808695652174
2021/01/31,3.14777
2021/02/28,3.241294117647059
2021/03/31,3.2346173913043477
2021/04/30,3.1845954545454545
2021/05/31,3.1161684210526315
2021/06/30,3.0952571428571427
