date,ticker,field,value
2000/1/4,511880.SH,ORIGINALUNIT,
2000/1/5,511880.SH,ORIGINALUNIT,
2000/1/6,511880.SH,ORIGINALUNIT,
2000/1/7,511880.SH,ORIGINALUNIT,
2000/1/10,511880.SH,ORIGINALUNIT,
2000/1/11,511880.SH,ORIGINALUNIT,
2000/1/12,511880.SH,ORIGINALUNIT,
2000/1/13,511880.SH,ORIGINALUNIT,
2000/1/14,511880.SH,ORIGINALUNIT,
2000/1/17,511880.SH,ORIGINALUNIT,
2000/1/18,511880.SH,ORIGINALUNIT,
2000/1/19,511880.SH,ORIGINALUNIT,
2000/1/20,511880.SH,ORIGINALUNIT,
2000/1/21,511880.SH,ORIGINALUNIT,
2000/1/24,511880.SH,ORIGINALUNIT,
2000/1/25,511880.SH,ORIGINALUNIT,
2000/1/26,511880.SH,ORIGINALUNIT,
2000/1/27,511880.SH,ORIGINALUNIT,
2000/1/28,511880.SH,ORIGINALUNIT,
2000/2/14,511880.SH,ORIGINALUNIT,
2000/2/15,511880.SH,ORIGINALUNIT,
2000/2/16,511880.SH,ORIGINALUNIT,
2000/2/17,511880.SH,ORIGINALUNIT,
2000/2/18,511880.SH,ORIGINALUNIT,
2000/2/21,511880.SH,ORIGINALUNIT,
2000/2/22,511880.SH,ORIGINALUNIT,
2000/2/23,511880.SH,ORIGINALUNIT,
2000/2/24,511880.SH,ORIGINALUNIT,
2000/2/25,511880.SH,ORIGINALUNIT,
2000/2/28,511880.SH,ORIGINALUNIT,
2000/2/29,511880.SH,ORIGINALUNIT,
2000/3/1,511880.SH,ORIGINALUNIT,
2000/3/2,511880.SH,ORIGINALUNIT,
2000/3/3,511880.SH,ORIGINALUNIT,
2000/3/6,511880.SH,ORIGINALUNIT,
2000/3/7,511880.SH,ORIGINALUNIT,
2000/3/8,511880.SH,ORIGINALUNIT,
2000/3/9,511880.SH,ORIGINALUNIT,
2000/3/10,511880.SH,ORIGINALUNIT,
2000/3/13,511880.SH,ORIGINALUNIT,
2000/3/14,511880.SH,ORIGINALUNIT,
2000/3/15,511880.SH,ORIGINALUNIT,
2000/3/16,511880.SH,ORIGINALUNIT,
2000/3/17,511880.SH,ORIGINALUNIT,
2000/3/20,511880.SH,ORIGINALUNIT,
2000/3/21,511880.SH,ORIGINALUNIT,
2000/3/22,511880.SH,ORIGINALUNIT,
2000/3/23,511880.SH,ORIGINALUNIT,
2000/3/24,511880.SH,ORIGINALUNIT,
2000/3/27,511880.SH,ORIGINALUNIT,
2000/3/28,511880.SH,ORIGINALUNIT,
2000/3/29,511880.SH,ORIGINALUNIT,
2000/3/30,511880.SH,ORIGINALUNIT,
2000/3/31,511880.SH,ORIGINALUNIT,
2000/4/3,511880.SH,ORIGINALUNIT,
2000/4/4,511880.SH,ORIGINALUNIT,
2000/4/5,511880.SH,ORIGINALUNIT,
2000/4/6,511880.SH,ORIGINALUNIT,
2000/4/7,511880.SH,ORIGINALUNIT,
2000/4/10,511880.SH,ORIGINALUNIT,
2000/4/11,511880.SH,ORIGINALUNIT,
2000/4/12,511880.SH,ORIGINALUNIT,
2000/4/13,511880.SH,ORIGINALUNIT,
2000/4/14,511880.SH,ORIGINALUNIT,
2000/4/17,511880.SH,ORIGINALUNIT,
2000/4/18,511880.SH,ORIGINALUNIT,
2000/4/19,511880.SH,ORIGINALUNIT,
2000/4/20,511880.SH,ORIGINALUNIT,
2000/4/21,511880.SH,ORIGINALUNIT,
2000/4/24,511880.SH,ORIGINALUNIT,
2000/4/25,511880.SH,ORIGINALUNIT,
2000/4/26,511880.SH,ORIGINALUNIT,
2000/4/27,511880.SH,ORIGINALUNIT,
2000/4/28,511880.SH,ORIGINALUNIT,
2000/5/8,511880.SH,ORIGINALUNIT,
2000/5/9,511880.SH,ORIGINALUNIT,
