date,ticker,field,value
2000/1/4,NHCI.NH,CLOSE,
2000/1/5,NHCI.NH,CLOSE,
2000/1/6,NHCI.NH,CLOSE,
2000/1/7,NHCI.NH,CLOSE,
2000/1/10,NHCI.NH,CLOSE,
2000/1/11,NHCI.NH,CLOSE,
2000/1/12,NHCI.NH,CLOSE,
2000/1/13,NHCI.NH,CLOSE,
2000/1/14,NHCI.NH,CLOSE,
2000/1/17,NHCI.NH,CLOSE,
2000/1/18,NHCI.NH,CLOSE,
2000/1/19,NHCI.NH,CLOSE,
2000/1/20,NHCI.NH,CLOSE,
2000/1/21,NHCI.NH,CLOSE,
2000/1/24,NHCI.NH,CLOSE,
2000/1/25,NHCI.NH,CLOSE,
2000/1/26,NHCI.NH,CLOSE,
2000/1/27,NHCI.NH,CLOSE,
2000/1/28,NHCI.NH,CLOSE,
2000/2/14,NHCI.NH,CLOSE,
2000/2/15,NHCI.NH,CLOSE,
2000/2/16,NHCI.NH,CLOSE,
2000/2/17,NHCI.NH,CLOSE,
2000/2/18,NHCI.NH,CLOSE,
2000/2/21,NHCI.NH,CLOSE,
2000/2/22,NHCI.NH,CLOSE,
2000/2/23,NHCI.NH,CLOSE,
2000/2/24,NHCI.NH,CLOSE,
2000/2/25,NHCI.NH,CLOSE,
2000/2/28,NHCI.NH,CLOSE,
2000/2/29,NHCI.NH,CLOSE,
2000/3/1,NHCI.NH,CLOSE,
2000/3/2,NHCI.NH,CLOSE,
2000/3/3,NHCI.NH,CLOSE,
2000/3/6,NHCI.NH,CLOSE,
2000/3/7,NHCI.NH,CLOSE,
2000/3/8,NHCI.NH,CLOSE,
2000/3/9,NHCI.NH,CLOSE,
2000/3/10,NHCI.NH,CLOSE,
2000/3/13,NHCI.NH,CLOSE,
2000/3/14,NHCI.NH,CLOSE,
2000/3/15,NHCI.NH,CLOSE,
2000/3/16,NHCI.NH,CLOSE,
2000/3/17,NHCI.NH,CLOSE,
2000/3/20,NHCI.NH,CLOSE,
2000/3/21,NHCI.NH,CLOSE,
2000/3/22,NHCI.NH,CLOSE,
2000/3/23,NHCI.NH,CLOSE,
2000/3/24,NHCI.NH,CLOSE,
2000/3/27,NHCI.NH,CLOSE,
2000/3/28,NHCI.NH,CLOSE,
2000/3/29,NHCI.NH,CLOSE,
2000/3/30,NHCI.NH,CLOSE,
2000/3/31,NHCI.NH,CLOSE,
2000/4/3,NHCI.NH,CLOSE,
