date,ticker,field,value
2000/1/4,510500.SH,ORIGINALUNIT,
2000/1/5,510500.SH,ORIGINALUNIT,
2000/1/6,510500.SH,ORIGINALUNIT,
2000/1/7,510500.SH,ORIGINALUNIT,
2000/1/10,510500.SH,ORIGINALUNIT,
2000/1/11,510500.SH,ORIGINALUNIT,
2000/1/12,510500.SH,ORIGINALUNIT,
2000/1/13,510500.SH,ORIGINALUNIT,
2000/1/14,510500.SH,ORIGINALUNIT,
2000/1/17,510500.SH,ORIGINALUNIT,
2000/1/18,510500.SH,ORIGINALUNIT,
2000/1/19,510500.SH,ORIGINALUNIT,
2000/1/20,510500.SH,ORIGINALUNIT,
2000/1/21,510500.SH,ORIGINALUNIT,
2000/1/24,510500.SH,ORIGINALUNIT,
2000/1/25,510500.SH,ORIGINALUNIT,
2000/1/26,510500.SH,ORIGINALUNIT,
2000/1/27,510500.SH,ORIGINALUNIT,
2000/1/28,510500.SH,ORIGINALUNIT,
2000/2/14,510500.SH,ORIGINALUNIT,
2000/2/15,510500.SH,ORIGINALUNIT,
2000/2/16,510500.SH,ORIGINALUNIT,
2000/2/17,510500.SH,ORIGINALUNIT,
2000/2/18,510500.SH,ORIGINALUNIT,
2000/2/21,510500.SH,ORIGINALUNIT,
2000/2/22,510500.SH,ORIGINALUNIT,
2000/2/23,510500.SH,ORIGINALUNIT,
2000/2/24,510500.SH,ORIGINALUNIT,
2000/2/25,510500.SH,ORIGINALUNIT,
2000/2/28,510500.SH,ORIGINALUNIT,
2000/2/29,510500.SH,ORIGINALUNIT,
2000/3/1,510500.SH,ORIGINALUNIT,
2000/3/2,510500.SH,ORIGINALUNIT,
2000/3/3,510500.SH,ORIGINALUNIT,
2000/3/6,510500.SH,ORIGINALUNIT,
2000/3/7,510500.SH,ORIGINALUNIT,
2000/3/8,510500.SH,ORIGINALUNIT,
2000/3/9,510500.SH,ORIGINALUNIT,
2000/3/10,510500.SH,ORIGINALUNIT,
2000/3/13,510500.SH,ORIGINALUNIT,
2000/3/14,510500.SH,ORIGINALUNIT,
2000/3/15,510500.SH,ORIGINALUNIT,
2000/3/16,510500.SH,ORIGINALUNIT,
2000/3/17,510500.SH,ORIGINALUNIT,
2000/3/20,510500.SH,ORIGINALUNIT,
2000/3/21,510500.SH,ORIGINALUNIT,
2000/3/22,510500.SH,ORIGINALUNIT,
2000/3/23,510500.SH,ORIGINALUNIT,
2000/3/24,510500.SH,ORIGINALUNIT,
2000/3/27,510500.SH,ORIGINALUNIT,
2000/3/28,510500.SH,ORIGINALUNIT,
2000/3/29,510500.SH,ORIGINALUNIT,
2000/3/30,510500.SH,ORIGINALUNIT,
2000/3/31,510500.SH,ORIGINALUNIT,
2000/4/3,510500.SH,ORIGINALUNIT,
2000/4/4,510500.SH,ORIGINALUNIT,
2000/4/5,510500.SH,ORIGINALUNIT,
2000/4/6,510500.SH,ORIGINALUNIT,
2000/4/7,510500.SH,ORIGINALUNIT,
2000/4/10,510500.SH,ORIGINALUNIT,
2000/4/11,510500.SH,ORIGINALUNIT,
2000/4/12,510500.SH,ORIGINALUNIT,
2000/4/13,510500.SH,ORIGINALUNIT,
2000/4/14,510500.SH,ORIGINALUNIT,
2000/4/17,510500.SH,ORIGINALUNIT,
2000/4/18,510500.SH,ORIGINALUNIT,
2000/4/19,510500.SH,ORIGINALUNIT,
2000/4/20,510500.SH,ORIGINALUNIT,
2000/4/21,510500.SH,ORIGINALUNIT,
2000/4/24,510500.SH,ORIGINALUNIT,
2000/4/25,510500.SH,ORIGINALUNIT,
2000/4/26,510500.SH,ORIGINALUNIT,
2000/4/27,510500.SH,ORIGINALUNIT,
2000/4/28,510500.SH,ORIGINALUNIT,
2000/5/8,510500.SH,ORIGINALUNIT,
2000/5/9,510500.SH,ORIGINALUNIT,
2000/5/10,510500.SH,ORIGINALUNIT,
2000/5/11,510500.SH,ORIGINALUNIT,
2000/5/12,510500.SH,ORIGINALUNIT,
2000/5/15,510500.SH,ORIGINALUNIT,
2000/5/16,510500.SH,ORIGINALUNIT,
2000/5/17,510500.SH,ORIGINALUNIT,
2000/5/18,510500.SH,ORIGINALUNIT,
2000/5/19,510500.SH,ORIGINALUNIT,
2000/5/22,510500.SH,ORIGINALUNIT,
2000/5/23,510500.SH,ORIGINALUNIT,
2000/5/24,510500.SH,ORIGINALUNIT,
2000/5/25,510500.SH,ORIGINALUNIT,
2000/5/26,510500.SH,ORIGINALUNIT,
2000/5/29,510500.SH,ORIGINALUNIT,
2000/5/30,510500.SH,ORIGINALUNIT,
2000/5/31,510500.SH,ORIGINALUNIT,
2000/6/1,510500.SH,ORIGINALUNIT,
2000/6/2,510500.SH,ORIGINALUNIT,
2000/6/5,510500.SH,ORIGINALUNIT,
2000/6/6,510500.SH,ORIGINALUNIT,
2000/6/7,510500.SH,ORIGINALUNIT,
2000/6/8,510500.SH,ORIGINALUNIT,
2000/6/9,510500.SH,ORIGINALUNIT,
2000/6/12,510500.SH,ORIGINALUNIT,
2000/6/13,510500.SH,ORIGINALUNIT,
2000/6/14,510500.SH,ORIGINALUNIT,
2000/6/15,510500.SH,ORIGINALUNIT,
2000/6/16,510500.SH,ORIGINALUNIT,
2000/6/19,510500.SH,ORIGINALUNIT,
2000/6/20,510500.SH,ORIGINALUNIT,
2000/6/21,510500.SH,ORIGINALUNIT,
2000/6/22,510500.SH,ORIGINALUNIT,
2000/6/23,510500.SH,ORIGINALUNIT,
2000/6/26,510500.SH,ORIGINALUNIT,
2000/6/27,510500.SH,ORIGINALUNIT,
2000/6/28,510500.SH,ORIGINALUNIT,
2000/6/29,510500.SH,ORIGINALUNIT,
2000/6/30,510500.SH,ORIGINALUNIT,
2000/7/3,510500.SH,ORIGINALUNIT,
2000/7/4,510500.SH,ORIGINALUNIT,
2000/7/5,510500.SH,ORIGINALUNIT,
2000/7/6,510500.SH,ORIGINALUNIT,
