来源,产品名称,备案编码,产品全称,备案编号,基金管理人,投资顾问,成立日期,备案日期,托管券商,基金经理,开放日,是否可临开,申购费,追加限制,赎回费,预警线,封闭期,平仓线,管理费率,管理费说明,托管费,行政外包服务费,业绩报酬说明,管理规模,登记编号
团队跟踪,嘉鸿璞真1号B类,NY759B,嘉鸿璞真1号私募证券投资基金B类份额,NY759B,上海嘉鸿,,2021-02-08,2021-02-18,兴业证券股份有限公司,,每周一 、每周二,可临开赎回,0%,1万元起,持有少于90天 1%，90天以上不计提,0.92,无,0.9,0.01,,0.025％,0.025％,"20250506之前：对单笔投资超过上次计提日最高基金份额累计净值部分按基金份额对应的的比例30%进行计提；
20250506之后：对B类，持有期间年化收益大于8%时，整体计提50%，但计提后持有期间年化收益率不低于8%；
分类标准：A类（管理人及管理人内部员工及管理人发行的产品），B类（除A类以外的其他投资者）。",50-100亿元,P1068812
团队跟踪,正圆川流私募证券投资基金A,NZ205A,正圆川流私募证券投资基金A,NZ205A,广东正圆,,2021-05-11,,国泰君安证券股份有限公司,,每月1、15号,否,0%,,持有期小于180 天，不得赎回；持有期大等于180天，免收。,,无,,0.01,,0.025%,0.025%,A类基金份额提取16%业绩报酬,20-50亿元,P1028537
团队跟踪,百奕小天鹅1号B类,NZ338B,百奕小天鹅1号私募证券投资基金B类份额,NZ338B,上海百奕投资,,2021-02-26,2021-03-03,国信证券股份有限公司,,,否,,,,,,,0,,,,,0-5亿元,P1014097
团队跟踪,全天候家族传承一号B类,NZ584B,全天候家族传承一号私募证券投资基金B类份额,NZ584B,珠海寰宸,,2021-02-22,2021-02-26,海通证券股份有限公司,,,否,,,,,,,0,,,,,20-50亿元,P1072409
团队跟踪,和聚彤辉平台私募证券投资基金A类份额,NZ585A,和聚彤辉平台私募证券投资基金A类份额,NZ585A,北京和聚,,2021-03-08,2021-03-16,招商证券股份有限公司,,,否,,,,,,,0,,,,,10-20亿元,P1000273
团队跟踪,量派对冲17号私募证券投资基金A类份额,NZ614A,量派对冲17号私募证券投资基金A类份额,NZ614A,上海量派投资,,2022-02-21,,招商证券股份有限公司,,每个交易日,否,1%,1万元起,持有期小于6个月，赎回费率为1%；持有期大等于6个月，赎回费率为0%,0.92,无,0.9,0.01,1%,0.025%,0.025%,采用单客户单笔份额高水位法，收取18%,100亿元以上,P1071253
团队跟踪,乾象中证500指数增强1号B类,QA948B,乾象中证500指数增强1号私募证券投资基金B类,QA948B,北京乾象,,2021-03-08,,中信证券股份有限公司,,每自然月第10个自然日为开放日。如该对应日为非工作日，则开放日为该日后的第一个工作日。,可临开申购,B类份额：0,每次追加申购的最低金额为10万元人民币。,0,0.8,成立后180天（已结束）。,0.75,0.02,B类份额：0.5%/年,0.025%/年,0.025%/年,"B类份额：单人单笔高水位法，针对收益0%以上的部分计提10%业绩报酬
本基金业绩报酬计提日为：封闭期过后，每年1月及7月的最后一个交易日，基金份额持有人实际赎回基金份额时（包含全部赎回，部分赎回）、基金终止日。",100亿元以上,P1071383
团队跟踪,杉阳云杉转债2号私募证券投资基金A类,QB445A,杉阳云杉转债2号私募证券投资基金A类,QB445A,上海杉阳,,2021-03-08,,招商证券股份有限公司,,每周周二,可临开赎回,0%,,持有期小于6个月，赎回费率为2%；持有期大等于6个月，赎回费率为0%。,0.85,,0.8,0.01,,,,A类对超过0%的收益部分收取20%的业绩报酬,0-5亿元,P1070833
团队跟踪,远澜红枫私享12号私募证券投资基金A类份额,QB632A,远澜红枫私享12号私募证券投资基金A类份额,QB632A,上海远澜,上海远澜私募,2021-04-01,,国泰君安证券股份有限公司,,每自然月第10个自然日为开放日。如该对应日为非工作日，则开放日为该日后的第一个工作日。,可临开申购,B类份额：0,每次追加申购的最低金额为10万元人民币。,0,0.8,成立后180天（已结束）。,0.75,0.015,B类份额：0.5%/年,0.025%/年,0.025%/年,"B类份额：单人单笔高水位法，针对收益0%以上的部分计提10%业绩报酬
本基金业绩报酬计提日为：封闭期过后，每年1月及7月的最后一个交易日，基金份额持有人实际赎回基金份额时（包含全部赎回，部分赎回）、基金终止日。",100亿元以上,P1018484
团队跟踪,量客长阳三号私募证券投资基金B类,QD361B,量客长阳三号私募证券投资基金B类,QD361B,上海量客,,2021-03-11,,招商证券股份有限公司,,每周周一、周三,可临开赎回,0%,,持有期小于6个月，赎回费率为2%；持有期大等于6个月，赎回费率为0%,0.97,无,0.95,0.01,,0.02%,0.02%,对超过0%的收益部分提取30%的业绩报酬,20-50亿元,P1000568
团队跟踪,和谐汇一远致2号私募证券投资基金C类份额,QD791C,和谐汇一远致2号私募证券投资基金C类份额,QD791C,上海和谐汇一资管,,2021-03-30,2021-04-02,中信建投证券股份有限公司,,,否,,,,,,,0,,,,,100亿元以上,P1071212
团队跟踪,嘉鸿璞真5号B类,QD904B,嘉鸿璞真5号私募证券投资基金B类份额,QD904B,上海嘉鸿,,2021-03-12,2021-03-22,兴业证券股份有限公司,,"每周二,每周五开放申购和赎回",可临开赎回,0%,追加认购金额（含认购费）不少于 1 万元人民币,0天-90天（含），1% ；90天以上，0%，归管理人/募集机构,0.92,-,0.9,0.01,1%,0.01%,0.01%,若B类基金单位份额年化收益率R小于或等于8%时，管理人不提取业绩报酬；若B类基金单位份额年化收益率R大于8%，管理人对全部正收益提取50%作为业绩报酬，实际提取值以期间B类单笔份额对应年化收益率8%以上盈利部分为限（业绩报酬计提后该笔份额年化收益不低于8%）,50-100亿元,P1068812
团队跟踪,智领梓麒指数增强2号私募证券投资基金B类份额,QE057B,智领梓麒指数增强2号私募证券投资基金B类份额,QE057B,福州智领三联,,2021-03-17,2021-03-22,中信证券股份有限公司,,每个交易日,否,0%,,0%,,,,0.01,,0.025%,0.025%,实际收益率计提30%,20-50亿元,P1033867
团队跟踪,玄元元丰21号私募证券投资基金A类份额,QE472A,玄元元丰21号私募证券投资基金A类份额,QE472A,广东玄元,,2021-03-18,2021-03-19,招商证券股份有限公司,,每周周一，周三和周五（如遇非节假日则不开放）及每自然季度的最后一个工作日,否,,,0%,,,,0,1.5%,,,业绩报酬：20.0%（绝对收益）,100亿元以上,P1029168
团队跟踪,南土资产诚品十九号私募证券基金A,QE604A,南土资产诚品十九号私募证券基金A,QE604A,上海南土资管,,2021-04-09,,国泰君安证券股份有限公司,,每周周五,可临开赎回,0%,,0%,,,0.7,0.01,,0.025%,0.025%,15%,50-100亿元,P1026245
团队跟踪,博孚利尊享22号FOF私募证券投资基金A类份额,QE798A,博孚利尊享22号FOF私募证券投资基金A类份额,QE798A,厦门博孚利资管,,2021-03-18,2021-03-22,兴业证券股份有限公司,,每个交易日,否,0%,不少于1万元,0%,0.9,无,0.85,0.001,,0.015%,0.015%,不计提业绩报酬,50-100亿元,P1023120
团队跟踪,博孚利尊享22号FOF私募证券投资基金B类份额,QE798B,博孚利尊享22号FOF私募证券投资基金B类份额,QE798B,厦门博孚利资管,,2021-05-17,0000-00-00,兴业证券股份有限公司,,每个交易日,否,0%,不少于1万元,0%,0.9,无,0.85,0.005,,0.015%,0.015%,大于8%的部分提取20%作为业绩报酬,50-100亿元,P1023120
团队跟踪,汇鸿汇智共享五号私募证券投资基金A类份额,QF946A,汇鸿汇智共享五号私募证券投资基金A类份额,QF946A,江苏苏豪汇升,,2021-04-13,2021-04-14,华泰证券股份有限公司,,,否,,,,,,,0,,,,,20-50亿元,P1005918
团队跟踪,润洲春华七号A类,QG083A,润洲春华七号私募证券投资基金A类份额,QG083A,杭州润洲,,2021-04-30,,招商证券股份有限公司,,每月25号,否,0%,,持有期小于12个月，赎回费率为1%；持有期大等于12个月，免收取,0.85,无,0.8,0.015,,0.04%,0.04%,对收益超过0%的收益部分计提20%,50-100亿元,P1006059
团队跟踪,珠池长安尊享1期私募证券投资基金A类份额,QG419A,珠池长安尊享1期私募证券投资基金A类份额,QG419A,上海珠池资管,,2021-03-30,2021-03-30,招商证券股份有限公司,,,否,,,,,无,,0,,,,,50-100亿元,P1014451
团队跟踪,诚奇睿盈对冲2号私募证券投资基金A类份额,QH717A,诚奇睿盈对冲2号私募证券投资基金A类份额,QH717A,上海诚奇,,2021-04-12,2021-04-12,招商证券股份有限公司,,每周周四、周五,可临开赎回,0%,1万元起,0%,0.9,,0.85,0.01,,0.05%,0.05%,业绩报酬的计算采取“单客户单笔份额高水位法”：业绩报酬提取时点分为固定时点提取（是在每个自然年度6 月10 日和12 月10 日(遇节假日则顺延至下一个工作日)。）、赎回时提取和合同终止时提取。计提25%。,100亿元以上,P1001430
团队跟踪,守朴进取3号A类,QJ067A,守朴进取3号私募证券投资基金A类,QJ067A,上海守朴资管,,2022-10-12,,国信证券股份有限公司,,每日可申赎,可临开申购和可临开赎回,0%,不低于1万元,天|%|0|2|180|1|365|0,,无,,0.01,1.00%,0.015%,0.015%,0|0|0.04|0.25,5-10亿元,P1068966
团队跟踪,守朴进取3号私募证券投资基金B类,QJ067B,守朴进取3号私募证券投资基金B类,QJ067B,上海守朴资管,,2022-10-12,,国信证券股份有限公司,,,否,,,,,,,0,,,,,5-10亿元,P1068966
团队跟踪,鸣熙金选套利1号私募证券投资基金-B类份额,QJ640B,鸣熙金选套利1号私募证券投资基金-B类份额,QJ640B,鸣熙资本,,2021-06-02,,招商证券股份有限公司,,,否,,,,,,,0,,,,,100亿元以上,P1033450
团队跟踪,量派中证1000增强12号A类,QJ816A,量派中证1000增强12号私募证券投资基金A类份额,QJ816A,上海量派投资,,2021-04-13,,招商证券股份有限公司,,每个交易日。,可临开赎回,1%,,D＜180天：1%；D≥180天：0%,,无,,0.01,1.0%,0.025%,0.025%,以中证1000为业绩报酬起点，业绩报酬为：20.0%,100亿元以上,P1071253
团队跟踪,量派中证1000增强12号C类,QJ816C,量派中证1000增强12号私募证券投资基金C类份额,QJ816C,上海量派投资,,2021-04-13,2021-04-20,招商证券股份有限公司,,每个交易日,可临开赎回,,,,,无,,0,,0.025%,0.025%,,100亿元以上,P1071253
团队跟踪,德粤天成至臻量化CTA进取1号私募证券投资基金A类份额,QJ884A,德粤天成至臻量化CTA进取1号私募证券投资基金A类份额,QJ884A,广东德粤赑鑫,,2021-05-21,2021-05-26,招商证券股份有限公司,,每自然月第10个自然日为开放日。如该对应日为非工作日，则开放日为该日后的第一个工作日。,可临开申购,B类份额：0,每次追加申购的最低金额为10万元人民币。,0,0.8,成立后180天（已结束）。,0.75,0.01,B类份额：0.5%/年,0.025%/年,0.025%/年,"B类份额：单人单笔高水位法，针对收益0%以上的部分计提10%业绩报酬
本基金业绩报酬计提日为：封闭期过后，每年1月及7月的最后一个交易日，基金份额持有人实际赎回基金份额时（包含全部赎回，部分赎回）、基金终止日。",0-5亿元,P1024911
团队跟踪,量游林湖CTA1号B类,QK722B,量游林湖CTA1号私募证券投资基金B类份额,QK722B,上海量游资管,,2021-06-03,2021-06-08,中信证券股份有限公司,,,否,,,,,,,0,,,,,5-10亿元,P1005511
团队跟踪,金时欣隆一号私募证券投资基金B类份额,QK913B,金时欣隆一号私募证券投资基金B类份额,QK913B,厦门金时资管,,2021-04-19,2021-04-23,兴业证券股份有限公司,,每周周三,否,1%,,1%,0.8,,0.7,0.01,,0.03％,0.03％,"对单笔投资超过上次计提日最高基金份额累计净值部分按B类基金份额对应的的比例20%进行计提。
计提基准日：持有人赎回申请日、基金清算日、分红权益登记日。",5-10亿元,P1065492
团队跟踪,量道商品套利6号私募证券投资基金A类份额,QL546A,量道商品套利6号私募证券投资基金A类份额,QL546A,深圳量道投资,,2021-04-23,2021-04-22,兴业证券股份有限公司,,每个交易日,否,1%,1 万元的整数倍,持有期小于360天，赎回费率为1% ；持有期大等于360天，赎回费率为0%,0.6,无,0.5,0.015,,0.025％/年,0.025％/年,"计提方式：年化收益率法
计提时点：投资者赎回日、分红权益登记日、基金清算日、固定结算日（每年最后一个交易日）
计提比例：即若A类基金单位份额年化收益率R小于或等于0%时，管理人不提取业绩报
酬；若A类基金单位份额年化收益率R大于0%并小于等于50%，管理人对大于0%并小于等于50%的部分提取20%作为
业绩报酬；若A类基金单位份额年化收益率R大于50%，管理人对大于50%的部分提取30%作为业绩报酬。",100亿元以上,P1016658
团队跟踪,量道商品套利6号B类,QL546B,量道商品套利6号私募证券投资基金B类份额,QL546B,深圳量道投资,,2021-04-23,2021-04-22,兴业证券股份有限公司,,每个交易日,否,0%,1万元起,0%（可金额赎回）,0.75,12个月,0.7,0,,,0.025％,不收取业绩报酬,100亿元以上,P1016658
团队跟踪,博孚利尊享21号FOF私募证券投资基金A类份额,QL931A,博孚利尊享21号FOF私募证券投资基金A类份额,QL931A,厦门博孚利资管,,2021-04-27,2021-04-29,中信证券股份有限公司,,每周周五,否,0%,1 万元的整数倍,0%,0.97,无,0.9,0.006,,0.015%,0.015%,对期间年化收益率超过0%以上且在6%以下（含）的部分按照10%；对期间年化收益率在6%以上的部分按照A类46%,50-100亿元,P1023120
团队跟踪,博孚利尊享21号FOF私募证券投资基金B类份额,QL931B,博孚利尊享21号FOF私募证券投资基金B类份额,QL931B,厦门博孚利资管,,2021-04-27,2021-04-29,中信证券股份有限公司,,每周周五,否,0%,1 万元的整数倍,0%,0.97,无,0.9,0,,0.015%,0.015%,对期间年化收益率超过0%以上且在6%以下（含）的部分按照0%收取；对期间年化收益率在6%以上的部分按照10%收取,50-100亿元,P1023120
团队跟踪,忤合福牛私募证券投资基金A类份额,QM058A,忤合福牛私募证券投资基金A类份额,QM058A,珠海忤合资管,,2021-04-23,2021-04-28,兴业证券股份有限公司,,,否,,,,,,,0,,,,,0-5亿元,P1066960
团队跟踪,忤合福牛B类,QM058B,忤合福牛私募证券投资基金B类份额,QM058B,珠海忤合资管,,2021-04-23,,兴业证券股份有限公司,,每周周五,可临开赎回,0%,不少于1万元,0%,,无,,0.012,本基金A类基金份额的管理费按A类基金资产净值的0.2％年费率计提。 本基金B类基金份额的管理费按B类基金资产净值的1.2％年费率计提。,0.04％,0.04％,20%,0-5亿元,P1066960
团队跟踪,正松云睿全球私募证券投资基金A类份额,QM783A,正松云睿全球私募证券投资基金A类份额,QM783A,上海正松投资,,2021-05-25,,国泰君安证券股份有限公司,,每周周五,否,0%,,持有期小于360天，赎回费率为2%；持有期大等于365天，赎回费率为0%,,无,,0.01,,0.025%,0.025%,"A类份额：16%。
业绩基准日：投资者赎回日、每年12月20日、分红权益登记日和基金清算日",0-5亿元,P1070016
团队跟踪,领容希麦私募证券投资基金B类份额,QM875B,领容希麦私募证券投资基金B类份额,QM875B,上海领容投资,,2021-05-18,2021-05-21,中信建投证券股份有限公司,,每个交易日,否,1%,1万元起,持有期小于365天，赎回费率为2%；持有期大等于365天，赎回费率为 0%,0.8,无,0.7,0.01,1%,0.02%,0.02%,年化收益率≤0%，0%；0%＜年化收益率≤50%，20%；50%＜年化收益率，40%,10-20亿元,P1071654
团队跟踪,慎知资产慎知8号金选私募证券投资基金B类份额,QM960B,慎知资产慎知8号金选私募证券投资基金B类份额,QM960B,上海慎知资管,,2021-06-23,2021-06-30,国泰君安证券股份有限公司,,,否,,,,,,,0,,,,,100亿元以上,P1071304
团队跟踪,鸣熙天玑中证500指数增强3号私募证券投资基金A类份额,QQ471A,鸣熙天玑中证500指数增强3号私募证券投资基金A类份额,QQ471A,鸣熙资本,,2021-05-27,,招商证券股份有限公司,,每个工作日,否,0%,,0%,,,0.6,0.01,,0.025%,0.025%,20%,100亿元以上,P1033450
团队跟踪,茂源量化长岛交易1号私募证券投资基金A类份额,QR884A,茂源量化长岛交易1号私募证券投资基金A类份额,QR884A,海南茂源量化,,2021-06-08,,海通证券股份有限公司,,申购开放日为每月15 日以及每周周五（当月15 日为周五的，则合并为一个开放日）；赎回开放日为每个月最后一个交易日,可临开赎回,0%,,持有期小等于90 天，赎回费率1%；持有期大于90天，免收取,0.9,无,0.88,0.015,,0.025%,0.025%,20%,100亿元以上,P1061840
团队跟踪,展弘CTA运作1号私募证券投资基金B类,QS592B,展弘CTA运作1号私募证券投资基金B类,QS592B,上海展弘投资,,2021-06-01,2021-06-04,华泰证券股份有限公司,,每个工作日,否,0%,,持有期小于180天，赎回费率为1%；持有期大等于180天，免收取。,,无,,0.01,,0.02%,0.02%,20%,100亿元以上,P1015638
团队跟踪,弘量弘盈量化CTA私募证券投资基金B类份额,QS957B,弘量弘盈量化CTA私募证券投资基金B类份额,QS957B,深圳弘量投资,,2021-06-16,,国泰君安证券股份有限公司,,每个交易日,否,1.5%,,持有期小于180天，赎回费率为1%；持有期大等于180天，赎回费率为0%,,,,0.01,,0.03%,0.03%,20%,0-5亿元,P1071523
团队跟踪,智信融科CTA七号A类,QT524A,智信融科CTA七号私募证券投资基金A类份额,QT524A,北京智信融科投资,,2021-06-08,2021-06-16,兴业证券股份有限公司,,每一个工作日,可临开赎回,0%,每次追加认购金额（不含认购费）不少于 1 万元人民币,持有期小于90天，赎回费率1%；持有期大等于90天，赎回费率0%,0.85,无,0.8,0.01,,0.015%,0.015%,"20%，
业绩报酬基准日为投资者赎回申请日、基金清算日、财产分配 权益登记日、固定结算日（每自然年度最后一个交易日）",10-20亿元,P1034183
团队跟踪,量道CTA精选18号私募证券投资基金A类,QU658A,量道CTA精选18号私募证券投资基金A类,QU658A,深圳量道投资,,2022-02-25,0000-00-00,国泰君安证券股份有限公司,,每个交易日,否,1%,1 万元的整数倍,持有期小于180天，赎回费率为2%；持有期大等于180天及小于365天，赎回费率为1%；持有期大等于365天，赎回费率为0%。,0.7,无,0.65,0.015,,0.025%/年,0.025%/年,"1、计提方式：单个投资者单笔高水位净值法计提。
2、计提时点：投资者投资者赎回日、分红权益登记日、基金清算日、 固定计提日 （每年最后一个交易日）。
3、计提比例：20%",100亿元以上,P1016658
团队跟踪,量道CTA精选18号私募证券投资基金B类,QU658B,量道CTA精选18号私募证券投资基金B类,QU658B,深圳量道投资,,2022-03-04,0000-00-00,国泰君安证券股份有限公司,,每个交易日,否,0%,1万元起,0%（可金额赎回）,0.7,无,0.65,0,,0.025%,0.025%,不计提业绩报酬,100亿元以上,P1016658
团队跟踪,量道指数增强3号私募证券投资基金A类,QU711A,量道指数增强3号私募证券投资基金A类,QU711A,深圳量道投资,,2021-06-24,0000-00-00,国信证券股份有限公司,,每个交易日,可临开赎回,1%,1万元起,持有期小于180天，赎回费率为1%；持有期大等于180天，赎回费率为0%,,无,,0.015,,,0.025%,"20%。
计提基准日：赎回日、基金终止日、分红日、固定结算日（每年最后一个交易日）",100亿元以上,P1016658
团队跟踪,量道指数增强3号私募证券投资基金B类,QU711B,量道指数增强3号私募证券投资基金B类,QU711B,深圳量道投资,,2021-06-24,0000-00-00,国信证券股份有限公司,,每个交易日,否,1%,1万元起,持有期小于180天，赎回费率为1%；持有期大等于180天，赎回费率为0%,,无,,0,,,0.025%,不计提业绩报酬,100亿元以上,P1016658
团队跟踪,福克斯-准星宙斯盾壹号私募证券投资基金A类,QV204A,福克斯-准星宙斯盾壹号私募证券投资基金A类,QV204A,深圳福克斯投资,,2021-06-21,2021-06-28,中信证券股份有限公司,,每个工作日,否,0%,,0%,0.85,无,0.8,0.01,,0.04%,0.04%,A 类份额业绩报酬的提取比例（Y）为【20】%,10-20亿元,P1065770
团队跟踪,润洲跬步二号私募证券投资基金A类份额,QV839A,润洲跬步二号私募证券投资基金A类份额,QV839A,杭州润洲,,2021-07-07,,招商证券股份有限公司,,每自然月第10个自然日为开放日。如该对应日为非工作日，则开放日为该日后的第一个工作日。,可临开申购,B类份额：0,每次追加申购的最低金额为10万元人民币。,0,0.8,成立后180天（已结束）。,0.75,0.015,B类份额：0.5%/年,0.025%/年,0.025%/年,"B类份额：单人单笔高水位法，针对收益0%以上的部分计提10%业绩报酬
本基金业绩报酬计提日为：封闭期过后，每年1月及7月的最后一个交易日，基金份额持有人实际赎回基金份额时（包含全部赎回，部分赎回）、基金终止日。",50-100亿元,P1006059
团队跟踪,博孚利多策略八号私募证券投资基金A类份额,QV965A,博孚利多策略八号私募证券投资基金A类份额,QV965A,厦门博孚利资管,,2021-06-17,0000-00-00,兴业证劵股份有限公司,,每自然月第10个自然日为开放日。如该对应日为非工作日，则开放日为该日后的第一个工作日。,可临开申购,B类份额：0,每次追加申购的最低金额为10万元人民币。,0,0.8,成立后180天（已结束）。,0.75,0.01,B类份额：0.5%/年,0.025%/年,0.025%/年,"B类份额：单人单笔高水位法，针对收益0%以上的部分计提10%业绩报酬
本基金业绩报酬计提日为：封闭期过后，每年1月及7月的最后一个交易日，基金份额持有人实际赎回基金份额时（包含全部赎回，部分赎回）、基金终止日。",50-100亿元,P1023120
团队跟踪,睿郡节节高12号B类,QW279B,睿郡节节高12号私募证券投资基金B类,QW279B,上海睿郡资管,,2021-06-21,,兴业证券股份有限公司,,每周周三,否,0%,1万元起,0%,0.8,无,,0.006,,0.04%,0.04%,采用“年化收益率”法计提，对单笔投资年化收益率 6%以上的部分按 15%比例计提，若 B 类基金单位份额年化收益率 R 小于或等于 6%时，管理人不提取业绩报酬；若 B 类基金单位份额年化收益率 R 大于 6%，管理人对大于6%的部分提取 15%作为业绩报酬。,100亿元以上,P1014376
团队跟踪,展弘稳泰套利运作2号私募证券投资基金B类,QW386B,展弘稳泰套利运作2号私募证券投资基金B类,QW386B,上海展弘投资,,2021-06-25,2021-06-30,华泰证券股份有限公司,,申购：每个工作日 赎回：每个工作日,可临开申购和可临开赎回,0%,不低于1万元,0%,,无,,0.01,B类份额基金资产净值1%的年费率计提。,0.02%,0.02%,"整体收益收取：
基金不对 A 类份额提取业绩报酬。B份额按照单人单笔高水位法，针对收益0%以上的部分计提20%业绩报酬。",100亿元以上,P1015638
团队跟踪,禅龙聚配专享1号A类,QY444A,禅龙聚配专享1号私募证券投资基金A类份额,QY444A,上海禅龙资管,,2021-10-28,2021-11-01,国泰君安证券股份有限公司,,,否,,,,,,,0,,,,,50-100亿元,P1015508
团队跟踪,锐天核心二号私募证券投资基金B类份额,QZ902B,锐天核心二号私募证券投资基金B类份额,QZ902B,上海锐天投资,,2021-07-08,2021-07-12,中信建投证券股份有限公司,,每自然月第10个自然日为开放日。如该对应日为非工作日，则开放日为该日后的第一个工作日。,可临开申购和可临开赎回,,每次追加申购的最低金额为10万元人民币。,,0.8,成立后180天（已结束）。,0.75,0,,0.025%/年,0.025%/年,,100亿元以上,P1024169
团队跟踪,明汯CTA白羊二号私募证券基金B类份额,R0001B,明汯CTA白羊二号私募证券基金B类份额,R0001B,上海明汯投资,,2016-12-09,,国金证券股份有限公司,,每自然月第10个自然日为开放日。如该对应日为非工作日，则开放日为该日后的第一个工作日。,可临开申购,B类份额：0,每次追加申购的最低金额为10万元人民币。,0,0.8,成立后180天（已结束）。,0.75,0.02,B类份额：0.5%/年,0.025%/年,0.025%/年,"B类份额：单人单笔高水位法，针对收益0%以上的部分计提10%业绩报酬
本基金业绩报酬计提日为：封闭期过后，每年1月及7月的最后一个交易日，基金份额持有人实际赎回基金份额时（包含全部赎回，部分赎回）、基金终止日。",100亿元以上,P1004150
团队跟踪,明湾稳益投资壁虎系列A类,R6925A,明湾稳益投资壁虎系列私募基金A类份额,R6925A,上海明湾资管,,2017-03-01,2017-03-09,招商证券股份有限公司,,每周一、三、五,否,0%,,3%,0.98,,0.97,0.006,,0.025%,0.025%,当R ≤ 6%时，则不提取业绩报酬；当 R > 6%/(1 − 60%)时，对整体收益部分提取60 %作为业绩报酬，计提后该笔份额的当期年化收益不低于 6%。,10-20亿元,P1001040
团队跟踪,申万-科普基金单一资产管理计划,S00875,申万-科普基金单一资产管理计划,S00875,,,2013-03-28,,,,,否,,,,,,,0,,,,,,
团队跟踪,博孚利玄悟1号私募证券投资基金,S09355,博孚利玄悟1号私募证券投资基金,S09355,厦门博孚利资管,,2023-06-28,2023-07-04,国泰君安证券股份有限公司,,每周周三,否,0%,,"0%（持有期低于90天的基金份额,经管理人同意后方可赎回）",,无,,0.005,,无,无,本基金浮动投资顾问费计提基准为年化 6%，对超出浮动投资顾问费计提基准的持有期差额收益按 10%比例进行计提。,50-100亿元,P1023120
团队跟踪,卿云辰星壹期私募证券投资基金,S09524,卿云辰星壹期私募证券投资基金,S09524,卿云基金,,2023-06-28,2023-07-04,中信证券股份有限公司,,,否,,,,,,,0,,,,,0-5亿元,P1074414
团队跟踪,融昊青松CTA套利一号私募证券投资基金,S09735,融昊青松CTA套利一号私募证券投资基金,S09735,上海融昊投资,,2023-05-18,2023-05-23,招商证券股份有限公司,夏宇、卢松,每个自然月5号、6号、20号和21号,否,0%,1万元起,持有期小于1个月，赎回费率为1%,0.88,,0.85,0.01,,0.005%,0.005%,B类份额业绩报酬提取比例为20%（A类为15%）。,10-20亿元,P1007411
团队跟踪,前海久盈繁星三号私募证券投资基金,S09768,前海久盈繁星三号私募证券投资基金,S09768,深圳前海久盈投资,,2024-03-29,2024-04-15,国泰君安证券股份有限公司,,,否,,,,,,,0,,,,,20-50亿元,P1065235
团队跟踪,托特春晓A500指数增强3号私募证券投资基金,S09980,托特春晓A500指数增强3号私募证券投资基金,S09980,三亚托特,,2023-07-13,2023-07-21,国泰君安证券股份有限公司,,,否,,,,,,,0,,,,,100亿元以上,P1073258
团队跟踪,黑森九号私募证券投资基金,S20713,黑森九号私募证券投资基金,S20713,北京黑森投资,,2014-08-23,2014-08-28,中信银行股份有限公司,,,否,,,,,,,0,,,,,5-10亿元,P1002933
团队跟踪,信璞投资－价值精英1号基金,S20769,信璞投资－价值精英1号基金,S20769,上海信璞,,2014-08-07,2014-08-11,招商证券股份有限公司,归江,每季度最后一个工作日,否,,,A类份额：0% 。B类份额、 C类份额：持有期大于1年且小等于2年，赎回费率为2%；持有期大于2年且小等于3年，赎回费率为1%；持有期大于3年，赎回费率为0%,,1年,,0.009,A类份额：0.3% ，B类份额：0.3%， C类份额：0.9%,0.1%,0.1%,A类份额：0% ，B类份额：10%， C类份额：20%,100亿元以上,P1000419
团队跟踪,淡水泉专项基金1期,S20804,淡水泉专项基金1期,S20804,北京淡水泉投资,,2014-08-06,2014-08-07,招商证券股份有限公司,,,否,,,,,,,0,,,,,100亿元以上,P1000294
团队跟踪,外贸信托-交大基金会-弘尚资产灵活配置单一资金信托,S20955,外贸信托-交大基金会-弘尚资产灵活配置单一资金信托,S20955,,上海弘尚资产,2014-07-30,2014-08-18,招商银行股份有限公司,,,否,,,,,,,0,,,,,,
团队跟踪,龙旗紫微量化对冲基金,S21883,龙旗紫微量化对冲基金,S21883,杭州龙旗科技,,2014-12-09,2014-12-11,国泰君安证券股份有限公司,,,否,,,,,,,0,,,,,100亿元以上,P1000676
团队跟踪,圆融进取一号,S22746,圆融进取一号私募证券投资基金,S22746,山东圆融,,2014-12-30,2015-01-04,国信证券股份有限公司,,,否,,,,,,,0,,,,,0-5亿元,P1000574
团队跟踪,珺马CTA对冲一号投资基金,S23396,珺马CTA对冲一号投资基金,S23396,上海珺容投资,,2015-01-08,2015-01-09,中信证券股份有限公司,毛科技,,否,,,,,,,0,,,,,0-5亿元,P1001041
团队跟踪,因诺启航1号私募证券投资基金,S25540,因诺启航1号私募证券投资基金,S25540,上海因诺资管,,2015-02-27,2015-03-10,国信证券股份有限公司,,,否,,,,,,,0,,,,,100亿元以上,P1006164
团队跟踪,蓝色天际-宽宏1号,S25566,蓝色天际-宽宏1号私募证券投资基金,S25566,北京蓝色天际投资,,2015-02-13,2015-02-17,中信证券股份有限公司,陆敏杰,,可临开申购,,,,0.9,,0.85,0.018,,0.1%,0.1%,,0-5亿元,P1004206
团队跟踪,上海宽德共赢,S26541,上海宽德共赢私募证券投资基金,S26541,上海宽德,,2015-02-05,2015-02-10,招商证券股份有限公司,,,否,,,,,,,0,,,,,100亿元以上,P1005623
