来源,产品名称,备案编码,产品全称,备案编号,基金管理人,投资顾问,成立日期,备案日期,托管券商,基金经理,开放日,是否可临开,申购费,追加限制,赎回费,预警线,封闭期,平仓线,管理费率,管理费说明,托管费,行政外包服务费,业绩报酬说明,管理规模,登记编号
FOF底层、团队跟踪,荣熙恒盈2号A类,BAH99A,荣熙恒盈2号私募证券投资基金A类份额,BAH99A,上海荣熙,,2025-06-18,2025-06-23,招商证券股份有限公司,,每周周二、周三,可临开赎回,0%,,持有期小于 3个月，赎回费率 1%；持有期大等于3个月但少于6个月，赎回费率1%；持有期大等于 6 个月，赎回费率0%,,,,0.01,,0.015%,0.015%,35%,5-10亿元,P1017741
FOF底层、团队跟踪,桫罗稳鸿C类,BDU00C,桫罗稳鸿私募证券投资基金C类份额,BDU00C,成都桫罗投资,,2025-10-13,2025-11-10,申万宏源证券有限公司,,每周周一,可临开赎回,1%,,持有期小于91天，赎回费率为1%；持有期大等于91天，赎回费率为0%,,,,0.01,,0.015%,0.015%,当收益率在0%之内时，不计提；当收益率大于0%时，超出部分计提比例为 40%。,0-5亿元,P1068881
FOF底层、团队跟踪,敦和芝诺量化CTA专享3号A类,BGW80A,敦和芝诺量化CTA专享3号私募证券投资基金A类份额,BGW80A,敦和资管,,2025-10-24,2025-11-18,国泰海通证券股份有限公司,,每周周二,否,,,,,,,0,,0.01%,0.01%,,100亿元以上,P1000501
FOF底层、团队跟踪,六妙星豪鑫6号A类,BHK26A,六妙星豪鑫6号私募证券投资基金A类份额,BHK26A,北京六妙星,,2025-10-29,2025-11-17,中信证券股份有限公司,,每周周四、周五,否,1%,10万递增,持有期小于 3 个月，赎回费率 0.5%；持有期大等于3 个月，赎回费率0%,,无,,0.01,,0.01%,0.01%,"单人单笔高水位法，赎回、分红、终止时计提。
当 R＜30%，计提比例 30%；当 R≥30%时，计提比例 50%。",20-50亿元,P1073972
FOF底层、团队跟踪,九木CTA进取1号A类,BHW97A,九木CTA进取1号私募证券投资基金A类份额,BHW97A,深圳九木,,2025-10-22,2025-11-10,中信证券股份有限公司,,每周周四、周五,否,,,,,,,0,,,,,10-20亿元,P1074963
FOF底层、团队跟踪,宁苑配置六号B类,BRE06B,宁苑配置六号私募证券投资基金B类份额,BRE06B,上海宁苑资管,,2026-01-30,,,,每周周二、周三,可临开赎回,,,,,,,0,,0.015%,0.015%,,50-100亿元,P1018867
FOF底层、团队跟踪,百奕小天鹅2号B类,BSJ74B,百奕小天鹅2号私募证券投资基金B类份额,BSJ74B,上海百奕投资,,2026-02-27,,,,每周周二、周三,可临开赎回,0%,,持有期小于90天，赎回费率为 0.5%；持有期大等于90天，赎回费率为 0%,,无,,0.01,,0.02%,0.02%,20%,0-5亿元,P1014097
FOF底层、团队跟踪,磐松红利指数增强1号,SAGF05,磐松红利指数增强1号私募证券投资基金,SAGF05,上海磐松,,2024-02-23,2024-03-06,华泰证券股份有限公司,,每个交易日,否,0%,5万元起,持有期小于90天，赎回费率为1%；持有期大等于90天且小于180天，赎回费率为0.5%；持有期大等于180天且小于365天，赎回费率为0.25%；持有期大等于365天，赎回费率为0%,,无,,0.01,,0.02%,0.02%,不计提业绩报酬,100亿元以上,P1074204
FOF底层、团队跟踪,铭跃行远均衡专享二号,SB6536,铭跃行远均衡专享二号私募证券投资基金,SB6536,上海铭跃,,2023-07-26,2023-08-08,中信证券股份有限公司,,每周三申赎,可临开赎回,1%,,0%,0.85,0,0.8,0.01,1%,0.01%,0.01%,"将根据委托人的期间年化收益率（R），0%以上且在15%以下（含）的部分按照20%的比例收取业绩报酬，对期间年化收益率在15%以上的部分按照50%的比例收取业绩报酬。
计提基准日：固定计提基准日（封闭期（若有）结束后的每年6月、12月的第4个周三）、除息日（若有）、赎回申请日和基金终止日 ",50-100亿元,P1073580
FOF底层、团队跟踪,衡颐嘉选1号,SBCE40,衡颐嘉选1号私募证券投资基金,SBCE40,上海衡颐资管,,2025-07-25,2025-07-30,国泰海通证券股份有限公司,,每周周一、周二,否,0%,,持有期小于90天，赎回费率为1%,,,,0.01,,,,单份额高水位法，计提比例30%,5-10亿元,P1026693
FOF底层、团队跟踪,沣跃通达云骥7号混合型,SBEN25,沣跃通达云骥7号混合型私募证券投资基金,SBEN25,北京沣跃,,2025-08-26,2025-09-25,国泰海通证券股份有限公司,,每周周四,可临开赎回,0%,,持有期小于 90 天，赎回费率为 1%；持有期大等于90天，赎回费率为 0%,,无,,0.01,,0.01%,0.01%,"计提基准为年化 3%。
计提基准日：投资者赎回日、分红权益登记日、基金清算日。
对超出业绩报酬计提基准的持有期差额收益按 20%比例进行计提。",5-10亿元,P1074579
FOF底层、团队跟踪,衡颐嘉选2号,SBLP24,衡颐嘉选2号私募证券投资基金,SBLP24,上海衡颐资管,,2025-12-10,2025-12-15,华泰证券股份有限公司,,每周周二、周三,否,0%,1万元的整数倍,持有期小等于90个自然日，赎回费率为0.5%；持有期大于90个自然日，赎回费率为0%,,,,0.01,,0.01％,0.01％,"计提方法：单人单笔高水位法；
计提基准日：基金份额持有人赎回申请日、基金清算日、财产分配权益登记日；
计提比例：对整体收益计提【40】%，计提后投资者到手收益率不低于6%。",5-10亿元,P1026693
FOF底层、团队跟踪,赢仕木盛1号,SBPV73,赢仕木盛1号私募证券投资基金,SBPV73,上海赢仕投资,,2026-01-27,2026-02-13,国泰海通证券股份有限公司,,每周周二、周三,可临开赎回,0%,,持有期小于 90 天，赎回费率为 1%；持有期大等于90 天，赎回费率为 0%,,无,,0.01,,0.015%,0.015%,对超过上次成功计提基准日基金份额累计净值部分按 35%比例进行计提,10-20亿元,P1028261
FOF底层、团队跟踪,立心学院菁英增强17号,SBSS95,立心学院菁英增强17号私募证券投资基金,SBSS95,青岛立心,,2026-03-12,2026-03-19,国泰海通证券股份有限公司,,每周周三、周四,否,1%,,持有期小于3个月，赎回费率为1.5%,,,,0.02,,0.01%,0.01%,20%,20-50亿元,P1066776
FOF底层、团队跟踪,钜融添宝20号,SNF018,钜融添宝20号私募证券投资基金,SNF018,中海外钜融资管,,2020-12-23,2020-12-23,国泰君安证券股份有限公司,,每周周二、周三,可临开赎回,0%,,0%,,无,,0.01,,0.02%,0.02%,业绩报酬基准6.0%，计提比例为 40%,10-20亿元,P1001037
FOF底层、团队跟踪,静瑞价值成长A类,SP145A,静瑞价值成长私募证券投资基金A类份额,SP145A,上海静瑞,,2021-09-16,2021-09-22,招商证券股份有限公司,,每个工作日（实际按要素表统一每周五开放）,否,0%,10万元,0%,,无,,0.01,,0.025%,0.025%,"业绩报酬的计算采取“单客户单笔份额高水位法”：业绩报酬提取时点分为固定时点提取、分红时提取、赎回时提取和合同终止时提取。固定时点提取是在每自然年度12月15日。在业绩报酬固定提取时点提取业绩报酬的，业绩报酬以扣减基金份额持有人份额的方式提取。
每个自然年度最多分配 1 次，分配方案由基金管理人拟定",50-100亿元,P1072080
FOF底层、团队跟踪,嘉鸿鲲鹏对冲二号,SQP359,嘉鸿鲲鹏对冲二号私募证券投资基金,SQP359,上海嘉鸿,,2021-05-11,2021-05-17,兴业证券股份有限公司,,每周周三,否,0%,,0%,,,,0.01,,0.025%,0.025%,当基金份额赎回、基金终止或分红时，管理人将提取赎回份额或分红份额当期收益的20%作为业绩报酬,50-100亿元,P1068812
FOF底层、团队跟踪,特夫郁金香全量化,SQX078,特夫郁金香全量化私募证券投资基金,SQX078,上海特夫,,2021-06-28,2021-07-08,华鑫证券有限责任公司,,每周一,否,1%，可免,,0,,无,,0,,0.025%,0.025%,30%,0-5亿元,P1026263
FOF底层、团队跟踪,古曲祥辰5号,SXN097,古曲祥辰5号私募证券投资基金,SXN097,上海古曲,,2022-10-28,2022-11-03,光大证券股份有限公司,,每个交易日,否,0%,10万元起,0%,,无,,0.015,,0.025%,0.025%,20%,5-10亿元,P1005787
FOF底层、团队跟踪,瀛岳核心A类,TA891A,瀛岳核心私募证券投资基金A类份额,TA891A,共青城瀛岳,,2021-11-08,2021-11-15,华泰证券股份有限公司,,定期，每周三,否,1%,,0%,,无,,0.01,,,,单客户高水位法   20%，每满6个月计提一次,5-10亿元,P1072644
