nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
0.987,0.987,0.987,-0.0050403226,2023-12-08
0.983,0.983,0.983,-0.0040526849,2023-12-15
0.98,0.98,0.98,-0.003051882,2023-12-22
0.993,0.993,0.993,0.0132653061,2023-12-29
0.976,0.976,0.976,-0.0171198389,2024-01-05
0.972,0.972,0.972,-0.0040983607,2024-01-12
0.972,0.972,0.972,0.0,2024-01-19
0.969,0.969,0.969,-0.0030864198,2024-01-26
0.953,0.953,0.953,-0.0165118679,2024-01-31
0.951,0.951,0.951,-0.0020986359,2024-02-02
0.97,0.97,0.97,0.0199789695,2024-02-08
1.003,1.003,1.003,0.0340206186,2024-02-23
1.005,1.005,1.005,0.0019940179,2024-02-29
1.012,1.012,1.012,0.0069651741,2024-03-01
1.003,1.003,1.003,-0.0088932806,2024-03-08
1.052,1.052,1.052,0.0488534397,2024-03-15
1.029,1.029,1.029,-0.0218631179,2024-03-22
0.997,0.997,0.997,-0.0310981535,2024-03-29
0.998,0.998,0.998,0.001003009,2024-04-03
0.969,0.969,0.969,-0.0290581162,2024-04-12
0.94,0.94,0.94,-0.0299277606,2024-04-19
0.969,0.969,0.969,0.0308510638,2024-04-26
0.995,0.995,0.995,0.0268317853,2024-04-30
1.002,1.002,1.002,0.0070351759,2024-05-10
1.095,1.095,1.095,0.0928143713,2024-05-17
1.097,1.097,1.097,0.001826484,2024-05-24
1.142,1.142,1.142,0.0410209663,2024-05-31
1.049,1.049,1.049,-0.0814360771,2024-06-07
1.063,1.063,1.063,0.0133460439,2024-06-14
1.101,1.101,1.101,0.0357478833,2024-06-21
1.05,1.05,1.05,-0.0463215259,2024-06-28
0.988,0.988,0.988,-0.059047619,2024-07-05
0.94,0.94,0.94,-0.048582996,2024-07-12
1.106,1.106,1.106,0.1765957447,2024-07-19
1.027,1.027,1.027,-0.0714285714,2024-07-26
1.118,1.118,1.118,0.0886075949,2024-07-31
1.111,1.111,1.111,-0.0062611807,2024-08-02
1.043,1.043,1.043,-0.0612061206,2024-08-09
1.036,1.036,1.036,-0.0067114094,2024-08-16
1.02,1.02,1.02,-0.0154440154,2024-08-23
1.011,1.011,1.011,-0.0088235294,2024-08-30
1.027,1.027,1.027,0.0158259149,2024-09-06
1.004,1.004,1.004,-0.0223953262,2024-09-13
1.018,1.018,1.018,0.0139442231,2024-09-20
1.16,1.16,1.16,0.1394891945,2024-09-27
1.348,1.348,1.348,0.1620689655,2024-09-30
1.394,1.394,1.394,0.0341246291,2024-10-11
1.445,1.445,1.445,0.0365853659,2024-10-18
1.451,1.451,1.451,0.0041522491,2024-10-25
1.447,1.447,1.447,-0.0027567195,2024-10-31
1.434,1.434,1.434,-0.008984105,2024-11-01
1.486,1.486,1.486,0.0362622036,2024-11-08
1.488,1.488,1.488,0.001345895,2024-11-15
1.468,1.468,1.468,-0.0134408602,2024-11-22
1.477,1.477,1.477,0.0061307902,2024-11-29
1.494,1.494,1.494,0.0115098172,2024-12-06
1.441,1.441,1.441,-0.0354752343,2024-12-13
1.457,1.457,1.457,0.0111034004,2024-12-20
1.423,1.423,1.423,-0.0233356211,2024-12-27
1.377,1.377,1.377,-0.0323260717,2024-12-31
1.316,1.316,1.316,-0.0442992012,2025-01-03
1.334,1.334,1.334,0.0136778116,2025-01-10
1.385,1.385,1.385,0.0382308846,2025-01-17
1.457,1.457,1.457,0.0519855596,2025-01-24
1.413,1.413,1.413,-0.0301990391,2025-01-27
1.535,1.535,1.535,0.0863411182,2025-02-07
1.536,1.536,1.536,0.0006514658,2025-02-14
1.612,1.612,1.612,0.0494791667,2025-02-21
1.527,1.527,1.527,-0.0527295285,2025-02-28
1.527,1.527,1.527,0.0,2025-03-07
1.517,1.517,1.517,-0.0065487885,2025-03-14
1.464,1.464,1.464,-0.0349373764,2025-03-21
1.433,1.433,1.433,-0.0211748634,2025-03-28
1.421,1.421,1.421,-0.0083740405,2025-03-31
1.421,1.421,1.421,0.0,2025-04-03
1.373,1.373,1.373,-0.0337790289,2025-04-11
1.367,1.367,1.367,-0.0043699927,2025-04-18
1.37,1.37,1.37,0.0021945867,2025-04-25
1.392,1.392,1.392,0.0160583942,2025-04-30
1.403,1.403,1.403,0.0079022989,2025-05-09
1.374,1.374,1.374,-0.0206699929,2025-05-16
1.358,1.358,1.358,-0.0116448326,2025-05-23
1.331,1.331,1.331,-0.0198821797,2025-05-30
1.342,1.342,1.342,0.0082644628,2025-06-06
1.327,1.327,1.327,-0.0111773472,2025-06-13
1.311,1.311,1.311,-0.012057272,2025-06-20
1.358,1.358,1.358,0.0358504958,2025-06-27
1.378,1.378,1.378,0.0147275405,2025-06-30
1.336,1.336,1.336,-0.030478955,2025-07-04
1.329,1.329,1.329,-0.005239521,2025-07-11
1.394,1.394,1.394,0.0489089541,2025-07-18
1.443,1.443,1.443,0.0351506456,2025-07-25
1.424,1.424,1.424,-0.0131670132,2025-07-31
1.417,1.417,1.417,-0.0049157303,2025-08-01
1.431,1.431,1.431,0.0098800282,2025-08-08
1.459,1.459,1.459,0.0195667365,2025-08-15
1.537,1.537,1.537,0.0534612748,2025-08-22
1.598,1.598,1.598,0.0396877033,2025-08-29
1.557,1.557,1.557,-0.0256570713,2025-09-05
1.642,1.642,1.642,0.0545921644,2025-09-12
1.684,1.684,1.684,0.0255785627,2025-09-19
1.713,1.713,1.713,0.0172209026,2025-09-26
1.759,1.759,1.759,0.0268534734,2025-09-30
1.745,1.745,1.745,-0.0079590677,2025-10-10
1.622,1.622,1.622,-0.070487106,2025-10-17
1.627,1.627,1.627,0.0030826141,2025-10-24
1.614,1.614,1.614,-0.0079901659,2025-10-31
1.558,1.558,1.558,-0.0346964064,2025-11-07
1.54,1.54,1.54,-0.0115532734,2025-11-14
1.531,1.531,1.531,-0.0058441558,2025-11-21
1.501,1.501,1.501,-0.0195950359,2025-11-28
1.523,1.523,1.523,0.0146568954,2025-12-05
1.628,1.628,1.628,0.0689428759,2025-12-12
1.691,1.691,1.691,0.0386977887,2025-12-19
1.744,1.744,1.744,0.0313424009,2025-12-26
1.179,1.733,1.733,-0.0063073394,2025-12-30
1.223,1.777,1.79767515,0.0373197625,2025-12-31
1.347,1.901,1.97994148,0.1013900245,2026-01-09
1.291,1.845,1.89762765,-0.0415738679,2026-01-16
1.337,1.891,1.96524258,0.0356312936,2026-01-23
1.301,1.855,1.91232655,-0.0269259536,2026-01-30
1.269,1.823,1.86529008,-0.0245964643,2026-02-06
1.264,1.818,1.85794063,-0.0039401103,2026-02-13
1.241,1.795,1.82413316,-0.0181962025,2026-02-27
1.142,1.696,1.67861408,-0.0797743755,2026-03-06
1.113,1.667,1.63598728,-0.0253940455,2026-03-13
1.083,1.637,1.59189059,-0.0269541779,2026-03-20
1.097,1.651,1.61246904,0.0129270545,2026-03-27
1.032,1.586,1.51692621,-0.0592525068,2026-04-03
1.143,1.697,1.68008397,0.1075581395,2026-04-10
1.256,1.81,1.84618151,0.0988626422,2026-04-17
1.252,1.806,1.84030195,-0.0031847134,2026-04-24
1.328,1.882,1.95201357,0.0607028754,2026-04-30
1.409,1.963,2.07107464,0.0609939759,2026-05-08
1.357,1.911,1.99464037,-0.0369056068,2026-05-15
1.428,1.982,2.09900254,0.052321297,2026-05-22
