备案号,产品名称,管理人,建议一级,建议二级,建议三级,信心,建议依据,现有团队策略,现有平台策略,同系列已分类产品,是否接受,备注
SQS159,博孚利麟峰1号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利麟峰1号=多资产策略/FOF,,
SXY980,博孚利鹭岛晋帆私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利鹭岛晋帆=多资产策略/FOF,,
SB1698,博孚利洛必达1号私募证券投资基金,厦门博孚利资产管理有限公司,期权策略,场内期权,商品波动率,高,团队数据已有团队策略,期权策略 / 场内期权 / 商品波动率,组合策略 / FOF,博孚利洛必达1号=期权策略/场内期权/商品波动率,,
SZR292,博孚利明远1号私募证券投资基金,厦门博孚利资产管理有限公司,股票对冲,股票市场中性,"量价,高频",高,团队数据已有团队策略,"股票对冲 / 股票市场中性 / 量价,高频",组合策略 / FOF,"博孚利明远1号=股票对冲/股票市场中性/量价,高频",,
SSZ432,博孚利牡丹2号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利牡丹2号=多资产策略/FOF；博孚利牡丹4号=多资产策略/FOF；博孚利牡丹5号=多资产策略/FOF；博孚利牡丹3号=期货策略/主观期货,,
SGC810,博孚利牡丹3号私募证券投资基金,厦门博孚利资产管理有限公司,期货策略,主观期货,,高,团队数据已有团队策略,期货策略 / 主观期货,组合策略 / FOF,博孚利牡丹3号=期货策略/主观期货；博孚利牡丹4号=多资产策略/FOF；博孚利牡丹5号=多资产策略/FOF；博孚利牡丹2号=多资产策略/FOF,,
SZA480,博孚利牡丹4号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利牡丹4号=多资产策略/FOF；博孚利牡丹5号=多资产策略/FOF；博孚利牡丹2号=多资产策略/FOF；博孚利牡丹3号=期货策略/主观期货,,
SXT438,博孚利牡丹5号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利牡丹5号=多资产策略/FOF；博孚利牡丹4号=多资产策略/FOF；博孚利牡丹2号=多资产策略/FOF；博孚利牡丹3号=期货策略/主观期货,,
SXZ016,博孚利年糕一号FOF私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略；产品名含FOF,多资产策略 / FOF,组合策略 / FOF,博孚利年糕一号FOF=多资产策略/FOF,,
SZL348,博孚利诺信一号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利诺信一号=多资产策略/FOF,,
STX270,博孚利启璞私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,宏观策略,,高,团队数据已有团队策略,多资产策略 / 宏观策略,套利策略 / 期权套利,博孚利启璞=多资产策略/宏观策略,,
SQY724,博孚利钱钱家永续常青壹号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利钱钱家永续常青壹号=多资产策略/FOF,,
SXG593,博孚利青璜3号私募证券投资基金,厦门博孚利资产管理有限公司,期货策略,量化期货,混合,高,团队数据已有团队策略,期货策略 / 量化期货 / 混合,组合策略 / FOF,博孚利青璜3号=期货策略/量化期货/混合；博孚利青璜2号B类=多资产策略/FOF；博孚利青璜3号B类=期货策略/量化期货；博孚利青璜3号A类=期货策略/量化期货；博孚利青璜2号=多资产策略/FOF；博孚利青璜2号A类=多资产策略/FOF,,
SAJT66,博孚利全天候1号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,木盛博孚利那平江=多资产策略/FOF,,
SZQ565,博孚利瑞盈多策略6号私募证券投资基金,厦门博孚利资产管理有限公司,期权策略,场内期权,期权套利,高,团队数据已有团队策略,期权策略 / 场内期权 / 期权套利,套利策略 / 期权套利,博孚利瑞盈多策略6号=期权策略/场内期权/期权套利,,
SSX369,博孚利三人行FOF私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略；产品名含FOF,多资产策略 / FOF,组合策略 / FOF,博孚利三人行FOF=多资产策略/FOF,,
SAAW09,博孚利厦门牡丹1号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利厦门牡丹1号=多资产策略/FOF,,
SXB196,博孚利守安FOF私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略；产品名含FOF,多资产策略 / FOF,组合策略 / FOF,博孚利守安FOF=多资产策略/FOF,,
SZV230,博孚利顺达基石家族私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利顺达基石家族=多资产策略/FOF,,
SSL258,博孚利颂恩一号私募证券投资基金,厦门博孚利资产管理有限公司,期货策略,主观期货,,高,团队数据已有团队策略,期货策略 / 主观期货,组合策略 / FOF,博孚利颂恩一号=期货策略/主观期货,,
SGG537,博孚利泰亚1号FOF私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略；产品名含FOF,多资产策略 / FOF,组合策略 / FOF,博孚利尊享6号FOF=多资产策略/FOF,,
