备案号,产品名称,管理人,建议一级,建议二级,建议三级,信心,建议依据,现有团队策略,现有平台策略,同系列已分类产品,是否接受,备注
SB9533,博孚利宝瑞1号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利宝瑞1号=多资产策略/FOF；博孚利宝瑞2号=套利策略/期货套利,,
STS621,博孚利必瑞趣定制FOF2号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略；产品名含FOF,多资产策略 / FOF,组合策略 / FOF,博孚利必瑞趣定制FOF2号=多资产策略/FOF,,
SCT420,博孚利超强1号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利超强1号=多资产策略/FOF,,
SCY437,博孚利超强2号FOF私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略；产品名含FOF,多资产策略 / FOF,组合策略 / FOF,博孚利超强2号FOF=多资产策略/FOF,,
SB7893,博孚利晨安专享FOF私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略；产品名含FOF,多资产策略 / FOF,组合策略 / FOF,博孚利晨安专享FOF=多资产策略/FOF,,
SB1112,博孚利东方紫霞1号私募证券投资基金,厦门博孚利资产管理有限公司,期货策略,主观期货,农产,高,团队数据已有团队策略,期货策略 / 主观期货 / 农产,期货策略 / 主观期货 / 农产,博孚利东方紫霞1号=期货策略/主观期货/农产,,
SVZ587,博孚利多策略51号私募证券投资基金,厦门博孚利资产管理有限公司,期权策略,场内期权,金融卖波,高,团队数据已有团队策略,期权策略 / 场内期权 / 金融卖波,组合策略 / FOF,博孚利多策略51号=期权策略/场内期权/金融卖波；博孚利多策略80号=期权策略/场内期权/金融卖波；博孚利多策略75号=期权策略/场内期权/期权套利；博孚利多策略60号=套利策略/期货套利/跨期套利,,
STV494,博孚利多策略60号私募证券投资基金,厦门博孚利资产管理有限公司,套利策略,期货套利,跨期套利,高,团队数据已有团队策略,套利策略 / 期货套利 / 跨期套利,组合策略 / FOF,博孚利多策略60号=套利策略/期货套利/跨期套利；博孚利多策略80号=期权策略/场内期权/金融卖波；博孚利多策略51号=期权策略/场内期权/金融卖波；博孚利多策略75号=期权策略/场内期权/期权套利,,
SVX151,博孚利多策略75号私募证券投资基金,厦门博孚利资产管理有限公司,期权策略,场内期权,期权套利,高,团队数据已有团队策略,期权策略 / 场内期权 / 期权套利,套利策略 / 期权套利,博孚利多策略75号=期权策略/场内期权/期权套利；博孚利多策略80号=期权策略/场内期权/金融卖波；博孚利多策略51号=期权策略/场内期权/金融卖波；博孚利多策略60号=套利策略/期货套利/跨期套利,,
SXC534,博孚利多策略80号私募证券投资基金,厦门博孚利资产管理有限公司,期权策略,场内期权,金融卖波,高,团队数据已有团队策略,期权策略 / 场内期权 / 金融卖波,组合策略 / FOF,博孚利多策略80号=期权策略/场内期权/金融卖波；博孚利多策略51号=期权策略/场内期权/金融卖波；博孚利多策略75号=期权策略/场内期权/期权套利；博孚利多策略60号=套利策略/期货套利/跨期套利,,
SQV965,博孚利多策略八号私募证券投资基金,厦门博孚利资产管理有限公司,套利策略,,,高,团队数据已有团队策略,套利策略,股票对冲 / 股票市场中性,博孚利多策略八号=套利策略；博孚利多策略八号A类=套利策略,,
SNM488,博孚利多策略二十八号私募证券投资基金,厦门博孚利资产管理有限公司,期货策略,量化期货,混合,高,团队数据已有团队策略,期货策略 / 量化期货 / 混合,组合策略 / FOF,博孚利多策略二十八号=期货策略/量化期货/混合,,
SXL603,博孚利多策略二十七号私募证券投资基金,厦门博孚利资产管理有限公司,股票对冲,股票T0,,高,团队数据已有团队策略,股票对冲 / 股票T0,组合策略 / FOF,博孚利多策略二十七号=股票对冲/股票T0,,
STZ941,博孚利多策略二十四号私募证券投资基金,厦门博孚利资产管理有限公司,套利策略,期货套利,"跨期套利,股指套利",高,团队数据已有团队策略,"套利策略 / 期货套利 / 跨期套利,股指套利","套利策略 / 期货套利 / 股指套利,跨市场套利","博孚利多策略二十四号=套利策略/期货套利/跨期套利,股指套利",,
SZJ918,博孚利多策略三十二号私募证券投资基金,厦门博孚利资产管理有限公司,套利策略,,,高,团队数据已有团队策略,套利策略,组合策略 / FOF,博孚利多策略三十二号=套利策略,,
STB089,博孚利多策略十二号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利多策略十二号=多资产策略/FOF；博孚利多策略十二号A类=多资产策略/FOF；博孚利多策略十二号B类=多资产策略/FOF,,
SSW768,博孚利多策略十号私募证券投资基金,厦门博孚利资产管理有限公司,套利策略,期货套利,商品套利,高,团队数据已有团队策略,套利策略 / 期货套利 / 商品套利,"套利策略 / 期货套利 / 跨期套利,商品套利,跨市场套利",博孚利多策略十号=套利策略/期货套利/商品套利,,
STB092,博孚利多策略十一号私募证券投资基金,厦门博孚利资产管理有限公司,期货策略,量化期货,混合,高,团队数据已有团队策略,期货策略 / 量化期货 / 混合,期货策略 / 量化期货,博孚利多策略十一号=期货策略/量化期货/混合；博孚利多策略十一号A类=期货策略/量化期货/混合；博孚利多策略十一号B类=期货策略/量化期货/混合,,
SB2965,博孚利多多私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利多多=多资产策略/FOF,,
SXC535,博孚利丰盈2号私募证券投资基金,厦门博孚利资产管理有限公司,期权策略,场外期权,其他场外期权,高,团队数据已有团队策略,期权策略 / 场外期权 / 其他场外期权,"股票多头 / 500指增 / 低频,量价","博孚利丰盈2号=期权策略/场外期权/其他场外期权；博孚利丰盈1号=期权策略/场外期权；博孚利丰盈4号=债券策略/债券混合/可转债；博孚利丰盈3号=股票对冲/股票T0/收益互换,手工",,
STT491,博孚利丰盈3号私募证券投资基金,厦门博孚利资产管理有限公司,股票对冲,股票T0,"收益互换,手工",高,团队数据已有团队策略,"股票对冲 / 股票T0 / 收益互换,手工",股票对冲 / 股票T0 / 融券T0,"博孚利丰盈3号=股票对冲/股票T0/收益互换,手工；博孚利丰盈1号=期权策略/场外期权；博孚利丰盈2号=期权策略/场外期权/其他场外期权；博孚利丰盈4号=债券策略/债券混合/可转债",,
SVW750,博孚利丰盈4号私募证券投资基金,厦门博孚利资产管理有限公司,债券策略,债券混合,可转债,高,团队数据已有团队策略,债券策略 / 债券混合 / 可转债,"债券策略 / 信用债 / 城投债,地产债","博孚利丰盈4号=债券策略/债券混合/可转债；博孚利丰盈1号=期权策略/场外期权；博孚利丰盈2号=期权策略/场外期权/其他场外期权；博孚利丰盈3号=股票对冲/股票T0/收益互换,手工",,
SQG422,博孚利富利1号FOF私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略；产品名含FOF,多资产策略 / FOF,组合策略 / FOF,博孚利富利1号FOF=多资产策略/FOF,,
SNA681,博孚利国强3号FOF私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略；产品名含FOF,多资产策略 / FOF,组合策略 / FOF,博孚利国强3号FOF=多资产策略/FOF,,
SSL229,博孚利国强5号FOF私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略；产品名含FOF,多资产策略 / FOF,组合策略 / FOF,博孚利国强5号FOF=多资产策略/FOF；博孚利国强5号FOFB类=多资产策略/FOF；博孚利国强5号FOFA类=多资产策略/FOF,,
SSM420,博孚利国强6号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利国强6号=多资产策略/FOF；博孚利国强6号A类=多资产策略/FOF；博孚利国强6号B类=多资产策略/FOF；博孚利国强1号=多资产策略/FOF,,
SB7848,博孚利涵盈16号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利涵盈16号=多资产策略/FOF；博孚利涵盈19号=多资产策略/FOF；博孚利涵盈3号=多资产策略/FOF；博孚利涵盈8号=期货策略/量化期货/股指；博孚利涵盈9号=多资产策略/FOF；博孚利涵盈17号=多资产策略/FOF；博孚利涵盈6号=多资产策略/FOF；博孚利涵盈18号=套利策略/期货套利,,
STJ324,博孚利涵盈17号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利涵盈17号=多资产策略/FOF；博孚利涵盈19号=多资产策略/FOF；博孚利涵盈16号=多资产策略/FOF；博孚利涵盈3号=多资产策略/FOF；博孚利涵盈8号=期货策略/量化期货/股指；博孚利涵盈9号=多资产策略/FOF；博孚利涵盈6号=多资产策略/FOF；博孚利涵盈18号=套利策略/期货套利,,
SNW175,博孚利涵盈18号私募证券投资基金,厦门博孚利资产管理有限公司,套利策略,期货套利,,高,团队数据已有团队策略,套利策略 / 期货套利,组合策略 / FOF,博孚利涵盈18号=套利策略/期货套利；博孚利涵盈19号=多资产策略/FOF；博孚利涵盈16号=多资产策略/FOF；博孚利涵盈3号=多资产策略/FOF；博孚利涵盈8号=期货策略/量化期货/股指；博孚利涵盈9号=多资产策略/FOF；博孚利涵盈17号=多资产策略/FOF；博孚利涵盈6号=多资产策略/FOF,,
SABQ22,博孚利涵盈19号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利涵盈19号=多资产策略/FOF；博孚利涵盈16号=多资产策略/FOF；博孚利涵盈3号=多资产策略/FOF；博孚利涵盈8号=期货策略/量化期货/股指；博孚利涵盈9号=多资产策略/FOF；博孚利涵盈17号=多资产策略/FOF；博孚利涵盈6号=多资产策略/FOF；博孚利涵盈18号=套利策略/期货套利,,
SXU522,博孚利涵盈3号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利涵盈3号=多资产策略/FOF；博孚利涵盈19号=多资产策略/FOF；博孚利涵盈16号=多资产策略/FOF；博孚利涵盈8号=期货策略/量化期货/股指；博孚利涵盈9号=多资产策略/FOF；博孚利涵盈17号=多资产策略/FOF；博孚利涵盈6号=多资产策略/FOF；博孚利涵盈18号=套利策略/期货套利,,
SSH452,博孚利涵盈6号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利涵盈6号=多资产策略/FOF；博孚利涵盈19号=多资产策略/FOF；博孚利涵盈16号=多资产策略/FOF；博孚利涵盈3号=多资产策略/FOF；博孚利涵盈8号=期货策略/量化期货/股指；博孚利涵盈9号=多资产策略/FOF；博孚利涵盈17号=多资产策略/FOF；博孚利涵盈18号=套利策略/期货套利,,
SVK088,博孚利涵盈9号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利涵盈9号=多资产策略/FOF；博孚利涵盈19号=多资产策略/FOF；博孚利涵盈16号=多资产策略/FOF；博孚利涵盈3号=多资产策略/FOF；博孚利涵盈8号=期货策略/量化期货/股指；博孚利涵盈17号=多资产策略/FOF；博孚利涵盈6号=多资产策略/FOF；博孚利涵盈18号=套利策略/期货套利,,
SZQ582,博孚利恒心基石家族私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利恒心基石家族=多资产策略/FOF,,
SXN895,博孚利恒跃1号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利恒跃1号=多资产策略/FOF；博孚利恒跃1号B类=股票对冲/股票多空；博孚利恒跃1号A类=股票对冲/股票多空,,
